Species,BMR,M,Tb,Ta
Tachyglossus aculeatus,2.404,2725,30.7,19.7
Zaglossus bruijni,6.778,10300,30.8,16.2
Ornithorhynchus anatinus,1.082,693,32.1,12.9
Caluromys derbianus,1.255,329,35,19.3
Chironectes minimus,2.549,935,35,21.5
Didelphis marsupialis,3.185,1165,35,23.5
Didelphis virginiana,4.641,2488,35,15.4
Gracilinanus microtarsus,0.106,13,35,16.8
Lutreolina crassicaudata,2.265,812,35.8,19.1
Marmosa robinsoni,0.547,122,34,19.3
Metachirus nudicaudatus,1.144,336,35,23.7
Monodelphis brevicaudata,0.318,75.5,33.7,24.4
Monodelphis domestica,0.335,104,32.6,21.9
Philander opossum,1.886,751,35.8,23.1
Notoryctes caurinus,0.119,34,30.8,24.4
Antechinomys laniger,0.141,25.8,35.8,NA
Antechinus flavipes,0.252,46.5,35,15.5
Antechinus stuartii,0.189,28.2,35.1,13
Antechinus swainsonii,0.351,66.9,36,11.5
Dasycercus cristicauda,0.285,101,36.9,22.6
Dasyuroides byrnei,0.462,118.2,35.2,NA
Dasyurus geoffroii,3.172,1354,36.2,14.3
Dasyurus hallucatus,1.356,558,35.9,20.2
Dasyurus maculatus,3.281,1782,36.9,13.8
Dasyurus viverrinus,2.21,982,36.6,7
Myrmecobius fasciatus,0.794,400,32.5,14.4
Ningaui yvonnae,0.088,11.6,34.4,17.7
Phascogale tapoatafa,0.71,157,37.4,17.3
Planigale gilesi,0.039,9.1,35.1,19.9
Planigale ingrami,0.063,7.1,NA,22.7
Planigale maculata,0.074,13.1,34.5,20.4
Planigale tenuirostris,0.063,7.1,34.5,19.9
Pseudantechinus macdonnellensis,0.152,43.1,34.2,23.2
Sarcophilus harrisii,7.394,5775,35.8,NA
Sminthopsis crassicaudata,0.14,16.4,35.2,18.9
Sminthopsis macroura,0.126,19.35,36.4,21.7
Sminthopsis murina,0.12,19,35,15.9
Echymipera kalubu,1.838,695,35,19.2
Echymipera rufescens,3.018,1276,35.2,18.6
Isoodon auratus,0.837,428,33.8,21.8
Isoodon macrourus,3.202,1551,35.9,19.9
Isoodon obesulus,1.238,717,33.9,11.2
Macrotis lagotis,2.51,1294,35,23.2
Perameles gunnii,2.343,837,35.2,10.1
Perameles nasuta,1.763,645,36.1,14
Phascolarctos cinereus,5.768,4765,35.8,16.8
Lasiorhinus latifrons,16.69,29917,35.3,15.3
Burramys parvus,0.205,44.3,36.1,9.9
Cercartetus concinnus,0.125,18.6,34.4,14.1
Cercartetus lepidus,0.105,12.6,33.7,10.5
Cercartetus nanus,0.336,70,35.6,11.1
Spilocuscus maculatus,6.164,4250,34.7,18.7
Trichosurus vulpecula,4.081,2005,36,16.5
Petauroides volans,3.202,1141,35.4,15.9
Pseudocheirus peregrinus,2.402,916,37.4,15.8
Gymnobelideus leadbeateri,0.574,166,NA,11.7
Petaurus breviceps,0.502,127,36.4,17.4
Tarsipes rostratus,0.162,10,36.6,13.6
Acrobates pygmaeus,0.084,14,34.7,17.2
Aepyprymnus rufescens,5.978,2820,36.5,17.9
Bettongia gaimardi,3.578,1385,35.6,7.9
Bettongia penicillata,3.132,1018,37.2,18
Potorous tridactylus,2.323,976,35.9,10.3
Dendrolagus matschiei,7.96,6960,36.3,12.3
Lagorchestes conspicillatus,4.749,2660,36,23.2
Macropus eugenii,7.78,4796,36.5,13.7
Macropus robustus,31.71,29300,36.1,20.6
Macropus rufus,32.625,32490,35.9,20.9
Setonix brachyurus,4.654,2674,36.3,10.5
Orycteropus afer,34.275,48000,34.5,22.8
Trichechus inunguis,64.52,165223,NA,NA
Echinops telfairi,0.75,116.4,NA,19.4
Geogale aurita,0.043,6.9,34.9,19.3
Hemicentetes nigriceps,0.358,133,NA,NA
Hemicentetes semispinosus,0.628,450,NA,18.3
Limnogale mergulus,0.312,77.7,NA,17.9
Microgale drouhardi,0.179,12.2,33,18.9
Microgale dobsoni,0.315,44.6,30.9,18.9
Microgale talazaci,0.243,44,31.2,18.9
Setifer setosus,0.68,530,32.2,19.2
Tenrec ecaudatus,0.729,650,33,19
Amblysomus hottentotus,0.473,70,NA,14.8
Chrysochloris asiatica,0.287,44,34,14.7
Eremitalpa granti,0.056,20,33.6,NA
Elephantulus brachyrhynchus,0.244,45.3,37.5,21.3
Elephantulus edwardii,0.304,50,37.6,14.2
Elephantulus intufi,0.29,46.49,37.2,19.1
Elephantulus myurus,0.37,62.97,36.9,19.2
Elephantulus rozeti,0.267,45.31,37.1,15.6
Elephantulus rufescens,0.317,53,37.3,23
Macroscelides proboscideus,0.292,39,36.2,15.2
Petrodromus tetradactylus,1.001,206.1,37.5,21.8
Dendrohyrax dorsalis,4.19,2210,NA,23.1
Heterohyrax brucei,4.017,2000,36.7,21.8
Procavia capensis,6.354,2750,39,22.8
Cabassous centralis,5.116,4330,33.6,19.5
Chaetophractus nationi,3.118,2150,35.5,4.3
Chaetophractus vellerosus,1.707,1110,34.4,20.2
Chaetophractus villosus,4.508,4540,35.1,17.9
Dasypus novemcinctus,4.825,3510,34.5,21.5
Euphractus sexcinctus,6.901,8190,34.2,21.2
Priodontes maximus,16.892,45190,33.6,24
Tolypeutes matacus,1.172,1160,33,21.3
Zaedyus pichiy,2.192,1740,35.2,9.3
Bradypus variegatus,3.827,3790,33,23.8
Choloepus hoffmanni,3.364,3770,34.4,21.3
Cyclopes didactylus,0.636,240,33,23.6
Myrmecophaga tridactyla,14.543,30600,32.5,23.5
Tamandua mexicana,5.534,3977,32,19.6
Tamandua tetradactyla,5.015,3500,33.5,23.4
Tupaia glis,0.522,123,37,18.3
Urogale everetti,1.25,260.6,NA,13.1
Ptilocercus lowii,0.24,57.5,36.5,20.3
Cheirogaleus medius,1.088,300,38,19.8
Eulemur fulvus,4.162,2330,36.5,19.5
Propithecus verreauxi,3.738,3350,NA,19.6
Arctocebus calabarensis,0.731,206,NA,22.9
Loris tardigradus,0.714,284,35.5,22.3
Nycticebus coucang,1.523,1160,35.4,20.6
Perodicticus potto,1.824,964,36.1,23.4
Euoticus elegantulus,1.205,261.5,NA,23.4
Galago demidoff,0.329,63.8,NA,NA
Galago moholi,0.285,170,NA,21.1
Galago senegalensis,0.764,171.5,37.9,24.5
Otolemur crassicaudatus,2.298,950,38,21.1
Otolemur garnettii,3.927,1314,NA,22
Tarsius tarsier,0.831,173,NA,9.4
Tarsius syrichta,0.43,113,33.8,12.5
Callithrix pygmaea,0.631,116.8,NA,25.6
Callithrix jacchus,0.848,190,NA,23.2
Saguinus geoffroyi,1.305,225,NA,18.3
Saimiri sciureus,4.468,875,38,24.8
Aotus trivirgatus,2.466,820,38,24.8
Alouatta palliata,11.464,4670,NA,19.4
Cercopithecus mitis,18.923,8500,37.5,21.4
Colobus guereza,16.613,10450,37,22.8
Erythrocebus patas,5.958,3000,NA,26.1
Papio anubis,14.97,9500,37.3,NA
Papio hamadryas,27.737,16900,37,21.9
Papio ursinus,15.497,9500,NA,NA
Aplodontia rufa,1.546,630,38,6
Ammospermophilus leucurus,0.524,95.7,37.5,9.7
Cynomys ludovicianus,2.278,112.3,36.7,10.9
Epixerus ebii,1.347,460,NA,22.4
Funisciurus anerythrus,0.58,63,NA,23.9
Funisciurus congicus,0.533,112.3,39.3,22.9
Funisciurus isabella,0.57,60,NA,23
Funisciurus lemniscatus,0.5,95,NA,23.2
Funisciurus pyrropus,1.011,244,NA,23.7
Glaucomys volans,0.377,64.25,39,12.9
Heliosciurus rufobrachium,0.744,230,NA,23.5
Marmota flaviventris,8.626,4295,36.5,5.9
