Class,Species,Mass,Temperature,MR
Mammals,Alopex_lagopus,3600,38.6,1374
Mammals,Canis_latrans,10000,37,2686.567
Mammals,Canis_mesomelas,7720,38,3860
Mammals,Cerdocyon_thous,5444,38.2,1524.318
Mammals,Fennecus_zerda,1215,38.8,583.2
Mammals,Vulpes_macrotis,1769,38,887.1403
Mammals,Vulpes_vulpes,4440,38.7,2442
Mammals,Acinonyx_jubatus,37900,39,8982
Mammals,Felis_concolor,37200,37.6,8841.7
Mammals,Felis_pardalis,10500,38,3126.3
Mammals,Felis_serval,10100,36.5,3137.2
Mammals,Felis_wiedii,3600,38,937.2
Mammals,Felis_yagouaroundi,8400,38.4,1737
Mammals,Panthera_leo,98000,37.9,16954
Mammals,Panthera_tigris,137900,37.5,23994.6
Mammals,Galerella_sanguinea,540,38.7,410.4
Mammals,Herpestes_javanicus,611,39.76,403.26
Mammals,Suricata_suricatta,850,36.3,310.2498
Mammals,Proteles_cristatus,8100,36.4,2194.3
Mammals,Eira_barbara,2950,38.4,1221.3
Mammals,Lutra_lutra,10000,38.14,4500
Mammals,Martes_americana,900,37.95,594.9
Mammals,Mustela_erminea,75,39.6,165
Mammals,Mustela_frenata,225,39,240.5769
Mammals,Mustela_vison,660,39,488.4
Mammals,Spilogale_putorius,624,36.35,299.52
Mammals,Taxidea_taxus,9000,38,2700
Mammals,Ailurus_fulgens,5740,37.6,878.22
Mammals,Bassariscus_sumichrasti,1280,38.8,633.6
Mammals,Nasua_narica,3670,38.6,1207.43
Mammals,Nasua_nasua,4000,36.4,992
Mammals,Potos_flavus,2343.3,36.07,795.9522
Mammals,Procyon_lotor,5075,38,1598.625
Mammals,Arctictis_binturong,14280,36.7,2284.8
Mammals,Arctogalidia_trivirgata,2010,36.2,552.75
Mammals,Fossa_fossana,2260,37.9,906.26
Mammals,Nandinia_binotata,4270,37.4,862.54
Mammals,Paradoxurus_hermaphroditus,3160,36.45,759.98
Mammals,Peropteryx_macrotis,5,34.4,11.55
Mammals,Saccopteryx_bilineata,7.8,35.5,14.508
Mammals,Hipposideros_galeritus,8.5,31.9,9.35
Mammals,Rhinonycteris_aurantius,8.27,36.1,16.2092
Mammals,Macroderma_gigas,148,37,139.12
Mammals,Eumops_perotis,56,32.6,39.76
Mammals,Molossus_molossus,15.6,31.4,22.464
