Class,HighTaxon,Taxon,Species,Mass,BMR,Reference
Birds,Paleognathae,Apterygi,Apteryx_australis,3137,830,McNab 1996
Birds,Paleognathae,Apterygi,Apteryx_haastii,2529,951,McNab 1996
Birds,Paleognathae,Apterygi,Apteryx_owenii,1377,710.5,McNab 1996
Birds,Paleognathae,Casuari,Casuarius_bennetti,17600,4501,"Benedict, Fox, 1927"
Birds,Paleognathae,Casuari,Dromaius_novaehollandiae,38900,6302,Maloney & Dawson 1994
Birds,Paleognathae,Rhea,Rhea_americana,21700,6900,"Grawford, Lasiewski,1968"
Birds,Paleognathae,Struthio,Struthio_camelus,92400,10483,Withers 1983
Birds,Paleognathae,Tinami,Crypturellus_soui,220.8,140,"Londono et al., 2015"
Birds,Paleognathae,Tinami,Nothoprocta_perdicaria,458,317.5,Withers et al. 1987
Birds,Non‐Passer,Accipitri,Accipiter_cooperii,452,383,Wasser 1986
Birds,Non‐Passer,Accipitri,Accipiter_nisus,135,171,Kendeigh et al. 1977
Birds,Non‐Passer,Accipitri,Accipiter_striatus,173.4,94.55,"Londono et al., 2015"
Birds,Non‐Passer,Accipitri,Accipiter_striatus,83,126,Wasser 1986
Birds,Non‐Passer,Accipitri,Aquila_chrysaetos,3000,890,"Giaja, Males, 1928"
Birds,Non‐Passer,Accipitri,Aquila_rapax,2398,813.5,Wasser 1986
Birds,Non‐Passer,Accipitri,Buteo_buteo,1012,676,Prinzinger & Hanssler 1980
Birds,Non‐Passer,Accipitri,Buteo_jamaicensis,1475,571.5,Wasser 1986
Birds,Non‐Passer,Accipitri,Buteo_lineatus,658,380,Wasser 1986
Birds,Non‐Passer,Accipitri,Geranoaetus_melanoleucus,2860,924.5,"Benedict, Fox, 1927"
Birds,Non‐Passer,Accipitri,Gypaetus_barbatus,5070,1989,"Benedict, Fox, 1927_"
Birds,Non‐Passer,Accipitri,Ictinia_mississippiensis,232,164.5,Wasser 1986
Birds,Non‐Passer,Accipitri,Pandion_haliaetus,1495,994,Wasser 1986
Birds,Non‐Passer,Accipitri,Parabuteo_unicinctus,572,253.5,Wasser 1986
Birds,Non‐Passer,Accipitri,Pernis_apivorus,652,420.5,Kendeigh et al. 1977
Birds,Non‐Passer,Anseri,Aix_sponsa,448,404.5,Kendeigh et al. 1977
Birds,Non‐Passer,Anseri,Anas_acuta,721,785.5,Prinzinger & Hanssler 1980
Birds,Non‐Passer,Anseri,Anas_aucklandica,373.1,337.5,McNab 2003
Birds,Non‐Passer,Anseri,Anas_castanea,483.3,343,McNab 2003
Birds,Non‐Passer,Anseri,Anas_chlorotis,528.8,417.5,McNab 2003
Birds,Non‐Passer,Anseri,Anas_crecca,250,300,Prinzinger & Hanssler1980
Birds,Non‐Passer,Anseri,Anas_gracilis,393.7,599,McNab 2003
Birds,Non‐Passer,Anseri,Anas_nesiotis,371.1,297,McNab 2003
Birds,Non‐Passer,Anseri,Anas_platyrhynchos,1020,732,Kendeigh et al. 1977
Birds,Non‐Passer,Anseri,Anser_anser,3250,1950.5,Kendeigh et al. 1977
Birds,Non‐Passer,Anseri,Anser_caerulescens,2930,1395,Boisemena et al. 1992
Birds,Non‐Passer,Anseri,Anser_canagicus,2609,1612.5,Gavrilov & Dolnik 1985
Birds,Non‐Passer,Anseri,Aythya_affinis,561.5,516.5,McNab 2003
Birds,Non‐Passer,Anseri,Aythya_collaris,681.5,592,McNab 2003
Birds,Non‐Passer,Anseri,Aythya_ferina,816,1047,Prinzinger & Hanssler 1980
Birds,Non‐Passer,Anseri,Aythya_fuligula,574,486.5,Prinzinger & Hanssler 1980
Birds,Non‐Passer,Anseri,Aythya_novaeseelandiae,488.4,420,McNab 2003
Birds,Non‐Passer,Anseri,Aythya_nyroca,440,589,Prinzinger & Hanssler 1980
Birds,Non‐Passer,Anseri,Branta_bernicla,1253,1091,Daan et al. 1990
Birds,Non‐Passer,Anseri,Chauna_chavaria,2620,1238.5,"Benedict, Fox, 1927"
Birds,Non‐Passer,Anseri,Cygnus_buccinator,8800,3646.5,"Benedict, Fox, 1927"
Birds,Non‐Passer,Anseri,Cygnus_olor,8538,5606,Bech 1980
Birds,Non‐Passer,Anseri,Hymenolaimus_malacorhynchos,717.1,565.5,McNab 2003
Birds,Non‐Passer,Anseri,Lophodytes_cucullatus,413.3,351.5,McNab 2003
Birds,Non‐Passer,Anseri,Mareca_penelope,723,507.5,Kendeigh et al. 1977
Birds,Non‐Passer,Anseri,Mareca_strepera,791,1116.5,Prinzinger & Hanssler 1980
Birds,Non‐Passer,Anseri,Netta_rufina,1237,1278,Prinzinger & Hanssler 1980
