Class,Species,Order,Mass,Tb,Tlc,BMR,Cmin,BMR.res,Cmin.res,A,I
Mammals,Setifer setosus,Afrosoricida,530,32.2,28,122.4,29.14,-0.43,-0.03,0.4,0
Mammals,Pecari tajacu,Artiodactyla,20000,38,28,5800,580,0.11,0.38,0.27,1
Mammals,Philantomba monticola,Artiodactyla,4200,39.1,25,1806,128.09,0.09,0.1,0.01,1
Mammals,Raphicerus campestris,Artiodactyla,9600,39,30,3696,410.67,0.14,0.4,0.26,1
Mammals,Tragulus javanicus,Artiodactyla,1618,38.4,26.6,872.1,73.91,0.07,0.1,0.03,1
Mammals,Ailurus fulgens,Carnivora,5740,37.6,25,878.2,69.7,-0.32,-0.24,0.08,0
Mammals,Arctictis binturong,Carnivora,14280,36,27,1128.1,125.34,-0.5,-0.21,0.29,0
Mammals,Arctogalidia trivirgata,Carnivora,2010,36.2,19,552.8,32.14,-0.19,-0.32,-0.13,1
Mammals,Canis latrans,Carnivora,10000,36,22,2700,192.86,-0.01,0.07,0.08,0.87
Mammals,Cerdocyon thous,Carnivora,5444,38.6,25,1497.1,110.08,-0.07,-0.03,0.04,0
Mammals,Eira barbara,Carnivora,2950,38.4,26,1221.3,98.49,0.03,0.07,0.04,1
Mammals,Fossa fossana,Carnivora,2260,37.9,26,906.3,76.16,-0.01,0.03,0.04,0.73
Mammals,Galerella sanguinea,Carnivora,540,38.7,26,410.4,32.31,0.09,0.01,-0.08,0
Mammals,Genetta tigrina,Carnivora,1698,38.5,26,747.1,59.77,-0.01,-0.01,0,0
Mammals,Martes americana,Carnivora,900,37,26,594.9,54.08,0.09,0.1,0.01,1
Mammals,Nandinia binotata,Carnivora,4270,37.4,27,862.5,82.93,-0.24,-0.09,0.15,0
Mammals,Paradoxurus hermaphroditus,Carnivora,2910,36.5,27,797.3,83.93,-0.15,0.01,0.16,0.05
Mammals,Spilogale putorius,Carnivora,624,36.5,30,312,48,-0.07,0.14,0.21,0.67
