"","Class","Species","Activity","LogM","LogMR","Ta","MR","M","Applied.stress","No","Dataset","Respiration","Habitat","Habitat2","Respiration2","Individual","bmkleur","Tkleur"
"5","fish","Acipenser transmontanus","RMR",2.95424250943932,1.44279322593977,10,27.7200000000001,899.99999999999,"non.restbase",2,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Acipenser transmontanus 900",2,1
"6","fish","Acipenser transmontanus","RMR",2.95424250943932,1.69143515214406,15,49.1399999999998,899.99999999999,"non.restbase",3,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Acipenser transmontanus 900",2,2
"7","fish","Acipenser transmontanus","RMR",2.97772360528885,1.7036352375839,15,50.5400000000005,950.000000000005,"non.restbase",4,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Acipenser transmontanus 950",2,2
"65","fish","Ameiurus nebulosus","RMR",1.87448181769947,0.688062806267658,25,4.87599,74.9000000000006,"non.restbase",60,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 74.9",2,3
"66","fish","Ameiurus nebulosus","RMR",1.87448181769947,0.715215052311273,25,5.19057,74.9000000000006,"non.restbase",61,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 74.9",2,3
"67","fish","Ameiurus nebulosus","RMR",1.87448181769947,0.719579857713723,25,5.243,74.9000000000006,"non.restbase",62,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 74.9",2,3
"68","fish","Ameiurus nebulosus","RMR",1.87448181769947,0.723901231496366,25,5.29543,74.9000000000006,"non.restbase",63,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 74.9",2,3
"69","fish","Ameiurus nebulosus","RMR",2.06069784035361,0.935179658053078,30,8.6135,115,"non.restbase",64,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 115",2,3
"70","fish","Ameiurus nebulosus","RMR",2.06445798922692,0.210586024905157,10,1.624,116,"non.restbase",65,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 116",2,1
"71","fish","Ameiurus nebulosus","RMR",2.16731733474818,0.838490177463259,20,6.89429999999999,147.000000000001,"non.restbase",66,"Restbase","Branchial","Aquatic","Aquatic","Non-aerial","Ameiurus nebulosus 147",2,2
"100","fish","Anguilla anguilla","RMR",1.90308998699194,0.464191370641,25,2.912,79.9999999999993,"non.restbase",95,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"101","fish","Anguilla anguilla","RMR",1.90308998699194,0.504062882678692,25,3.192,79.9999999999993,"non.restbase",96,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"102","fish","Anguilla anguilla","RMR",1.90308998699194,0.511616020569138,25,3.248,79.9999999999993,"non.restbase",97,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"103","fish","Anguilla anguilla","RMR",1.90308998699194,0.561101383649056,25,3.64,79.9999999999993,"non.restbase",98,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"104","fish","Anguilla anguilla","RMR",1.90308998699194,0.567731962548069,25,3.696,79.9999999999993,"non.restbase",99,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"105","fish","Anguilla anguilla","RMR",1.90308998699194,0.587037117743456,25,3.864,79.9999999999993,"non.restbase",100,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"106","fish","Anguilla anguilla","RMR",1.90308998699194,0.605520523437469,25,4.032,79.9999999999993,"non.restbase",101,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"107","fish","Anguilla anguilla","RMR",1.90308998699194,0.611510887126656,25,4.088,79.9999999999993,"non.restbase",102,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"108","fish","Anguilla anguilla","RMR",1.90308998699194,0.6232492903979,25,4.2,79.9999999999993,"non.restbase",103,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"110","fish","Anguilla anguilla","RMR",1.90308998699194,0.629001619286992,25,4.256,79.9999999999993,"non.restbase",105,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"111","fish","Anguilla anguilla","RMR",1.90308998699194,0.634678752178682,25,4.312,79.9999999999993,"non.restbase",106,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"112","fish","Anguilla anguilla","RMR",1.90308998699194,0.682686478249768,25,4.816,79.9999999999993,"non.restbase",107,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"114","fish","Anguilla anguilla","RMR",1.90308998699194,0.697578033651113,25,4.984,79.9999999999993,"non.restbase",109,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"115","fish","Anguilla anguilla","RMR",1.90308998699194,0.707229419327294,25,5.096,79.9999999999993,"non.restbase",110,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"116","fish","Anguilla anguilla","RMR",1.90308998699194,0.752509400788843,25,5.656,79.9999999999993,"non.restbase",111,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla anguilla 80",2,3
"117","fish","Anguilla japonica","RMR",2.51188336097887,0.658011396657112,14.5,4.55,324.999999999997,"non.restbase",112,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"118","fish","Anguilla japonica","RMR",2.51188336097887,0.67920069572705,13,4.77749999999999,324.999999999997,"non.restbase",113,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"119","fish","Anguilla japonica","RMR",2.51188336097887,0.699404081815337,14.5,5.00499999999999,324.999999999997,"non.restbase",114,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"120","fish","Anguilla japonica","RMR",2.51188336097887,0.771954748963949,15,5.915,324.999999999997,"non.restbase",115,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"121","fish","Anguilla japonica","RMR",2.51188336097887,0.819379398892087,14.5,6.5975,324.999999999997,"non.restbase",116,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"122","fish","Anguilla japonica","RMR",2.51188336097887,0.848343094827404,15,7.0525,324.999999999997,"non.restbase",117,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"124","fish","Anguilla japonica","RMR",2.51188336097887,0.875495340871019,19,7.50750000000001,324.999999999997,"non.restbase",119,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"125","fish","Anguilla japonica","RMR",2.51188336097887,0.913283901760418,16,8.18999999999999,324.999999999997,"non.restbase",120,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"127","fish","Anguilla japonica","RMR",2.51188336097887,0.925183125060126,18,8.4175,324.999999999997,"non.restbase",122,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"129","fish","Anguilla japonica","RMR",2.51188336097887,0.969765257712867,18,9.32750000000001,324.999999999997,"non.restbase",124,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"131","fish","Anguilla japonica","RMR",2.51188336097887,0.980230691391032,17,9.55500000000001,324.999999999997,"non.restbase",126,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
"134","fish","Anguilla japonica","RMR",2.51188336097887,1.00043407747932,20,10.01,324.999999999997,"non.restbase",129,"Restbase","Branchial","Aquatic/Semiaquatic","Semiaquatic","Non-aerial","Anguilla japonica 325",2,2
