"","Group","Species","Mass","Tb","Tlc","BMR","MeanTemp","MinTemp","MaxTemp","kT","Latitude"
"1","Mammals","Pecari_tajacu",9.90348755253613,38,28,8.66561319653451,21.91492537,8.8,28.4,37.2840368768952,-4.81875789
"2","Mammals","Philantomba_monticola",8.34283980427146,39.1,25,7.49886973397693,23.25555556,20.5,26.7,37.15269199118,-4.69192096
"3","Mammals","Raphicerus_campestris",9.16951837745593,39,30,8.21500643276157,20.60149254,13.9,23,37.1645941830721,-20.97527672
"4","Mammals","Tragulus_javanicus",7.38894609761844,38.4,26.6,6.77090409623294,25.775,23.6,26.9,37.2361677876615,-7.34599234
"5","Mammals","Ailurus_fulgens",8.65521448931361,37.6,25,6.77787435812762,1.85,-7.1,8.6,37.3320292011132,28.60568736
"6","Mammals","Arctogalidia_trivirgata",7.60589000105312,36.2,19,6.31499627245346,24.9375,20.9,27,37.500979713095,9.88905923
"7","Mammals","Canis_latrans",9.21034037197618,36,22,7.90100705199242,11.66742122,-12.1,27.3,37.525240414834,43.96565408
"8","Mammals","Cerdocyon_thous",8.60226936377136,38.6,25,7.31128518245579,22.43101266,16.6,28.3,37.212279307926,-12.65999419
"9","Mammals","Eira_barbara",7.98956044933387,38.4,26,7.10767114417704,23.63697479,5.5,28.4,37.2361677876615,-5.6772246
"10","Mammals","Fossa_fossana",7.72312009226633,37.9,26,6.80937037706074,21.06666667,19.9,22.6,37.2960233860985,-17.76650973
"11","Mammals","Genetta_tigrina",7.43720636687129,38.5,26,6.61619904498176,16.95,16.4,17.5,37.2242197152124,-32.56048916
"12","Mammals","Martes_americana",6.80239476332431,37,26,6.38839332419386,1.213704819,-10.4,11.9,37.4042497960533,56.65092482
"13","Mammals","Nandinia_binotata",8.35936910622267,37.4,27,6.75983514890551,23.41355932,13.6,26.7,37.356071725152,-0.43982519
"14","Mammals","Paradoxurus_hermaphroditus",7.97590836016554,36.5,27,6.68123101950845,24.81891892,14.6,27.8,37.4646474220763,16.52080307
"15","Mammals","Spilogale_putorius",6.43615036836943,36.5,30,5.74300318780948,16.20989011,4.6,24.2,37.4646474220763,37.72619846
"16","Mammals","Suricata_suricatta",6.74523634948436,36.3,30,5.73753957145433,19.63333333,14.9,21.2,37.4888611221391,-26.09116101
"17","Mammals","Vulpes_macrotis",7.53262361878879,38,22,7.04158662661566,17.5675,8.6,23.3,37.2840368768952,32.83117994
"18","Mammals","Vulpes_zerda",3.7864597824528,32,23.4,3.15700042115011,21.23529412,19.1,24.5,38.0171328010681,23.08414662
"19","Mammals","Anoura_latidens",2.61006979274201,38.12,34.7,3.60821155104648,18.6,18.6,18.6,37.2696632320684,3.26655851
"20","Mammals","Artibeus_concolor",2.98061863574394,35,29,3.68386691229039,26.54444444,23.1,28.3,37.6470163045463,-2.72077154
"21","Mammals","Artibeus_jamaicensis",3.81109708683819,36,25,4.34120464015363,24.38595318,11,28.2,37.525240414834,16.48567678
"22","Mammals","Artibeus_lituratus",4.24992279404054,36.7,25,4.68213122712422,23.91057402,6.9,28.5,37.4404649806227,-5.33769773
"23","Mammals","Carollia_perspicillata",2.70136121295141,36.6,29,3.7635229971097,24.51503462,9.4,28.5,37.4525522978077,-6.45890257
"24","Mammals","Chrotopterus_auritus",4.56538931597625,37.2,28,4.95088528969048,23.52337662,15.1,27.8,37.3801452368163,-7.0159102
"25","Mammals","Cynopterus_brachyotis",3.62167070442049,36.5,30,3.8607297110406,25.50736842,17,28.1,37.4646474220763,11.56950966
"26","Mammals","Desmodus_rotundus",3.38099467434464,35,29,3.54673968695281,22.90733558,4.1,28.5,37.6470163045463,-7.96283576
"27","Mammals","Diaemus_youngi",3.60004824040732,33,25,3.61899332664977,25.97058824,23.6,28.2,37.8929546766158,-7.44780527
"28","Mammals","Diphylla_ecaudata",3.32503602069659,33,26,3.65325227647079,23.27727273,15.7,26.5,37.8929546766158,-5.6044573
"29","Mammals","Dobsonia_anderseni",5.48645530866343,36.4,28,5.15905529921453,25.93333333,23.4,27,37.4767503609948,-5.026476
"30","Mammals","Dobsonia_praedatrix",5.19017520792833,37.1,26,4.95934199970871,25.86,23.7,26.9,37.3921936317355,-5.12186926
"31","Mammals","Eonycteris_spelaea",3.94352167248752,34,26,3.87120101090789,25.21271186,2.8,28,37.7695851350999,11.20391961
"32","Mammals","Glossophaga_longirostris",2.60268968544438,37.5,31.5,3.27714473299218,26.14433962,22.7,28.5,37.3440465934201,6.52541329
"33","Mammals","Glossophaga_soricina",1.91692261218206,36.5,31.4,2.87356463957978,24.37271523,10.3,28.5,37.4646474220763,-5.20015707
"34","Mammals","Hipposideros_galeritus",2.14006616349627,31.9,29,2.24070968927596,25.5875,20.3,27.3,38.0295953917258,8.79200489
"35","Mammals","Histiotus_velatus",2.41591377830105,32,25,2.30258509299405,20.41875,16,23.4,38.0171328010681,-17.40034259
"36","Mammals","Leptonycteris_curasoae",3.17805383034795,36,27,3.52929738428947,26.99090909,24.1,28.5,37.525240414834,8.03916559
"37","Mammals","Macroderma_gigas",4.67282883446191,35.6,30,4.54542018158232,26.76647399,21.5,28.8,37.573856110918,-18.26226431
"38","Mammals","Miniopterus_schreibersii",2.38967979984498,37.7,32.5,3.25809653802148,13.27241379,6.8,17.9,37.3200195407622,41.43511395
"39","Mammals","Molossus_molossus",2.74727091425549,36,32,3.11351530921037,24.55373665,14.3,28.3,37.525240414834,-7.55403424
"40","Mammals","Monophyllus_redmani",2.16332302566054,35.5,31,2.40694510831829,23.7402439,17.8,26.3,37.586029723784,20.29350596
"41","Mammals","Mormoops_blainvillei",2.15176220325946,33,30,2.07944154167984,23.87407407,21.1,26.2,37.8929546766158,20.28699118
"42","Mammals","Natalus_tumidirostris",1.68639895357023,34,28,2.11625551480255,23.94545455,14.8,27.3,37.7695851350999,7.01554418
"43","Mammals","Noctilio_albiventris",3.29583686600433,34.2,32,3.45315712059287,25.50238095,20,28.2,37.7450075622123,-6.81337993
"44","Mammals","Noctilio_leporinus",4.11087386417331,33.3,28,4.25985900069967,25.71481481,21.3,28.1,37.8558592731145,-6.25776415
"45","Mammals","Nyctimene_albiventer",3.4307561839037,35.9,28,3.27336401015227,25.25222222,19.3,27.3,37.5373825408379,-5.11781528
"46","Mammals","Peropteryx_macrotis",1.62924053973028,35,30.5,2.46809953147162,25.57080745,17.9,28.2,37.6470163045463,-5.40395059
"47","Mammals","Phyllostomus_discolor",3.51154543883102,34,25,3.86911550441687,25.43819876,12.6,28.3,37.7695851350999,-5.29861922
"48","Mammals","Phyllostomus_elongatus",3.57234563785798,36,25,3.65842024662923,26.03504274,19.2,28.3,37.525240414834,-6.20344259
"49","Mammals","Phyllostomus_hastatus",4.43319492124828,35,25,4.60716818865076,25.13584906,15.9,28.3,37.6470163045463,-6.05921165
"50","Mammals","Pteronotus_quadridens",1.58923520511658,32.8,30,1.80828877117927,24.48108108,20.4,26.4,37.9177253611569,20.28762237
"51","Mammals","Rhinonicteris_aurantia",2.1126345090356,36.1,32.5,2.78501124223834,27.13673469,24.3,28.9,37.5131061414582,-16.44726771
"52","Mammals","Rhinophylla_pumilio",2.2512917986065,36,30,2.92316158071916,25.55547445,21.3,27.2,37.525240414834,-4.55716555
"53","Mammals","Saccopteryx_bilineata",2.10413415427021,35.5,30,2.72785282839839,25.72868852,6.9,28.7,37.586029723784,-3.89663315
"54","Mammals","Sturnira_erythromos",2.76631910922619,34.4,25.5,3.68637632389582,16.54630542,5.2,25.6,37.7204619549535,-5.1573508
"55","Mammals","Sturnira_lilium",3.08648663682246,36.6,30,3.9740583963476,23.72422464,11.8,28.3,37.4525522978077,-18.97199576
"56","Mammals","Tonatia_bidens",3.31054301339402,37,28,4.00914971615887,21.88333333,15.1,25.4,37.4042497960533,-20.29007748
"57","Mammals","Uroderma_bilobatum",2.78501124223834,36.3,30,3.45315712059287,25.39327354,16.2,28.2,37.4888611221391,-6.76688357
"58","Mammals","Chaetophractus_vellerosus",7.01211529430638,34.4,30,5.72489143786644,18.33793103,13.2,25,37.7204619549535,-25.58783064
"59","Mammals","Dasypus_novemcinctus",8.10772006191053,34.5,28,6.69307580608006,20.85373665,10.8,28.4,37.7082011189532,-0.16238402
"60","Mammals","Euphractus_sexcinctus",9.01066917684711,34.2,26,7.12681048438774,22.89622642,16.8,26.5,37.7450075622123,-16.13807327
"61","Mammals","Zaedyus_pichiy",7.46164039220858,35.2,28,5.97431838827301,10.94605263,4.2,17.3,37.6225979382064,-40.79930337
"62","Mammals","Planigale_maculata",2.57261223020711,34.2,31,2.58021682959233,24.50197487,15.2,28.8,37.7450075622123,-19.83256739
