,Group,Tips.Label,Clade,dN,dS,dNdS,Species,Clade.Age,Tip.Age,Order,Family,Lat,Habitat,BodyMass,Longevity,MaturityAge,Fecundity,Ref.BodyMass,Ref.Longevity,Ref.MaturityAge,Ref.Fecundity,AnnualTemp,ThermoMode
1,Fishes,Polypteriformes_Polypteridae_Polypterus_bichir,Fishes_Node263,1.59E-10,1.29E-09,0.123488847,Polypterus_bichir,13.947429,6.077938,Polypteriformes,Polypteridae,13.19194313,Freshwater,2650,15,5,951,FishBase,https://www.aquariumsource.com/bichir/,https://www.buildyouraquarium.com/bichir-care/,"Distribution, Morphometrics, Feeding Evaluation and the Reproductive Capacity of Polypterus Bichir from the River Niger at Agenebode in Edo State Nigeria.",26.42885437,Ectotherms
2,Fishes,Polypteriformes_Polypteridae_Polypterus_endlicheri,Fishes_Node263,8.72E-11,1.03E-09,0.084669045,Polypterus_endlicheri,13.947429,6.077938,Polypteriformes,Polypteridae,10.17539267,Freshwater,3400,15,8,3763.831073,FishBase,https://www.fishlaboratory.com/fish/saddled-bichir/,https://animalscene.ph/polypterus-endlicheri-endlicheri-a-monster-bichir-in-your-tank/,Predicted,27.01672058,Ectotherms
3,Fishes,Amiiformes_Amiidae_Amia_calva,Fishes_Node267,4.70E-11,6.84E-10,0.068747977,Amia_calva,250,250,Amiiformes,Amiidae,30.23076923,Freshwater,17389.8,12,3.3,23600,FishBase,Animal Diversity Web,FishBase,FishBase,14.21898804,Ectotherms
4,Fishes,Lepisosteiformes_Lepisosteidae_Lepisosteus_oculatus,Fishes_Node267,4.39E-11,4.37E-10,0.100443656,Lepisosteus_oculatus,250,4.299992,Lepisosteiformes,Lepisosteidae,37.61538462,Marine&Freshwater,31909.8,18,1.7,1772,FishBase,FishBase,FishBase,FishBase,11.689991,Ectotherms
5,Fishes,Lepisosteiformes_Lepisosteidae_Lepisosteus_platyrhincus,Fishes_Node267,4.95E-11,5.85E-10,0.084736772,Lepisosteus_platyrhincus,250,4.299992,Lepisosteiformes,Lepisosteidae,29.84375,Freshwater,9610,20,6,77156,FishBase,wordlspecies.org,wordlspecies.org,wordlspecies.org,20.73764496,Ectotherms
6,Fishes,Elopiformes_Megalopidae_Megalops_cyprinoides,Fishes_Node270,5.22E-11,9.27E-10,0.056261792,Megalops_cyprinoides,151.104655,151.104655,Elopiformes,Megalopidae,13.95650636,Marine&Freshwater,44383.2,44,4.039682565,219754.4548,FishBase,FishBase,Predicted,Predicted,26.53796806,Ectotherms
7,Fishes,Anguilliformes_Anguillidae_Anguilla_japonica,Fishes_Node270,8.08E-11,7.56E-10,0.106963459,Anguilla_japonica,151.104655,8.955598,Anguilliformes,Anguillidae,28.76361032,Marine&Freshwater,6329.7,26.01058003,5,7.00E+05,FishBase,Predicted,https://kokushi.fra.go.jp/R01/R01_77_ELJ_English.pdf,The Fishes of Qinling,17.7348175,Ectotherms
8,Fishes,Anguilliformes_Anguillidae_Anguilla_rostrata,Fishes_Node270,2.01E-10,1.62E-09,0.123814636,Anguilla_rostrata,151.104655,4.586802,Anguilliformes,Anguillidae,35.29304029,Marine&Freshwater,7511.5,50,5.4,6373333,FishBase,FishBase,FishBase,FishBase,16.47396529,Ectotherms
9,Fishes,Anguilliformes_Anguillidae_Anguilla_anguilla,Fishes_Node270,9.97E-11,8.81E-10,0.113191981,Anguilla_anguilla,151.104655,4.586802,Anguilliformes,Anguillidae,45.86932939,Marine&Freshwater,3419.2,88,8.8,1.00E+07,FishBase,AnAge,FishBase,Relationships between genetic variability and life_history features of bony fishes,9.275670159,Ectotherms
10,Fishes,Osteoglossiformes_Pantodontidae_Pantodon_buchholzi,Fishes_Node274,1.05E-10,1.92E-09,0.054633932,Pantodon_buchholzi,179.486855,179.486856,Osteoglossiformes,Pantodontidae,4.294285714,Freshwater,20.9,10,1.758932149,220,FishBase,http://www.aquascapinglab.com/en/2017/10/31/pantodon-buchholzi-african-butterfly-fish-facts-info/,Predicted,FishBase,24.02068176,Ectotherms
