Seq.Names,Clade.Label
Erpetoichthys_calabaricus_AP004350.1,Polypteriformes
Polypterus_retropinnis_HM143937.1,Polypteriformes
Polypterus_endlicherii_congicus_HM143929.1,Polypteriformes
Polypterus_ansorgii_HM143926.1,Polypteriformes
Polypterus_bichir_bichir_HM143927.1,Polypteriformes
Polypterus_mokelembembe_HM143934.1,Polypteriformes
Polypterus_ornatipinnis_AP004351.1,Polypteriformes
Polypterus_weeksii_HM143939.1,Polypteriformes
Polypterus_teugelsi_HM143938.1,Polypteriformes
Polypterus_senegalus_senegalus_AP004352.1,Polypteriformes
Polypterus_palmas_polli_HM143936.1,Polypteriformes
Polypterus_delhezi_HM143930.1,Polypteriformes
Polyodon_spathula_AY510086.1,Acipenseriformes
Psephurus_gladius_AY571339.1,Acipenseriformes
Scaphirhynchus_platorynchus_MF101788.1,Acipenseriformes
Acipenser_sturio_KP997216.1,Acipenseriformes
Acipenser_oxyrinchus_oxyrinchus_KU985073.1,Acipenseriformes
Huso_dauricus_MK078264.1,Acipenseriformes
Acipenser_medirostris_KM591217.1,Acipenseriformes
Acipenser_transmontanus_NC_004743.1,Acipenseriformes
Acipenser_schrenckii_MH973731.1,Acipenseriformes
Acipenser_sinensis_KJ174513.1,Acipenseriformes
Huso_huso_AY442351.1,Acipenseriformes
Pseudoscaphirhynchus_kaufmanni_MN746333.1,Acipenseriformes
Acipenser_stellatus_NC_005795.1,Acipenseriformes
Acipenser_nudiventris_KU321568.1,Acipenseriformes
Acipenser_ruthenus_KF153104.1,Acipenseriformes
Acipenser_fulvescens_KU985082.2,Acipenseriformes
Acipenser_brevirostrum_KX817302.2,Acipenseriformes
Acipenser_baerii_MW856903.1,Acipenseriformes
Acipenser_persicus_MW713795.1,Acipenseriformes
Acipenser_naccarii_MK078265.1,Acipenseriformes
Acipenser_gueldenstaedtii_KJ789859.1,Acipenseriformes
Amia_calva_AY442347.1,Holostei
Lepisosteus_osseus_DQ536423.1,Holostei
Lepisosteus_oculatus_AB042861.1,Holostei
Atractosteus_tropicus_KJ531198.1,Holostei
