Species,Migration1,Migration2
Acanthis_flammea,Short Migratory,Long Migratory
Acanthisitta_chloris,Resident,Resident
Acanthiza_nana,Resident,Resident
Acanthorhynchus_tenuirostris,Resident,Resident
Accipiter_gentilis,Short Migratory,Short Migratory
Accipiter_nisus,Short Migratory,Long Migratory
Accipiter_soloensis,Long Migratory,Long Migratory
Accipiter_trivirgatus,Resident,Resident
Accipiter_virgatus,Short Migratory,Resident
Acridotheres_cristatellus,Short Migratory,Resident
Acridotheres_tristis,Short Migratory,Resident
Acrocephalus_arundinaceus,Long Migratory,Long Migratory
Acrocephalus_orientalis,Long Migratory,Long Migratory
Acrocephalus_scirpaceus,Long Migratory,Long Migratory
Acryllium_vulturinum,Resident,Resident
Actinodura_cyanouroptera,Resident,Resident
Aegithalos_bonvaloti,Resident,Resident
Aegithalos_concinnus,Resident,Resident
Aegithalos_glaucogularis,Resident,Resident
Aegolius_funereus,Short Migratory,Short Migratory
Aegotheles_bennettii,Resident,Resident
Aegotheles_cristatus,Resident,Resident
Aegypius_monachus,Resident,Short Migratory
Aethia_cristatella,Long Migratory,Long Migratory
Aethopyga_gouldiae,Short Migratory,Resident
Agapornis_nigrigenis,Resident,Resident
Agapornis_roseicollis,Resident,Resident
Agelaioides_badius,Resident,Resident
Agelaius_phoeniceus,Long Migratory,Long Migratory
Agelasticus_cyanopus,Resident,Resident
Agelasticus_thilius,Resident,Short Migratory
Aix_galericulata,Long Migratory,Long Migratory
Akialoa_obscura,Resident,Resident
Alauda_arvensis,Short Migratory,Long Migratory
Alaudala_cheleensis,Short Migratory,Short Migratory
Alca_torda,Long Migratory,Long Migratory
Alcedo_atthis,Resident,Short Migratory
Alcippe_morrisonia,Short Migratory,Resident
Aleadryas_rufinucha,Resident,Resident
Alectoris_chukar,Resident,Resident
Amaurornis_phoenicurus,Resident,Short Migratory
Amazona_barbadensis,Resident,Resident
Amazona_guildingii,Resident,Resident
Amazona_ochrocephala,Resident,Resident
Amazona_ventralis,Resident,Resident
Amblyramphus_holosericeus,Resident,Resident
Anas_acuta,Long Migratory,Long Migratory
Anas_crecca,Short Migratory,Short Migratory
Anas_platyrhynchos,Short Migratory,Long Migratory
Anhinga_anhinga,Resident,Resident
Anhinga_melanogaster,Short Migratory,Resident
Anhinga_rufa,Resident,Resident
Anser_anser,Long Migratory,Long Migratory
Anser_cygnoides,Long Migratory,Long Migratory
Anser_indicus,Long Migratory,Long Migratory
Anseranas_semipalmata,Short Migratory,Short Migratory
Anthoscopus_minutus,Resident,Resident
Anthracoceros_coronatus,Resident,Resident
Anthus_campestris,Long Migratory,Long Migratory
Anthus_hodgsoni,Long Migratory,Long Migratory
Anthus_novaeseelandiae,Resident,Resident
Anthus_richardi,Long Migratory,Long Migratory
Antigone_antigone,Short Migratory,Short Migratory
Antigone_canadensis,Long Migratory,Long Migratory
Antigone_rubicunda,Short Migratory,Resident
Antigone_vipio,Long Migratory,Long Migratory
Antrostomus_carolinensis,Long Migratory,Long Migratory
Apaloderma_narina,Resident,Resident
Apaloderma_vittatum,Resident,Resident
