"Species","xmin","ymin","xmax","ymax","xcentre","ycentre","area"
"Agelasticus_cyanopus",-67.7509765629999,-34.962585449,-39.13079834,4.40509033200004,-55.0887297805939,-19.8124765806602,2879346.76965361
"Agelasticus_thilius",-74.4077759,-52.5427856,-48.4077759,-13.0427856,-62.8483781490665,-31.8966907814299,2823076.3664307
"Agelaioides_badius",-69.3068847649999,-43.668090821,-45.006248474,-12.974975587,-60.0320499196973,-27.4332855886206,3740662.50025663
"Oreopsar_bolivianus",-66.359985351,-20.685485839,-64.098327636,-16.951293945,-65.2536788117482,-18.6480882074517,77643.1271301625
"Pseudoleistes_virescens",-65.9508057,-40.0667114,-48.4508057,-23.5667114,-60.5403718415218,-32.5806791022388,1220901.26387477
"Pseudoleistes_guirahuro",-60.3659057629999,-34.9777832029999,-43.3562011719999,-14.596313477,-52.2296038797141,-23.7376214365346,2143162.28577657
"Xanthopsar_flavus",-63.4360962,-38.7705078,-48.9360962,-24.2705078,-57.2635088993189,-31.5555579151043,710816.053982227
"Chrysomus_ruficapillus",-65.356506348,-37.1652510449999,-34.792480467,4.75891113300003,-50.9315792657723,-19.9039057324974,5807335.58621904
"Chrysomus_icterocephalus",-78.083688896,-8.62799072299993,-46.788208007,12.489318847,-65.5495469287522,4.38350728034671,1588244.96834855
"Gnorimopsar_chopi",-69.198913574,-34.9777832029999,-34.792480467,-0.582519531999935,-50.9139307671997,-18.1888871716851,5948484.05325608
"Amblyramphus_holosericeus",-67.945983887,-37.1870117189999,-46.701568591,-12.345886231,-57.0629017539623,-26.3892982480539,1583485.94162575
"Curaeus_curaeus",-75.7175293,-55.661377,-64.7175293,-25.161377,-70.6427114014437,-44.304233465334,1027970.40823247
"Macroagelaius_imthurni",-67.67980957,4.27947998200005,-59.6027832029999,6.17449951100002,-62.6044497445748,5.2050764185939,59167.6869596891
"Gymnomystax_mexicanus",-78.093627928,-9.93121337899993,-48.3635864249999,11.411499024,-64.4771071431463,1.49700026904612,1570690.89823138
"Quiscalus_mexicanus",-122.8366089,-3.6564614,-71.8366089,43.8435386,-100.885222652698,29.0961608977896,5114294.58863261
"Quiscalus_quiscula",-121.8435059,25.3704834,-57.3435059,61.3704834,-93.3083668916255,44.1173941641143,8433889.92792222
"Euphagus_cyanocephalus",-128.2144775,17.0609131,-78.2144775,62.0609131,-103.92059007782,40.0425282197889,10221508.8538536
"Dives_dives",-99.609985351,9.16247558500004,-83.230285645,23.795715332,-90.4732100436215,17.0576003824547,594118.194360704
"Agelaius_phoeniceus",-152.3046875,9.911499,-57.8046875,67.411499,-100.605674811848,43.3501686161486,14101059.6787345
"Molothrus_aeneus",-115.8596615,7.359314,-78.8596615,35.859314,-98.9860633365499,23.117943759314,2502722.03063805
"Nesopsar_nigerrimus",-77.9187011719999,17.9542846680001,-76.2792968749999,18.426086426,-77.0990323004278,18.1625895433203,1733.413508068
"Icterus_bullockii",-124.5275879,13.9160767,-89.5275879,51.9160767,-107.610923638801,33.6325984084305,5162964.14524802
"Icterus_mesomelas",-97.665527343,-9.20770263699995,-70.6768188469999,21.908325195,-82.5535938753576,11.0249317301422,999490.384777562
"Sturnella_neglecta",-128.2144775,19.5516968,-77.2144775,56.5516968,-105.091648395714,39.5160934867782,8663522.08491979
