ThermoMode,Group,ID,Lineage1.Name,Lineage2.Name,Lineage1.Mean.dS,Lineage2.Mean.dS,Lineage1.Mean.dN,Lineage2.Mean.dN,Lineage1.Spp,Lineage2.Spp,Diff.dS,Diff.dS.SD,Diff.dN,Diff.dN.SD,Diff.Spp
Ectotherms,Fishes,1,Acipenseridae,Polyodontidae,0.1257689,0.111663667,0.0029561,0.004183067,25,2,0.10733232,0.652815179,-0.352564609,0.128607938,2.525728644
Ectotherms,Fishes,2,Lepisosteidae,Amiidae,0.375573533,0.436571733,0.018873133,0.0163462,7,1,-0.153271824,0.135296348,0.143765289,0.004283685,1.945910149
Ectotherms,Fishes,3,Elopidae,Megalopidae,0.360291,0.359022917,0.007308417,0.010208583,7,2,0.000804551,0.073543656,-0.333062983,0.052493106,1.252762968
Ectotherms,Fishes,4,Notacanthidae,Halosauridae,0.308806084,0.17724325,0.004837584,0.003059667,11,16,-0.559407388,0.078797612,-0.45440661,0.142658956,0.374693449
Ectotherms,Fishes,5,Anguillidae,Serrivomeridae+Nemichthyidae,0.270828539,0.472495161,0.004889811,0.009197811,23,20,-0.416163408,0.467338316,-0.583770285,0.204245114,0.139761942
Ectotherms,Fishes,6,Eurypharyngidae+Moringuidae,Saccopharyngidae,0.525385555,0.582959222,0.014801111,0.036028333,16,10,-0.139896335,0.194151979,-0.900543344,0.348250901,0.470003629
Ectotherms,Fishes,7,Chlopsidae,Muraenidae+Heterenchelyidae,0.566136759,0.751574426,0.015157222,0.015380944,22,209,0.29039839,0.35117903,0.018501853,0.15111538,2.251291799
Ectotherms,Fishes,8,Colocongridae,Derichthyidae,0.171775667,0.168268833,0.007046667,0.008903333,9,3,0.048274085,0.349291967,-0.1898774,0.402169056,1.098612289
Ectotherms,Fishes,9,Ophichthidae,Muraenesocidae,0.360586044,0.469122933,0.012446133,0.0212176,313,15,-0.254355942,0.19627904,-0.510650163,0.30347515,3.038152989
Ectotherms,Fishes,10,Congridae,Nettastomatidae,0.446168222,0.331064511,0.014744111,0.007136111,194,42,0.278321752,0.365415623,0.552957501,0.59555834,1.530188541
Ectotherms,Fishes,11,Notopteridae,Mormyridae+Gymnarchidae,0.652026017,0.543484539,0.014481794,0.009964928,10,223,-0.197802919,0.151559439,-0.371706569,0.149128927,3.104586678
Ectotherms,Fishes,12,Alepocephalidae,Platytroctidae,0.169498983,0.156194325,0.006264608,0.00673105,98,39,0.071192891,0.542384899,-0.117256513,0.340301493,0.921405833
Ectotherms,Fishes,13,Clupeidae,Dussumieriidae,0.537881117,0.424132133,0.008744417,0.0155377,200,9,0.157440091,0.442207263,-0.547284983,0.42520091,3.101092789
Ectotherms,Fishes,14,Pristigasteridae,Chirocentridae,0.50232075,1.092121167,0.0099275,0.02066175,38,3,-0.776276864,0.063755482,-0.735776079,0.082134576,2.538973871
Ectotherms,Fishes,15,Kneriidae,Chanidae,0.542512889,0.396118778,0.018118111,0.008760556,31,1,0.312578603,0.028624371,0.721793866,0.097812207,3.433987204
Ectotherms,Fishes,17,Balitoridae,Serpenticobitidae,0.2462401,0.196881267,0.005865,0.002574367,246,3,0.224673125,0.222029186,0.734739643,0.421061504,4.406719247
Ectotherms,Fishes,18,Gymnotidae,Hypopomidae+Rhamphichthyidae,0.449336111,0.430807111,0.019590111,0.017106111,40,42,-0.010716622,0.182167779,-0.103457696,0.254624549,0.048790164
Ectotherms,Fishes,19,Distichodontidae,Citharinidae,0.363613,0.309946667,0.008770333,0.006092,99,8,0.159689874,NA,0.364398341,NA,2.515678308
Ectotherms,Fishes,20,Erythrinidae,Lebiasinidae+Ctenoluciidae,0.442826,0.413369834,0.009380833,0.007929333,16,82,-0.070592687,0.087939114,-0.168133337,0.043644282,1.634130525
Ectotherms,Fishes,21,Bryconidae,Gasteropelecidae+Triportheidae,0.49249875,0.533664167,0.031816417,0.013901667,48,32,-0.112675111,0.290285028,0.790578192,0.344610702,0.405465108
Ectotherms,Fishes,22,Alestidae,Hepsetidae,0.379298333,0.517067667,0.013781,0.011083333,120,4,-0.309850696,NA,0.217848384,NA,3.401197382
Ectotherms,Fishes,23,Parodontidae,Chilodontidae,0.352381667,0.451482667,0.005993,0.013148667,32,8,-0.247822113,NA,-0.785728263,NA,1.386294361
Ectotherms,Fishes,24,Serrasalmidae,Hemiodontidae,0.263085167,0.269080722,0.005162667,0.006292278,92,31,-0.029365721,0.166454335,-0.210107215,0.161095354,1.087801373
Ectotherms,Fishes,25,Anostomidae,Curimatidae+Prochilodontidae,0.307000719,0.261131396,0.008644156,0.004956292,155,124,0.162787107,0.263039446,0.533391436,0.482582098,0.223143551
Ectotherms,Fishes,26,Callichthyidae,Loricariidae+Scoloplacidae,0.539142198,0.376592917,0.012085932,0.008821557,201,884,-0.359687702,0.110840415,-0.322469568,0.154747429,1.481152155
Ectotherms,Fishes,27,Doradidae,Auchenipteridae,0.278981333,0.2863045,0.005976722,0.008233278,94,110,0.03081265,0.145883163,0.332486222,0.142251051,0.157185584
