,Seq.Names,Order.AW,Species.AW1,Family.AW,Tree.Tips,Clade.Sizes,Lineages,Sisters,Sister,Label,Tree.Tip,Clade.Size
1,Rhinatrema_bivittatum_AY456252.1,Gymnophiona,Rhinatrema_bivittatum,Rhinatrematidae,Gymnophiona_Rhinatrematidae,14,,,,,,
2,Uraeotyphlus_cf._oxyurus_AY456254.1,Gymnophiona,Uraeotyphlus_oxyurus,Ichthyophiidae,Gymnophiona_Ichthyophiidae,57,,,,,,
3,Ichthyophis_glutinosus_AY456251.1,Gymnophiona,Ichthyophis_glutinosus,Ichthyophiidae,Gymnophiona_Ichthyophiidae,57,,,,,,
4,Scolecomorphus_vittatus_AY456253.1,Gymnophiona,Scolecomorphus_vittatus,Scolecomorphidae,Gymnophiona_Scolecomorphidae,6,,,,,,
5,Boulengerula_taitanus_AY954504.1,Gymnophiona,Boulengerula_taitana,Herpelidae,Gymnophiona_Herpelidae,10,,,,,,
6,Typhlonectes_natans_AF154051.1,Gymnophiona,Typhlonectes_natans,Typhlonectidae,Gymnophiona_Typhlonectidae,14,,,,,,
7,Gegeneophis_ramaswamii_AY456250.1,Gymnophiona,Gegeneophis_ramaswamii,Indotyphlidae,Gymnophiona_Indotyphlidae,24,,,,,,
8,Siphonops_annulatus_AY954506.1,Gymnophiona,Siphonops_annulatus,Siphonopidae,Gymnophiona_Siphonopidae,28,Lineage1,1,1,Siphonopidae,Gymnophiona_Siphonopidae,28
9,Geotrypetes_seraphini_AY954505.1,Gymnophiona,Geotrypetes_seraphini,Dermophiidae,Gymnophiona_Dermophiidae,14,Lineage2,1,1,Dermophiidae,Gymnophiona_Dermophiidae,14
10,Salamandrella_keyserlingii_JX508749.1,Caudata,Salamandrella_keyserlingii,Hynobiidae,Caudata_Hynobiidae,83,Lineage1,2,,,,
11,Salamandrella_tridactyla_JX508765.1,Caudata,Salamandrella_tridactyla,Hynobiidae,Caudata_Hynobiidae,83,Lineage1,2,,,,
12,Pseudohynobius_flavomaculatus_FJ532059.1,Caudata,Pseudohynobius_flavomaculatus,Hynobiidae,Caudata_Hynobiidae,83,Lineage1,2,,,,
13,Pseudohynobius_shuichengensis_FJ532060.1,Caudata,Pseudohynobius_shuichengensis,Hynobiidae,Caudata_Hynobiidae,83,Lineage1,2,,,,
