,Seq.Names,Species.IOC,Order.IOC,Family.IOC,Tree.Tips,Clade.Sizes,Lineages,Sisters,Sister,Label,Tree.Tip,Clade.Size
1,Struthio_camelus_AF338715.1,Struthio_camelus,STRUTHIONIFORMES,Struthionidae,STRUTHIONIFORMES_Struthionidae,2,,,,,,
2,Casuarius_casuarius_AF338713.2,Casuarius_casuarius,CASUARIIFORMES,Casuariidae,CASUARIIFORMES_Casuariidae,4,Lineage1,1,,,,
3,Casuarius_bennetti_AY016011.1,Casuarius_bennetti,CASUARIIFORMES,Casuariidae,CASUARIIFORMES_Casuariidae,4,Lineage1,1,,,,
4,Dromaius_novaehollandiae_AF338711.1,Dromaius_novaehollandiae,CASUARIIFORMES,Casuariidae,CASUARIIFORMES_Casuariidae,4,Lineage1,1,1,Casuariidae,CASUARIIFORMES_Casuariidae,4
5,Apteryx_owenii_GU071052.1,Apteryx_owenii,APTERYGIFORMES,Apterygidae,APTERYGIFORMES_Apterygidae,5,Lineage2,1,1,Apterygidae,APTERYGIFORMES_Apterygidae,5
6,Apteryx_haastii_AF338708.2,Apteryx_haastii,APTERYGIFORMES,Apterygidae,APTERYGIFORMES_Apterygidae,5,Lineage2,1,,,,
7,Apteryx_australis_mantelli_KU695537.1,Apteryx_australis,APTERYGIFORMES,Apterygidae,APTERYGIFORMES_Apterygidae,5,Lineage2,1,,,,
8,Apteryx_rowi_MN998652.1,Apteryx_rowi,APTERYGIFORMES,Apterygidae,APTERYGIFORMES_Apterygidae,5,Lineage2,1,,,,
9,Rhea_americana_NC_000846.1,Rhea_americana,RHEIFORMES,Rheidae,RHEIFORMES_Rheidae,2,Lineage1,2,,,,
10,Pterocnemia_pennata_AF338709.2,Rhea_pennata,RHEIFORMES,Rheidae,RHEIFORMES_Rheidae,2,Lineage1,2,2,Rheidae,RHEIFORMES_Rheidae,2
11,Crypturellus_cinnamomeus_MN356427.1,Crypturellus_cinnamomeus,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,2,Tinamidae,TINAMIFORMES_Tinamidae,46
12,Crypturellus_undulatus_MN356155.1,Crypturellus_undulatus,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
13,Crypturellus_soui_MN356154.1,Crypturellus_soui,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
14,Crypturellus_tataupa_AY016012.1,Crypturellus_tataupa,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
15,Tinamus_major_AF338707.3,Tinamus_major,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
16,Tinamus_guttatus_KR149454.1,Tinamus_guttatus,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
17,Nothocercus_nigrocapillus_MN356380.1,Nothocercus_nigrocapillus,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
18,Nothocercus_julius_MN356379.1,Nothocercus_julius,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
19,Nothoprocta_ornata_MN356381.1,Nothoprocta_ornata,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
20,Nothoprocta_pentlandii_MN356382.1,Nothoprocta_pentlandii,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
21,Nothoprocta_perdicaria_MN356428.1,Nothoprocta_perdicaria,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
22,Eudromia_elegans_AF338710.2,Eudromia_elegans,TINAMIFORMES,Tinamidae,TINAMIFORMES_Tinamidae,46,Lineage2,2,,,,
23,Chauna_torquata_MN356308.1,Chauna_torquata,ANSERIFORMES,Anhimidae,ANSERIFORMES_Anhimidae,3,,,,,,
24,Anseranas_semipalmata_MN356217.1,Anseranas_semipalmata,ANSERIFORMES,Anseranatidae,ANSERIFORMES_Anseranatidae,1,Lineage1,3,3,Anseranatidae,ANSERIFORMES_Anseranatidae,1
25,Anas_penelope_MT304825.1,Mareca_penelope,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,3,Anatidae,ANSERIFORMES_Anatidae,174
26,Mareca_strepera_MN186586.1,Mareca_strepera,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
27,Anas_falcata_KC759527.1,Mareca_falcata,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
28,Anas_crecca_KF203133.1,Anas_crecca,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
29,Anas_acuta_KF312717.1,Anas_acuta,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
30,Anas_platyrhynchos_KJ689447.1,Anas_platyrhynchos,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
31,Anas_formosa_JF730435.1,Sibirionetta_formosa,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
32,Anas_clypeata_KT345702.1,Spatula_clypeata,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
33,Aythya_ferina_KJ710708.1,Aythya_ferina,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
34,Aythya_americana_AF090337.1,Aythya_americana,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
35,Aythya_fuligula_KJ722069.1,Aythya_fuligula,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
36,Netta_rufina_KC466568.1,Netta_rufina,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
37,Asarcornis_scutulata_MN356440.1,Asarcornis_scutulata,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
38,Somateria_mollissima_MN122926.1,Somateria_mollissima,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
39,Mergus_merganser_KU140667.1,Mergus_merganser,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
40,Tadorna_ferruginea_KF684946.1,Tadorna_ferruginea,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
41,Tadorna_tadorna_KU140668.1,Tadorna_tadorna,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
42,Cairina_moschata_EU755254.1,Cairina_moschata,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
43,Aix_galericulata_KF437906.1,Aix_galericulata,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
44,Anser_albifrons_AF363031.1,Anser_albifrons,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
45,Anser_anser_MN122908.1,Anser_anser,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
46,Anser_cygnoides_MK133022.1,Anser_cygnoides,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
47,Anser_indicus_KM455570.1,Anser_indicus,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
48,Branta_canadensis_haplotype_DQ019124.1,Branta_canadensis,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
49,Cygnus_columbianus_DQ083161.1,Cygnus_columbianus,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
50,Cygnus_cygnus_KR821135.1,Cygnus_cygnus,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
51,Cygnus_atratus_FJ379295.1,Cygnus_atratus,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
52,Cygnus_olor_KR867679.1,Cygnus_olor,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
53,Dendrocygna_javanica_FJ379296.1,Dendrocygna_javanica,ANSERIFORMES,Anatidae,ANSERIFORMES_Anatidae,174,Lineage2,3,,,,
54,Alectura_lathami_AY346091.1,Alectura_lathami,GALLIFORMES,Megapodiidae,GALLIFORMES_Megapodiidae,21,,,,,,
55,Crax_daubentoni_KJ914544.1,Crax_daubentoni,GALLIFORMES,Cracidae,GALLIFORMES_Cracidae,56,,,,,,
56,Crax_rubra_KJ914545.1,Crax_rubra,GALLIFORMES,Cracidae,GALLIFORMES_Cracidae,56,,,,,,
57,Pipile_pipile_KU221053.1,Pipile_pipile,GALLIFORMES,Cracidae,GALLIFORMES_Cracidae,56,,,,,,
58,Numida_meleagris_AP005595.1,Numida_meleagris,GALLIFORMES,Numididae,GALLIFORMES_Numididae,6,,,,,,
59,Acryllium_vulturinum_FJ752436.1,Acryllium_vulturinum,GALLIFORMES,Numididae,GALLIFORMES_Numididae,6,,,,,,
60,Callipepla_squamata_MN356397.1,Callipepla_squamata,GALLIFORMES,Odontophoridae,GALLIFORMES_Odontophoridae,34,Lineage1,4,,,,
61,Colinus_virginianus_KJ914548.1,Colinus_virginianus,GALLIFORMES,Odontophoridae,GALLIFORMES_Odontophoridae,34,Lineage1,4,,,,
62,Odontophorus_gujanensis_MN356214.1,Odontophorus_gujanensis,GALLIFORMES,Odontophoridae,GALLIFORMES_Odontophoridae,34,Lineage1,4,,,,
63,Rhynchortyx_cinctus_KJ914547.1,Rhynchortyx_cinctus,GALLIFORMES,Odontophoridae,GALLIFORMES_Odontophoridae,34,Lineage1,4,,,,
64,Ptilopachus_petrosus_KJ914543.1,Ptilopachus_petrosus,GALLIFORMES,Odontophoridae,GALLIFORMES_Odontophoridae,34,Lineage1,4,4,Odontophoridae,GALLIFORMES_Odontophoridae,34
65,Crossoptilon_harmani_KP259806.1,Crossoptilon_harmani,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,4,Phasianidae,GALLIFORMES_Phasianidae,185
66,Crossoptilon_crossoptilon_HQ891119.1,Crossoptilon_crossoptilon,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
67,Crossoptilon_mantchuricum_KP259807.1,Crossoptilon_mantchuricum,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
68,Crossoptilon_auritum_JF937589.1,Crossoptilon_auritum,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
69,Lophura_edwardsi_KY411595.1,Lophura_edwardsi,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
70,Lophura_swinhoii_KF218954.1,Lophura_swinhoii,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
71,Lophura_nycthemera_EU417810.1,Lophura_nycthemera,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
72,Lophura_ignita_AB164627.1,Lophura_ignita,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
73,Chrysolophus_pictus_HQ221859.1,Chrysolophus_pictus,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
74,Chrysolophus_amherstiae_FJ752434.1,Chrysolophus_amherstiae,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
75,Phasianus_colchicus_alaschanicus_KU049722.1,Phasianus_colchicus,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
76,Phasianus_versicolor_AB164626.1,Phasianus_versicolor,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
77,Syrmaticus_ellioti_AB164624.1,Syrmaticus_ellioti,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
78,Syrmaticus_humiae_AB164625.1,Syrmaticus_humiae,GALLIFORMES,Phasianidae,GALLIFORMES_Phasianidae,185,Lineage2,4,,,,
