,Seq.Names,Order.FTL,Family.FTL,Tree.Tips,Clade.Sizes,Lineages,Sisters,Sister,Label,Tree.Tip,Clade.Size
1,Polypterus_ornatipinnis_AP004351.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
2,Polypterus_weeksii_HM143939.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
3,Polypterus_mokelembembe_HM143934.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
4,Polypterus_retropinnis_HM143937.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
5,Polypterus_ansorgii_HM143926.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
6,Polypterus_bichir_bichir_HM143927.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
7,Polypterus_endlicherii_congicus_HM143929.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
8,Erpetoichthys_calabaricus_AP004350.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
9,Polypterus_teugelsi_HM143938.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
10,Polypterus_palmas_polli_HM143936.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
11,Polypterus_senegalus_senegalus_AP004352.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
12,Polypterus_delhezi_HM143930.1,Polypteriformes,Polypteridae,Polypteriformes_Polypteridae,14,,,,,,
13,Acipenser_sturio_KP997216.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
14,Acipenser_oxyrinchus_oxyrinchus_KU985073.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
15,Acipenser_sinensis_KJ174513.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
16,Acipenser_transmontanus_NC_004743.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
17,Acipenser_schrenckii_MH973731.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
18,Huso_dauricus_MK078264.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
19,Acipenser_medirostris_KM591217.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
20,Acipenser_mikadoi_KX276658.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
21,Scaphirhynchus_albus_KU985069.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
22,Scaphirhynchus_platorynchus_MF101788.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
23,Huso_huso_AY442351.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
24,Acipenser_dabryanus_KP981414.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
25,Acipenser_nudiventris_KU321568.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
26,Acipenser_stellatus_NC_005795.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
27,Pseudoscaphirhynchus_kaufmanni_MN746333.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
28,Acipenser_gueldenstaedtii_KJ789859.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
