,Seq.Names,Order.MWF,Species.MWF,Family.MWF,Tree.Tips,Clade.Sizes,Lineages,Sisters,Sister,Label,Tree.Tip,Clade.Size
1,Ornithorhynchus_anatinus_NC_000891.1,MONOTREMATA,Ornithorhynchus_anatinus,Ornithorhynchidae,MONOTREMATA_Ornithorhynchidae,1,Lineage1,1,1,Ornithorhynchidae,MONOTREMATA_Ornithorhynchidae,1
2,Tachyglossus_aculeatus_NC_003321.1,MONOTREMATA,Tachyglossus_aculeatus,Tachyglossidae,MONOTREMATA_Tachyglossidae,4,Lineage2,1,1,Tachyglossidae,MONOTREMATA_Tachyglossidae,4
3,Zaglossus_bruijni_NC_006364.1,MONOTREMATA,Zaglossus_bruijnii,Tachyglossidae,MONOTREMATA_Tachyglossidae,4,Lineage2,1,,,,
4,Rhyncholestes_raphanurus_NC_005829.1,PAUCITUBERCULATA,Rhyncholestes_raphanurus,Caenolestidae,PAUCITUBERCULATA_Caenolestidae,7,,,,,,
5,Caenolestes_fuliginosus_NC_005828.1,PAUCITUBERCULATA,Caenolestes_fuliginosus,Caenolestidae,PAUCITUBERCULATA_Caenolestidae,7,,,,,,
6,Caluromys_lanatus__KJ868104.1,DIDELPHIMORPHIA,Caluromys_lanatus,Didelphidae,DIDELPHIMORPHIA_Didelphidae,98,,,,,,
7,Thylamys_elegans_NC_005825.1,DIDELPHIMORPHIA,Thylamys_elegans,Didelphidae,DIDELPHIMORPHIA_Didelphidae,98,,,,,,
8,Philander_frenatus__KJ868146.1,DIDELPHIMORPHIA,Philander_frenatus,Didelphidae,DIDELPHIMORPHIA_Didelphidae,98,,,,,,
9,Metachirus_nudicaudatus_NC_006516.1,DIDELPHIMORPHIA,Metachirus_nudicaudatus,Didelphidae,DIDELPHIMORPHIA_Didelphidae,98,,,,,,
10,Didelphis_virginiana_NC_001610.1,DIDELPHIMORPHIA,Didelphis_virginiana,Didelphidae,DIDELPHIMORPHIA_Didelphidae,98,,,,,,
11,Tlacuatzin_canescens_KT943517.1,DIDELPHIMORPHIA,Tlacuatzin_canescens,Didelphidae,DIDELPHIMORPHIA_Didelphidae,98,,,,,,
12,Monodelphis_domestica_NC_006299.1,DIDELPHIMORPHIA,Monodelphis_domestica,Didelphidae,DIDELPHIMORPHIA_Didelphidae,98,,,,,,
13,Micoureus_demerarae__KJ868124.1,DIDELPHIMORPHIA,Marmosa_alstoni,Didelphidae,DIDELPHIMORPHIA_Didelphidae,98,,,,,,
14,Marmosa_murina__KJ868123.1,DIDELPHIMORPHIA,Marmosa_murina,Didelphidae,DIDELPHIMORPHIA_Didelphidae,98,,,,,,
15,Dromiciops_gliroides_NC_005826.1,MICROBIOTHERIA,Dromiciops_gliroides,Microbiotheriidae,MICROBIOTHERIA_Microbiotheriidae,1,,,,,,
16,Notoryctes_caurinus__KJ868132.1,NOTORYCTEMORPHIA,Notoryctes_caurinus,Notoryctidae,NOTORYCTEMORPHIA_Notoryctidae,2,,,,,,
17,Notoryctes_typhlops_NC_006522.1,NOTORYCTEMORPHIA,Notoryctes_typhlops,Notoryctidae,NOTORYCTEMORPHIA_Notoryctidae,2,,,,,,
18,Macrotis_lagotis_NC_006520.1,PERAMELEMORPHIA,Macrotis_lagotis,Thylacomyidae,PERAMELEMORPHIA_Thylacomyidae,2,Lineage1,2,2,Thylacomyidae,PERAMELEMORPHIA_Thylacomyidae,2
19,Microperoryctes_longicauda__KJ868126.1,PERAMELEMORPHIA,Microperoryctes_longicauda,Peramelidae,PERAMELEMORPHIA_Peramelidae,22,Lineage2,2,2,Peramelidae,PERAMELEMORPHIA_Peramelidae,22
20,Echymipera_rufescens_australis_AY795975.1,PERAMELEMORPHIA,Echymipera_rufescens,Peramelidae,PERAMELEMORPHIA_Peramelidae,22,Lineage2,2,,,,
21,Echymipera_clara__KJ868114.1,PERAMELEMORPHIA,Echymipera_clara,Peramelidae,PERAMELEMORPHIA_Peramelidae,22,Lineage2,2,,,,
22,Peroryctes_raffrayana__KJ868138.1,PERAMELEMORPHIA,Peroryctes_raffrayana,Peramelidae,PERAMELEMORPHIA_Peramelidae,22,Lineage2,2,,,,
23,Perameles_gunnii_NC_006521.1,PERAMELEMORPHIA,Perameles_gunnii,Peramelidae,PERAMELEMORPHIA_Peramelidae,22,Lineage2,2,,,,
24,Perameles_nasuta__KJ868137.1,PERAMELEMORPHIA,Perameles_nasuta,Peramelidae,PERAMELEMORPHIA_Peramelidae,22,Lineage2,2,,,,
25,Perameles_bougainville__KJ868136.1,PERAMELEMORPHIA,Perameles_bougainville,Peramelidae,PERAMELEMORPHIA_Peramelidae,22,Lineage2,2,,,,
26,Isoodon_macrourus_AF358864.1,PERAMELEMORPHIA,Isoodon_macrourus,Peramelidae,PERAMELEMORPHIA_Peramelidae,22,Lineage2,2,,,,
27,Isoodon_obesulus__KJ868116.1,PERAMELEMORPHIA,Isoodon_obesulus,Peramelidae,PERAMELEMORPHIA_Peramelidae,22,Lineage2,2,,,,
28,Thylacinus_cynocephalus_KY678356.1,DASYUROMORPHIA,Thylacinus_cynocephalus,Thylacinidae,DASYUROMORPHIA_Thylacinidae,1,Lineage1,3,,,,
29,Myrmecobius_fasciatus_FJ515782.1,DASYUROMORPHIA,Myrmecobius_fasciatus,Myrmecobiidae,DASYUROMORPHIA_Myrmecobiidae,1,Lineage1,3,3,Myrmecobiidae,DASYUROMORPHIA_Myrmecobiidae,2
30,Planigale_gilesi__KJ868147.1,DASYUROMORPHIA,Planigale_gilesi,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,3,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73
31,Ningaui_ridei__KJ868131.1,DASYUROMORPHIA,Ningaui_ridei,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
32,Sminthopsis_dolichura__KJ868158.1,DASYUROMORPHIA,Sminthopsis_dolichura,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
33,Sminthopsis_psammophila__KJ868159.1,DASYUROMORPHIA,Sminthopsis_psammophila,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
34,Antechinomys_laniger__KJ868097.1,DASYUROMORPHIA,Antechinomys_laniger,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
35,Sminthopsis_douglasi_NC_006517.1,DASYUROMORPHIA,Sminthopsis_douglasi,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
36,Sminthopsis_crassicaudata_AY795974.1,DASYUROMORPHIA,Sminthopsis_crassicaudata,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
37,Antechinus_swainsonii__KJ868100.1,DASYUROMORPHIA,Antechinus_swainsonii,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
38,Antechinus_arktos__MK977601.1,DASYUROMORPHIA,Antechinus_arktos,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
39,Antechinus_godmani__KJ868099.1,DASYUROMORPHIA,Antechinus_godmani,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
40,Antechinus_flavipes__KJ868098.1,DASYUROMORPHIA,Antechinus_flavipes,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
41,Phascogale_calura__KJ868143.1,DASYUROMORPHIA,Phascogale_calura,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
42,Phascogale_tapoatafa_NC_006523.1,DASYUROMORPHIA,Phascogale_tapoatafa,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
43,Micromurexia_habbema__KJ868125.1,DASYUROMORPHIA,Murexia_habbema,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
44,Paramurexia_rothschildi__KJ868134.1,DASYUROMORPHIA,Murexia_rothschildi,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
45,Murexechinus_melanurus__KJ868127.1,DASYUROMORPHIA,Murexia_melanurus,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
46,Murexia_longicaudata__KJ868128.1,DASYUROMORPHIA,Murexia_longicaudata,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
47,Phascomurexia_naso__KJ868145.1,DASYUROMORPHIA,Murexia_naso,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
48,Neophascogale_lorentzii__KJ868130.1,DASYUROMORPHIA,Neophascogale_lorentzii,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
49,Phascolosorex_dorsalis__KJ868144.1,DASYUROMORPHIA,Phascolosorex_dorsalis,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
50,Dasyurus_hallucatus_NC_007630.1,DASYUROMORPHIA,Dasyurus_hallucatus,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
51,Sarcophilus_harrisii_JX475456.1,DASYUROMORPHIA,Sarcophilus_harrisii,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
52,Pseudantechinus_bilarni__KJ868149.1,DASYUROMORPHIA,Pseudantechinus_bilarni,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
53,Pseudantechinus_macdonnellensis__KJ868150.1,DASYUROMORPHIA,Pseudantechinus_macdonnellensis,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
54,Dasyuroides_byrnei__KJ868109.1,DASYUROMORPHIA,Dasyuroides_byrnei,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
55,Dasycercus_cristicauda__KJ868107.1,DASYUROMORPHIA,Dasycercus_cristicauda,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
56,Dasykaluta_rosamondae__KJ868108.1,DASYUROMORPHIA,Dasykaluta_rosamondae,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
57,Parantechinus_apicalis__KJ868135.1,DASYUROMORPHIA,Parantechinus_apicalis,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
58,Myoictis_wavicus__KJ868129.1,DASYUROMORPHIA,Myoictis_wavicus,Dasyuridae,DASYUROMORPHIA_Dasyuridae,73,Lineage2,3,,,,
59,Phascolarctos_cinereus_AB241053.1,DIPROTODONTIA,Phascolarctos_cinereus,Phascolarctidae,DIPROTODONTIA_Phascolarctidae,1,Lineage1,4,4,Phascolarctidae,DIPROTODONTIA_Phascolarctidae,1
60,Vombatus_ursinus_MK360903.1,DIPROTODONTIA,Vombatus_ursinus,Vombatidae,DIPROTODONTIA_Vombatidae,3,Lineage2,4,4,Vombatidae,DIPROTODONTIA_Vombatidae,3
61,Lasiorhinus_krefftii__KJ868118.1,DIPROTODONTIA,Lasiorhinus_krefftii,Vombatidae,DIPROTODONTIA_Vombatidae,3,Lineage2,4,,,,
62,Cercartetus_concinnus__KJ868105.1,DIPROTODONTIA,Cercartetus_concinnus,Burramyidae,DIPROTODONTIA_Burramyidae,5,Lineage1,5,,,,
63,Burramys_parvus__KJ868103.1,DIPROTODONTIA,Burramys_parvus,Burramyidae,DIPROTODONTIA_Burramyidae,5,Lineage1,5,5,Burramyidae,DIPROTODONTIA_Burramyidae,5
64,Wyulda_squamicaudata__KJ868165.1,DIPROTODONTIA,Wyulda_squamicaudata,Phalangeridae,DIPROTODONTIA_Phalangeridae,27,Lineage2,5,5,Phalangeridae,DIPROTODONTIA_Phalangeridae,27
65,Trichosurus_vulpecula_AF357238.1,DIPROTODONTIA,Trichosurus_vulpecula,Phalangeridae,DIPROTODONTIA_Phalangeridae,27,Lineage2,5,,,,
66,Trichosurus_caninus__KJ868163.1,DIPROTODONTIA,Trichosurus_caninus,Phalangeridae,DIPROTODONTIA_Phalangeridae,27,Lineage2,5,,,,
67,Strigocuscus_celebensis_MH220729.1,DIPROTODONTIA,Strigocuscus_celebensis,Phalangeridae,DIPROTODONTIA_Phalangeridae,27,Lineage2,5,,,,
68,Ailurops_ursinus__KJ868096.1,DIPROTODONTIA,Ailurops_ursinus,Phalangeridae,DIPROTODONTIA_Phalangeridae,27,Lineage2,5,,,,
69,Spilocuscus_maculatus__KJ868160.1,DIPROTODONTIA,Spilocuscus_maculatus,Phalangeridae,DIPROTODONTIA_Phalangeridae,27,Lineage2,5,,,,
70,Phalanger_gymnotis__KJ868142.1,DIPROTODONTIA,Phalanger_gymnotis,Phalangeridae,DIPROTODONTIA_Phalangeridae,27,Lineage2,5,,,,
