"","ThermoMode","Group","ID","Lineage1.name","Lineage2.name","Lineage1.Mean.dS","Lineage2.Mean.dS","Lineage1.Mean.dN","Lineage2.Mean.dN","Lineage1.Mean.dNdS","Lineage2.Mean.dNdS","Lineage1.spp","Lineage2.spp","diff.dn.sd","diff.ds.sd","diff.dnds.sd","diff.dn","diff.ds","diff.dnds","diff.spp"
"1","Ectotherms","Fishes",1,"Polyodontidae","Acipenseridae",0.0221356666666667,0.0274026666666667,0.00306633333333333,0.00349866666666667,0.138524553134458,0.127676138575321,2,25,NA,NA,NA,0.131899449706715,0.213450148314813,-0.0815506986080985,2.52572864430826
"2","Ectotherms","Fishes",2,"Amiiformes","Lepisosteiformes",0.173262111111111,0.148193666666667,0.0126675555555556,0.0130443333333334,0.0731101885155572,0.0880259532775321,1,7,0.0131130713349202,0.015234066767578,0.00755815422042379,0.0293492232292121,-0.156327382732071,0.185676605961283,1.94591014905531
"3","Ectotherms","Fishes",3,"Elopiformes","Anguilliformes+Notacanthiformes+Albuliformes",0.149196222222222,0.161757111111111,0.00902544444444444,0.0115612222222222,0.0605161076463545,0.0714849344164687,9,976,0.0190311646759469,0.0521363763898812,0.0336728023776523,0.247780172020815,0.0812161245753492,0.166564047445466,4.68623800907687
"4","Ectotherms","Fishes",4,"Notopteridae","Morymridae+Gymnarchidae",0.221610666666667,0.187758833333333,0.0162818333333333,0.0155013333333333,0.0734690735770671,0.0825633467427375,10,233,0.00527043068150146,0.0128925128947097,0.018162943576211,-0.0491655456113578,-0.165746999389376,0.116581453778018,3.14845336057165
"5","Ectotherms","Fishes",5,"Engraulidae","Clupeidae",0.172686833333333,0.108844444444444,0.0115183333333333,0.00914088888888889,0.0684469030132559,0.0866653680468535,145,200,0.202119733345621,0.242506033949836,0.152017047651873,-0.205662366205864,-0.429017070108384,0.22335470390252,0.321583624127462
"6","Ectotherms","Fishes",6,"Cobitidae+Nemacheilidae+Botiidae","Cyprinidae",0.110535236111111,0.0943914722222222,0.0105948888888889,0.00960056944444445,0.096055823670101,0.104280210124708,1086,2950,0.1046027997539,0.198370207599194,0.11699054167416,-0.0997423725344136,-0.173798655051966,0.074056282517552,0.999303948839985
"7","Ectotherms","Fishes",7,"Distichodontidae","Serrasalmidae+Erythrinidae+Hepsetidae+Characidae",0.212485388888889,0.148659722222222,0.0151483888888889,0.0117094444444444,0.0713000768894706,0.0789247902843766,107,1949,0.0996196688011016,0.113547966902148,0.0187504845320084,-0.26069260639034,-0.362036946388538,0.101344339998199,2.90224286504565
"8","Ectotherms","Fishes",8,"Apteronotidae","Gymnotidae+Rhamphichthyidae",0.0779983333333333,0.075257,0.0070625,0.00746866666666667,0.0905400417689856,0.0998027809078438,88,56,0.00257769091460634,0.122276565502507,0.119698874587902,-0.0559625767664418,0.0375814631884266,-0.0935440399548684,0.451985123743057
"9","Ectotherms","Fishes",9,"Callichthyidae","Loricariidae+Scoloplacidae",0.207556666666667,0.124888333333333,0.0158116666666667,0.010624,0.0761799990364078,0.085067994074707,201,884,NA,NA,NA,-0.397632471442654,-0.507984390048355,0.110351918605701,1.48115215457857
"10","Ectotherms","Fishes",10,"Sisoridae","Amblycipitidae+Akysidae",0.0833563333333333,0.0614966666666667,0.00869633333333333,0.008748,0.104327205691229,0.142251612553526,205,91,NA,NA,NA,-0.00592362193019724,0.304141618311578,-0.310065240241775,0.812150472621559
"11","Ectotherms","Fishes",11,"Esociformes","Salmoniformes",0.137576233333333,0.0763421666666667,0.010592,0.00750943333333333,0.0769527345615181,0.0983212147060153,14,222,0.128282418633985,0.117051942530788,0.0554416219283033,-0.343426619022176,-0.586590005877652,0.243163386855476,2.76362005225702
"12","Ectotherms","Fishes",12,"Osmeridae","Plecoglossidae+Salangidae",0.0310871666666667,0.0668378333333333,0.00303616666666667,0.0048885,0.0982244082785366,0.0728208403398368,15,23,0.144942047511095,0.0193196228863439,0.164261670397438,0.467750131718907,0.766654176459356,-0.29890404474045,0.42744401482694
"13","Ectotherms","Fishes",13,"Synodontidae+Aulopidae","Chlorophthalmidae et al.",0.225272666666667,0.105460166666666,0.014742,0.0075965,0.0654776479373566,0.0721027384724683,80,160,0.0123918376588647,0.0146405493753457,0.00224871171648106,-0.662868255619301,-0.759192324580543,0.0963240689612419,0.693147180559945
"14","Ectotherms","Fishes",14,"Amblyopsidae+Aphredoderidae","Percopsidae",0.0871565,0.0599523333333334,0.0103421666666667,0.0053875,0.118693946795026,0.089894250838841,9,2,0.000655622348991879,0.0025094855657096,0.00316510791470179,0.652158224246027,0.374172663229878,0.277985561016149,1.50407739677627
"15","Ectotherms","Fishes",15,"Zeidae+Grammicolepididae+Oreosomatidae+Cyttidae","Parazenidae",0.0461936666666667,0.0348766666666667,0.00416066666666667,0.00343866666666667,0.0900700673252466,0.0985950492210647,22,4,NA,NA,NA,0.190591518492753,0.281024674828735,-0.0904331563359828,1.70474809223843
"16","Ectotherms","Fishes",16,"Moridae","Macrouridae",0.0452007222222222,0.100068,0.00455883333333333,0.00900022222222222,0.101522369912212,0.0930434087991397,109,398,0.309981444299387,0.407762342056674,0.10723337867854,0.647007179322373,0.737643738343421,-0.0906365590210474,1.29510412305529
"17","Ectotherms","Fishes",17,"Phycidae","Lotidae+Gadidae+Gaidropsaridae",0.0724697333333333,0.0875511,0.00570026666666667,0.00732491666666667,0.0786409697527649,0.085388438703697,11,48,0.297067659648033,0.365347492719625,0.0930510624218656,0.222533082328523,0.14352894059372,0.0790041417348036,1.47330573810952
"18","Ectotherms","Fishes",18,"Regalecidae+Lophotidae+Trachipteridae","Lampridae+Veliferidae",0.0627836666666667,0.0278303333333333,0.006855,0.00467466666666667,0.109184448184507,0.16797020038088,17,4,NA,NA,NA,0.382820454063454,0.813568401772112,-0.430747947708658,1.44691898293633
"19","Ectotherms","Fishes",19,"Stephanoberycidae","Rondeletiidae+Cetomimidae+Barbourisiidae",0.028827,0.0132176666666667,0.005296,0.002813,0.183716654525271,0.212821224119234,4,33,NA,NA,NA,-0.632700289126987,-0.779758129369843,0.147057840242856,2.11021320034659
"20","Ectotherms","Fishes",20,"Holocentridae_Myripristis","Holocentridae_Sargocentron",0.056882375,0.051091375,0.004717625,0.004050375,0.082999696887358,0.0792678633974385,41,42,0.0569041999919238,0.0521397562271046,0.0521139734651642,-0.153432958620127,-0.108095618732842,-0.0453373398872852,0.0240975515790605
"21","Ectotherms","Fishes",21,"Kurtiformes","Gobiiformes",0.113023791666667,0.312444229166667,0.00938025,0.0203582291666667,0.0834199676021832,0.0652760390245263,349,1998,0.0495395036737621,0.114453784655671,0.0986362465858072,0.774818554594797,1.0192658127812,-0.244447258186402,1.74483003700607
"22","Ectotherms","Fishes",22,"Scombrifomres","Syngnathiformes",0.0524935666666667,0.241013977777778,0.00523001111111111,0.0196388666666667,0.0996618493059447,0.0818182407215572,267,621,0.346344407710054,0.312804521233646,0.173205599821627,1.28292007636816,1.49131051369348,-0.208390437325314,0.844082423533229
"23","Ectotherms","Fishes",23,"Serranidae","Nototheniidae+Bathydraconidae+Channichthyidae",0.0689659166666667,0.104038916666667,0.00542983333333334,0.0131291666666667,0.0787350947891957,0.125858384104937,535,100,0.130861560005388,0.0713422070134826,0.0607141165894282,-0.877322346913488,-0.408947728826994,-0.468374618086494,1.67709656090791
"24","Ectotherms","Fishes",24,"Scorpaenidae","Sebastidae",0.0251062222222222,0.0270052222222222,0.00270455555555556,0.00500466666666667,0.107725196748936,0.185418761938986,215,135,0.0110671633787904,0.0203055947930836,0.0303347559984467,-0.615368768808834,-0.0727353610124649,-0.542633407796368,0.465363249689233
"25","Ectotherms","Fishes",25,"Terapontidae+Kuhliidae","Oplegnathidae+Kyphosidae",0.067049,0.0219446666666667,0.005301,0.002014,0.0790615818282152,0.0917762858097638,66,41,NA,NA,NA,0.967772687709298,1.1168995618374,-0.149126874128105,0.476082675322117
"26","Ectotherms","Fishes",26,"Cirrhitidae+Cheilodactylidae+Enoplosidae","Centrarchidae+Sinipercidae+Percichthyidae",0.0524216666666667,0.0357145,0.00520683333333333,0.00438833333333333,0.0993062232015233,0.124383735137956,61,77,0.279460943059243,0.373030595038231,0.093569651978988,-0.196304663395332,-0.420642265560222,0.22433760216489,0.232931557680373
"27","Ectotherms","Fishes",27,"Ephippidae","Drepaneidae",0.040946,0.035473,0.00334966666666667,0.002875,0.0818069327081197,0.0810475572970992,15,3,NA,NA,NA,0.152808164149399,0.143482281704361,0.00932588244503796,1.6094379124341
"28","Ectotherms","Fishes",28,"Acanthuriformes","Chaetodontiformes+Pomacanthidae",0.0905275,0.145087833333333,0.00728133333333333,0.00946333333333335,0.0807238083085133,0.078206103894798,84,267,0.671546216023603,0.970637658801581,0.299091442777978,0.149265407030134,0.214679331723618,-0.0654139246934837,1.15643185955694
"29","Ectotherms","Fishes",29,"Caproidae+Siganidae","Priacanthidae+Scatophagidae",0.0425833333333333,0.0771873333333333,0.004111,0.00685566666666667,0.0965401174168298,0.088818545357183,46,23,NA,NA,NA,-0.511409252983472,-0.594772427159997,0.0833631741765251,0.693147180559945
"30","Ectotherms","Fishes",30,"Lophiiformes","Tetraodontiformes",0.0953618333333333,0.138882104166667,0.0112467916666667,0.0137338541666667,0.121127965847033,0.101084415414378,349,433,0.454600629732273,0.529496104143711,0.122242680480549,0.181191235409175,0.363882384792615,-0.18269114938344,0.215665805800063
"31","Ectotherms","Fishes",31,"Synbranchiformes","Anabantiformes",0.0677233703703704,0.0780631296296296,0.00897442592592593,0.00877838888888889,0.133727750708555,0.113026348690481,87,38,0.192868834713885,0.219663644198044,0.145127151877232,0.0350295949629922,-0.125088383825794,0.160117978788786,0.828321958928198
"32","Ectotherms","Fishes",32,"Incertae sedis in Carangaria","Pleuronectiformes",0.107581333333333,0.108851,0.00905627777777778,0.0126497222222222,0.0841790458506663,0.119569597711015,106,780,0.316306765104875,0.377697444969731,0.115527929568995,0.29986474729717,-0.0448787371711524,0.344743484468322,1.99585482557157
"33","Ectotherms","Fishes",33,"Mugiliformes et al.","Gobiescociformes et al.",0.10107737037037,0.112191320987654,0.00844255555555556,0.00909375308641975,0.0840183446354247,0.0851784679643366,128,1757,0.391201940512103,0.435431371488642,0.117127046335423,-0.0136194096416587,-0.0207056644439387,0.00708625480227993,2.61933282426748
"34","Ectotherms","Fishes",34,"Cichliformes+Pholidichthyiformes","Beloniformes+Atheriniformes+Cyprinodontiformes",0.100168428571429,0.169583714285714,0.00959038571428571,0.0152639761904762,0.0960442240086816,0.0909749282463193,1666,1891,0.166553411709893,0.175551864176047,0.0886346525359449,0.453813938101711,0.51265641337935,-0.0588424752776387,0.12668024593167
"35","Ectotherms","Amphibians",1,"Caeciliidae+Typhlonectidae","Indotyphlidae+Siphonopidae+Dermophiidae",0.0335329166666666,0.0376733333333333,0.00441483333333333,0.00461483333333333,0.131591564394896,0.122496519991525,57,66,0.0431533173687572,0.0816414728781495,0.0393456634030316,0.0422655019189933,0.113342362661344,-0.0710768607423508,0.146603474191875
"36","Ectotherms","Amphibians",2,"Cryptobranchidae","Hynobiidae",0.0414852222222222,0.0530155555555555,0.00410211111111111,0.00467688888888889,0.0988864735781301,0.0882015675773046,4,83,0.0518830123058485,0.0119037520147717,0.0438886013625021,0.130815201429204,0.245204988524642,-0.114389787095439,3.03254624667671
