,Seq.Names,Species.NCBI,Species.RD,Order.RD,Group.RD,Family.RD,Tree.Tips,Clade.Sizes,Lineages,Sisters,Sister,Label,Tree.Tip,Clade.Size
1,Caiman_crocodilus_NC_002744.2,Caiman_crocodilus,Caiman_crocodilus,Crocodiles,Alligators,Alligatoridae,Crocodiles_Alligatoridae,8,Lineage1,1,,,,
2,Caiman_yacare_MT554042.1,Caiman_yacare,Caiman_yacare,Crocodiles,Alligators,Alligatoridae,Crocodiles_Alligatoridae,8,Lineage1,1,,,,
3,Caiman_latirostris_MT554051.1,Caiman_latirostris,Caiman_latirostris,Crocodiles,Alligators,Alligatoridae,Crocodiles_Alligatoridae,8,Lineage1,1,,,,
4,Melanosuchus_niger_MT554039.1,Melanosuchus_niger,Melanosuchus_niger,Crocodiles,Alligators,Alligatoridae,Crocodiles_Alligatoridae,8,Lineage1,1,,,,
5,Paleosuchus_palpebrosus_MT554041.1,Paleosuchus_palpebrosus,Paleosuchus_palpebrosus,Crocodiles,Alligators,Alligatoridae,Crocodiles_Alligatoridae,8,Lineage1,1,,,,
6,Paleosuchus_trigonatus_MT554034.1,Paleosuchus_trigonatus,Paleosuchus_trigonatus,Crocodiles,Alligators,Alligatoridae,Crocodiles_Alligatoridae,8,Lineage1,1,,,,
7,Alligator_mississippiensis_NC_001922.1,Alligator_mississippiensis,Alligator_mississippiensis,Crocodiles,Alligators,Alligatoridae,Crocodiles_Alligatoridae,8,Lineage1,1,,,,
8,Alligator_sinensis_AF511507.1,Alligator_sinensis,Alligator_sinensis,Crocodiles,Alligators,Alligatoridae,Crocodiles_Alligatoridae,8,Lineage1,1,1,Alligatoridae,Crocodiles_Alligatoridae,8
9,Crocodylus_palustris_MT554049.1,Crocodylus_palustris,Crocodylus_palustris,Crocodiles,Alligators,Crocodylidae,Crocodiles_Crocodylidae,17,Lineage2,1,1,Crocodylidae+Gavialidae,Crocodiles_Crocodylidae,18
10,Crocodylus_siamensis_MT554035.1,Crocodylus_siamensis,Crocodylus_siamensis,Crocodiles,Alligators,Crocodylidae,Crocodiles_Crocodylidae,17,Lineage2,1,,,,
11,Crocodylus_porosus_DQ273698.1,Crocodylus_porosus,Crocodylus_porosus,Crocodiles,Alligators,Crocodylidae,Crocodiles_Crocodylidae,17,Lineage2,1,,,,
12,Crocodylus_mindorensis_MT554045.1,Crocodylus_mindorensis,Crocodylus_mindorensis,Crocodiles,Alligators,Crocodylidae,Crocodiles_Crocodylidae,17,Lineage2,1,,,,
13,Crocodylus_novaeguineae_MT554048.1,Crocodylus_novaeguineae,Crocodylus_novaeguineae,Crocodiles,Alligators,Crocodylidae,Crocodiles_Crocodylidae,17,Lineage2,1,,,,
14,Crocodylus_johnsoni_HM488008.2,Crocodylus_johnsoni,Crocodylus_johnsoni,Crocodiles,Alligators,Crocodylidae,Crocodiles_Crocodylidae,17,Lineage2,1,,,,
