"","species","clade","dn","ds","w","clade.age","clade.age.sd","tip.age","tip.age.sd","dN.Mean","dN.Mid","dN.Min","dN.Max","dN.QL","dN.QU","dS.Mean","dS.Mid","dS.Min","dS.Max","dS.QL","dS.QU"
"1","Erpetoichthys_calabaricus_AP004350.1",2531,0.0108126666666667,0.395812333333333,0.0273176598000568,66.65953009,3.23158397329705,66.65952941,3.23158409735107,0.000162593344400804,0.000162111574040094,0.000146257995189835,0.000186404786043733,0.000149696312713445,0.000182297239318178,0.00595194996902574,0.00593431411133383,0.00535397234830237,0.00682360009635032,0.00547983662616423,0.00667323777557986
"2","Polypterus_retropinnis_HM143937.1",2531,0.00386833333333333,0.117278666666667,0.0329841176002456,66.65953009,3.23158397329705,32.37246659,1.48518687762443,0.000119746896495635,0.000118777231151892,0.000104183123425661,0.000134780535999602,0.000110784445942041,0.000131987732167475,0.00363044110947335,0.00360104316239183,0.00315858452508323,0.00408622530495098,0.00335872092395208,0.00400155413484496
"3","Polypterus_endlicherii_congicus_HM143929.1",2531,0.003589,0.111738333333333,0.0321196843816655,66.65953009,3.23158397329705,14.59282755,1.11940021430885,0.000247417083102256,0.000244313874726679,0.000205675815830688,0.000326039845902795,0.000212224246576718,0.000283928476625907,0.00770297367067176,0.00760635975819669,0.0064034195786834,0.010150779877803,0.00660729551557672,0.00883970319421878
"4","Polypterus_ansorgii_HM143926.1",2531,0.00207466666666667,0.0662596666666667,0.0313111545988258,66.65953009,3.23158397329705,9.16745669,1.02237818728761,0.000229085211303565,0.000227811571269152,0.000168697199287688,0.000287029649415696,0.000182739971217389,0.000283735467627504,0.0073164089360076,0.00727573205740853,0.00538776680225054,0.00916700942821379,0.00583625783075536,0.0090618014973534
"5","Polypterus_bichir_bichir_HM143927.1",2531,0.00170933333333333,0.055473,0.0308137892908863,66.65953009,3.23158397329705,9.16745669,1.02237818728761,0.000188745013426202,0.000187695651906846,0.000138990880132915,0.000236485867963318,0.000150560824614841,0.000233771767029858,0.00612534250962853,0.00609128757696674,0.00451067146662239,0.00767467661087897,0.004886150910994,0.00758659588481708
"6","Polypterus_mokelembembe_HM143934.1",2531,0.00362166666666667,0.141441666666667,0.0256053732398515,66.65953009,3.23158397329705,21.68790929,1.3497512372969,0.000167638774261689,0.000166785154397263,0.000144675197722992,0.000196912509714909,0.000148000381633697,0.00018752723678804,0.00654701545224032,0.0065136779235728,0.00565018898056223,0.00769028078092765,0.00578005171990045,0.00732374549011368
"7","Polypterus_ornatipinnis_AP004351.1",2531,0.00435933333333333,0.098991,0.0440376734585299,66.65953009,3.23158397329705,15.95927154,1.22659796036331,0.000274760311916227,0.000273116791937478,0.000230653167512789,0.000326721188983325,0.000234707914501497,0.000318919153146143,0.00623921043819374,0.00620188966600771,0.00523763290379075,0.00741912919834417,0.00532970740887392,0.00724196189534099
"8","Polypterus_weeksii_HM143939.1",2531,0.00296366666666667,0.106056,0.0279443564406226,66.65953009,3.23158397329705,15.95927154,1.22659796036331,0.000186794153023947,0.000185676815806402,0.000156808174977535,0.00022211944420024,0.000159564770441414,0.000216815276848322,0.00668450366430358,0.00664451930395807,0.00561144341651697,0.00794863337333282,0.00571008929049643,0.00775882161784692
"9","Polypterus_teugelsi_HM143938.1",2531,0.010783,0.137877333333333,0.0782071986693486,66.65953009,3.23158397329705,22.5110976,1.11437947851236,0.000480177851694751,0.000480732006713847,0.000428272634633717,0.000550974209573257,0.000438555220840091,0.000529039071569763,0.00613981653690078,0.00614690226594521,0.00547612805368986,0.00704505747485875,0.00560760682266928,0.0067645828078625
"10","Polypterus_senegalus_senegalus_AP004352.1",2531,0.00342466666666667,0.132328666666667,0.0258800058440348,66.65953009,3.23158397329705,19.29322009,1.20700147031907,0.000178215049375263,0.000176776916878961,0.000158390039403261,0.000208694966833568,0.000160891583933522,0.0002044643904889,0.00688620591700293,0.00683063666771572,0.00612017015598043,0.00806394589287432,0.00621682950549282,0.00790047698293036
"11","Polypterus_palmas_polli_HM143936.1",2531,0.00287766666666667,0.0826446666666667,0.0348197504174498,66.65953009,3.23158397329705,13.98965606,1.12490405066752,0.000207032294915326,0.000206415043990162,0.000173577391228119,0.000249716555944434,0.00017865127242713,0.000241995045638528,0.00594582937652455,0.00592810234178812,0.00498502686398151,0.00717169287403305,0.00513074534668691,0.0069499362498949
"12","Polypterus_delhezi_HM143930.1",2531,0.004255,0.103753,0.0410108623365108,66.65953009,3.23158397329705,13.98965606,1.12490405066752,0.000306123855507256,0.000305211170686253,0.000256656480832496,0.000369238021154952,0.000264158866272711,0.000357820775810935,0.00746445790374719,0.00744220319440911,0.00625825613532643,0.00900342007259454,0.00644119267976324,0.00872502443071962
"13","Polyodon_spathula_AY510086.1",2543,0.00207,0.0779146666666667,0.0265675268669998,120.80020152,0.00200772534481146,63.10010197,0.0010196999999998,3.28050183107348e-05,3.28050713153724e-05,3.27997708516106e-05,3.28050713153724e-05,3.28050713153724e-05,3.28050713153724e-05,0.0012347787761714,0.00123478077126255,0.00123458126214796,0.00123478077126255,0.00123478077126255,0.00123478077126255
"14","Psephurus_gladius_AY571339.1",2543,0.00414133333333333,0.0943703333333333,0.0438838476781192,120.80020152,0.00200772534481146,63.10010197,0.0010196999999998,6.56311670680466e-05,6.56312731114633e-05,6.56206687697922e-05,6.56312731114633e-05,6.56312731114633e-05,6.56312731114633e-05,0.00149556546521263,0.00149556788166931,0.00149532623600166,0.00149556788166931,0.00149556788166931,0.00149556788166931
"15","Scaphirhynchus_platorynchus_MF101788.1",2543,0.00250333333333333,0.0698713333333333,0.0358277595962102,120.80020152,0.00200772534481146,16.1716424,1.68994618232662,0.000156496551901288,0.00015519521074193,0.000123269615088739,0.000201854681669926,0.000130739898125544,0.000185494713514151,0.00436802506394628,0.00433170291670559,0.00344061745635299,0.00563403025879625,0.00364912290355363,0.00517740198116582
"16","Acipenser_sturio_KP997216.1",2543,0.000827666666666667,0.021903,0.0377878220639486,120.80020152,0.00200772534481146,3.91020898,0.556089036854293,0.000216154963929217,0.000209109380670485,0.000153447330547921,0.000359962748277166,0.00016415224186667,0.000283661362035054,0.00572022816142766,0.00553377700140028,0.00406076143494698,0.00952589296276452,0.00434405141394162,0.00750668724847417
"17","Acipenser_oxyrinchus_oxyrinchus_KU985073.1",2543,0.00137166666666667,0.025798,0.0531694963433858,120.80020152,0.00200772534481146,3.91020898,0.556089036854293,0.0003582270143249,0.000346550584558617,0.000254303570360329,0.000596555259428328,0.000272044492662645,0.00047010330437948,0.00673745359578646,0.00651784591526843,0.00478288469610383,0.0112198779460987,0.00511655199638707,0.00884159784669391
"18","Huso_dauricus_MK078264.1",2543,0.000321333333333333,0.0111993333333333,0.0286921840585749,120.80020152,0.00200772534481146,2.61485866,0.439441880551008,0.000126478386479736,0.000125475736682882,8.27172869004477e-05,0.000207547092629086,9.46100583007862e-05,0.000178047945329988,0.0044081128930977,0.00437316784343513,0.00288292054489755,0.00723357595243985,0.00329741570413881,0.00620545110705076
"19","Acipenser_medirostris_KM591217.1",2543,0.000789333333333333,0.018946,0.0416622682008515,120.80020152,0.00200772534481146,2.61485863,0.439441783022798,0.000310685496483673,0.000308222556117883,0.000203189352054212,0.000509825223387629,0.000232403130763757,0.000437362587698559,0.00745723912548099,0.00739812231614367,0.00487705928718635,0.0122370971481867,0.0055782639976142,0.0104978102869978
