"","species","clade","dn","ds","w","clade.age","clade.age.sd","tip.age","tip.age.sd","dN.Mean","dN.Mid","dN.Min","dN.Max","dN.QL","dN.QU","dS.Mean","dS.Mid","dS.Min","dS.Max","dS.QL","dS.QU"
"1","Capra_aegagrus_KT290893.1",1379,0.000901,0.0164,0.0549390243902439,9.20880706,0.481764070346141,1.61732321,0.265079834022507,0.000573540322124703,0.000552554638406359,0.000390909891582161,0.00110125428095796,0.000425151124677863,0.000799848366105489,0.0104395796701944,0.0100575983017362,0.00711534097885399,0.0200450279774811,0.00773859982765478,0.014558838184384
"2","Capra_falconeri_FJ207525.1",1379,0.000632333333333333,0.0161626666666667,0.03912308199967,9.20880706,0.481764070346141,1.61732321,0.265079834022507,0.000402517939722738,0.00038778991826003,0.000274345565790366,0.000772874351082961,0.000298376501484982,0.000561343821865376,0.0102885028261867,0.00991204931818258,0.00701237100371285,0.0197549454587826,0.00762661033421392,0.0143481493065938
"3","Capra_caucasica_JN632609.1",1379,0.000999333333333333,0.0149543333333333,0.0668256692597463,9.20880706,0.481764070346141,2.03652122,0.279055220463569,0.000500246815675788,0.000485194631225759,0.000357563188977035,0.000763401153301035,0.000378704158344996,0.000665474798508088,0.00748584819601831,0.00726060264865952,0.00535068623985215,0.0114237711609554,0.00566704624944348,0.00995837087573995
"4","Capra_pyrenaica_FJ207528.1",1379,0.00132866666666667,0.02267,0.0586090280841053,9.20880706,0.481764070346141,2.65136914,0.298613574751245,0.000507798398709636,0.000500979412194837,0.000389284651851973,0.000741678123974866,0.00042284369053199,0.000646849311606692,0.00866416685806382,0.00854781982523103,0.00664205950136797,0.0126546736606951,0.00721465112721542,0.0110366838139416
"5","Capra_nubiana_FJ207527.1",1379,0.00177033333333333,0.0224156666666667,0.0789775008550567,9.20880706,0.481764070346141,3.16439956,0.304946727386446,0.000564814087568242,0.00055961101481234,0.000442674856359886,0.000774381347893044,0.000476433770200323,0.000707540272446357,0.0071515821778764,0.00708570173471765,0.00560507551602961,0.00980508802518613,0.00603252527672023,0.00895875742820565
"6","Capra_sibirica_FJ207529.1",1379,0.002577,0.043016,0.0599079412311698,9.20880706,0.481764070346141,4.46801227,0.362411278036372,0.000580519125812853,0.0005770711611253,0.000459029849230871,0.000692749198177078,0.000501175547448097,0.000689674046594429,0.00969018654092575,0.00963263215637017,0.00766225378134077,0.0115635620911079,0.00836576148584685,0.0115122308064827
"7","Hemitragus_jemlahicus_FJ207531.1",1379,0.002317,0.0533726666666667,0.0434117338462884,9.20880706,0.481764070346141,5.15350245,0.345860607768166,0.000451617920083608,0.000447602816046756,0.000385984160489449,0.000540350693897046,0.000392981128860753,0.000514418022718786,0.010403130215501,0.0103106413033771,0.00889124036962301,0.0124471115530725,0.00905241726239763,0.0118497460741888
"8","Pseudois_nayaur_nayaur_JX101652.1",1379,0.001049,0.0168656666666667,0.0621973634800482,9.20880706,0.481764070346141,2.74520415,0.423769786149269,0.000392638047318926,0.00037787769998907,0.000289219740832644,0.000707273182075311,0.000294263015081869,0.000575165988881905,0.00631277638391982,0.00607546170522624,0.0046500321661612,0.0113714334901381,0.00473111718274462,0.00924743360008191
"9","Pseudois_schaeferi_JQ040802.1",1379,0.00145466666666667,0.0208886666666667,0.0696390387131778,9.20880706,0.481764070346141,2.74520415,0.423769786149269,0.000544478054814043,0.00052400962273667,0.000401066078485433,0.000980788105045013,0.000408059675188203,0.00079759274721342,0.00781857511067296,0.00752465330394505,0.0057592133076004,0.0140838834534259,0.00585963968958385,0.0114532417728864
"10","Rupicapra_pyrenaica_pyrenaica_KJ184174.1",1379,0.000768666666666667,0.0148876666666667,0.0516311040458545,9.20880706,0.481764070346141,1.52036875,0.309388709762089,0.000529542954052338,0.000503978385719222,0.000347271636144863,0.00101932879011507,0.000361850056390058,0.000801993225899134,0.0102562779517951,0.00976113904656446,0.00672601608201996,0.0197425332840024,0.00700837340353389,0.0155331411311071
