"Seq.Names","Species.NCBI","Order.RD","Family.RD","Species.RD","Species.Vertlife","Backbone","Lon","Lat","RangeSize","AnnualTemp","TempRange","TempWarmQuarter","TempColdQuarter","UV","Habitat","Clade","dN","dS","W","MolRateAll","MolRate12nd","MolRate3rd","Clade.Age","Clade.Age.SD","Tip.Age","Tip.Age.SD","dN.Mean","dN.Mid","dN.Min","dN.Max","dN.QL","dN.QU","dS.Mean","dS.Mid","dS.Min","dS.Max","dS.QL","dS.QU","Island","IUCN","IUCN.Categories","Length","BodyMass","Div.Rate","Div.Rate.DNA","ClaDS.Rate","ClaDS.Rate.DNA","BAMM.Lambda","BAMM.Lambda.DNA","NTR","NTR.DNA"
"Abronia_graminea_AB080273.1","Abronia_graminea","Squamata","Anguidae","Abronia_graminea","Abronia_graminea","Anguimorpha",-97.20693526,18.74114865,2036.82411572543,12.5810211181641,18.9471484375,14.6812911987305,9.4525993347168,5195.94140625,"Terrestrial",573,0.014878,0.420951666666667,0.0353437251307553,0.004383,0.00113233,0.01821133,136.81548355,12.6377155264353,53.23718955,3.61974082900122,0.000280677844688998,0.000283502571702847,0.000234342117503277,0.000316984749364731,0.000237561533424506,0.000308726179696169,0.00794137696721612,0.00802129856584217,0.00663037403772015,0.00896862875070568,0.0067214627927769,0.00873496436931947,0,"EN",5,106,19.2,0.168909618162125,0.0583230103638722,0.0784523489331029,0.0285725706725805,0.08798697,0.0459804833842783,29,23
"Achalinus_meiguensis_FJ424614.1","Achalinus_meiguensis","Squamata","Xenodermidae","Achalinus_meiguensis","Achalinus_meiguensis","Serpentes",102.83925613,29.88907924,129441.831297558,7.76057205200195,60.6852734375,15.7173461914062,-0.997153091430664,4214.736328125,"Terrestrial",502,0.009998,0.192141333333333,0.0520346134095735,0.00554524,0.00148644,0.01968487,87.55320544,3.81204727323709,34.04228353,2.32780665318932,0.000295006941335775,0.000295177271043884,0.000235436754371293,0.000336774169643504,0.000258492121987042,0.000326258582059139,0.00566943659240291,0.00567270998480363,0.00452461811368,0.00647211822239738,0.0049676956366026,0.00627002990280913,0,"LC",2,405,26.4,0.0450140057970049,0.0234688609690783,0.0465371835597149,0.012912992065848,0.049478274,0.0426939567187362,23,19
"Achalinus_rufescens__KT897595.1","Achalinus_rufescens","Squamata","Xenodermidae","Achalinus_rufescens","Achalinus_rufescens","Serpentes",112.50750505,24.23793914,681062.35741235,20.1273941040039,59.1344091796875,27.4311370849609,11.4082252502441,3684.16967773438,"Terrestrial",502,0.00990366666666667,0.145024333333333,0.0682896893165055,0.00712284,0.00199675,0.0244675,87.55320544,3.81204727323709,23.34307811,2.20472081601464,0.000427683336380155,0.000428453758033476,0.000290008175397913,0.000499618068211294,0.000351812290039885,0.000492382416527351,0.00626278052603154,0.00627406219477293,0.00424673443825169,0.0073161567025981,0.0051517629317264,0.00721020144410502,0.003187867,"LC",2,450,27.2,0.0490198853064517,0.0234688609745862,0.0486623861631436,0.0139246832341235,0.049471605,0.0426669996571168,22,19
"Achalinus_spinalis__KT897594.1","Achalinus_spinalis","Squamata","Xenodermidae","Achalinus_spinalis","Achalinus_spinalis","Serpentes",115.91183219,30.00972732,1638575.85027257,15.2633651733398,73.455283203125,25.1611557006836,4.82137565612793,3159.0830078125,"Terrestrial",502,0.00673533333333333,0.0882596666666667,0.0763126985146103,0.0047992,0.00154346,0.0180269,87.55320544,3.81204727323709,23.34307811,2.20472081601464,0.000290860943586463,0.00029138489565563,0.000197230156914618,0.000339782662524903,0.000239262196915147,0.000334861805673039,0.0038114357013699,0.00381830155828972,0.00258449983755794,0.00445250487977241,0.00313528680773016,0.00438802207484418,0.002137456,"LC",2,412,22,0.0580657640850487,NA,0.0460063565683591,NA,0.049440331,NA,23,NA
"Acrochordus_granulatus_AB177879.1","Acrochordus_granulatus","Squamata","Acrochordidae","Acrochordus_granulatus","Acrochordus_granulatus","Serpentes",122.42523237,0.23371389,6462874.25829,28.6478462219238,3.99206113815308,29.9345779418945,26.9975700378418,5519.5087890625,"Marine",502,0.0259943333333333,2.958245,0.00878707927616994,0.00463763,0.00142272,0.01399782,87.55320544,3.81204727323709,87.5532052,3.81204728083293,0.000297453496824806,0.00029743622853097,0.000262209412629632,0.00033237885283524,0.000271708159785684,0.000326420437249403,0.0338512362841067,0.0338492710925689,0.0298403376581259,0.0378258625407686,0.0309213279232089,0.037147774247882,0,"LC",2,1220,300.7,0.0238593365069601,0.0238593365069601,0.0406839960760896,0.0100883660907167,0.049367132,0.0424501701913582,18,18
"Aeluroscalabotes_felinus_AB738948.1","Aeluroscalabotes_felinus","Squamata","Eublepharidae","Aeluroscalabotes_felinus","Aeluroscalabotes_felinus","Gekkota",113.2408776,2.54469768,365711.982356445,24.4686965942383,3.29697021484375,24.9544235229492,23.9860427856445,5651.87158203125,"Terrestrial",666,0.041202,1.71559766666667,0.0240161203296888,0.00495256,0.00137268,0.04557196,185.93105432,7.77609896699905,151.85771101,10.8549055407984,0.000272609442445183,0.000277847900315721,0.000217333724944069,0.000310394532982112,0.000231410245426589,0.000301081850847092,0.0113511024554696,0.0115692250247532,0.00904949350521866,0.0129244244582836,0.0096356215013013,0.0125366564921351,0.002459337,"LC",2,122,39,0.00956465394256619,0.00956465394256619,0.0419121774680686,0.0187689137139955,0.047795978,0.0327174526631768,10,10
"Agkistrodon_contortrix_KY747498.1","Agkistrodon_contortrix","Squamata","Viperidae","Agkistrodon_contortrix","Agkistrodon_contortrix","Serpentes",-88.51823711,35.3628551,2316041.562941,15.6246871948242,77.9430078125,25.9025421142578,4.63763542175293,3055.525390625,"Terrestrial",472,0.00335366666666667,0.0666026666666667,0.0503533392056374,0.00395072,0.00153614,0.0167221,48.46571197,2.36160496055419,12.65040535,1.06639837341059,0.000266956926720376,0.000266745051424739,0.000218778806320131,0.000320517874820901,0.00022625981062453,0.000306126849155238,0.00530167275759317,0.00529746498708619,0.00434487185500573,0.0063653747671419,0.0044934420277573,0.00607957394652717,8.08e-05,"LC",2,1350,1248.2,0.0916356144506164,0.0560762222341066,0.0992061315484866,0.0633876837300795,0.091533966,0.0988233815839585,33,32
"Agkistrodon_piscivorus_DQ523161.1","Agkistrodon_piscivorus","Squamata","Viperidae","Agkistrodon_piscivorus","Agkistrodon_piscivorus","Serpentes",-89.72616499,32.79328956,1502018.62691106,18.0499420166016,69.773291015625,27.1758941650391,8.12694244384766,3336.43188476562,"Terrestrial",472,0.00365566666666667,0.086351,0.042334966203827,0.00503291,0.00175799,0.01978792,48.46571197,2.36160496055419,12.65040535,1.06639837341059,0.000290996582381708,0.000290765627569338,0.00023847998895864,0.00034938073085785,0.000246634662868425,0.000333693783389871,0.00687366988745587,0.00686821447239169,0.00563316828482743,0.00825276980677656,0.00582579094739255,0.00788222628508219,0.000681719,"LC",2,1892,3333,0.0777515174866206,0.0777515174866206,0.105253820156657,0.0480037433420658,0.091568964,0.0989198566720922,33,33
"Aldabrachelys_gigantea_KT613185.1","Aldabrachelys_gigantea","Testudines","Testudinidae","Aldabrachelys_gigantea","Aldabrachelys_gigantea","Testudinidae",46.34986738,-9.3993215,532.841705825126,26.5623992919922,12.3076867675781,27.8806701660156,24.6316497802734,5848.431640625,"Terrestrial",707,0.00470833333333333,0.094195,0.0499849602774387,0.00237985,0.00091658,0.00901263,50.32539167,5.46614425296079,25.32077084,4.79615601972151,0.000191994269267716,0.000197441117015512,0.000113275342452812,0.000267288038976633,0.000133244303559732,0.000246276739288138,0.00384104074909858,0.00395001048154538,0.00226618850598428,0.00534736923852826,0.00266568789532226,0.00492701680507882,1,"VU",4,1150,205000,0.0491105985312611,0.0491105985312611,0.0554904514695382,0.0554904514695382,0.053159669,0.053159669,21,21
"Alligator_mississippiensis_NC_001922.1","Alligator_mississippiensis","Crocodiles","Alligatoridae","Alligator_mississippiensis","Alligator_mississippiensis","Alligatoridae",-89.58680951,31.41856858,1137234.22118197,19.2879165649414,64.221513671875,27.5878234863281,10.1108497619629,3488.97802734375,"Terrestrial",791,0.0111116666666667,0.220233,0.0504541402363255,0.00243005,0.00081168,0.00858222,81.27396563,5.57798702306147,56.61517171,7.73273036719988,0.000199982543389067,0.000196398152687691,0.000152046544204407,0.000267761869341076,0.000155149185431112,0.000254249702975677,0.00396364981054786,0.00389260726211504,0.00301355931331356,0.005307034627622,0.00307505359727464,0.00503922377400111,0.002400247,"LC",2,3500,150000,0.0192102060037782,0.0192102060037782,0.0282138749358561,0.0282138749358561,0.057252043,0.057252043,9,9
"Alligator_sinensis_AF511507.1","Alligator_sinensis","Crocodiles","Alligatoridae","Alligator_sinensis","Alligator_sinensis","Alligatoridae",118.76095232,30.90398661,10491.5332966476,16.6537216186523,85.8974609375,28.3042449951172,4.51252708435059,3030.36059570312,"Terrestrial",791,0.0121956666666667,0.176340333333333,0.0691598254133579,0.00250762,0.00090011,0.00745061,81.27396563,5.57798702306147,56.61517171,7.73273036719988,0.000219491864856031,0.000215557798481613,0.000166879463411029,0.000293883411236896,0.000170284783181883,0.000279053063829942,0.00317369026807342,0.00311680657366117,0.00241295379815688,0.00424933708956608,0.00246219220716821,0.00403490121847595,0,"CR",6,1800,25228.61546,0.0192102060037782,0.0192102060037782,0.0257081166067546,0.0257081166067546,0.057299202,0.057299202,9,9
"Amblyrhynchus_cristatus_KT277937.1","Amblyrhynchus_cristatus","Squamata","Iguanidae","Amblyrhynchus_cristatus","Amblyrhynchus_cristatus","Iguania",-90.90005059,-0.5489514,8014.74153396203,22.7987255096436,12.5113085174561,25.6947368621826,20.4338994979858,5760.625,"Terrestrial&Marine",554,0.004259,0.111571,0.0381730019449499,0.00473899,0.00073856,0.07484046,97.22128214,17.3069172292607,18.50744814,2.37436044582182,0.000233589074809367,0.000234242534677068,0.000159676582748668,0.000299657964953034,0.000176113717419848,0.000276308982047008,0.00611922203934159,0.00613634041710618,0.00418297159282734,0.00784999737210026,0.00461356740226575,0.00723833515754091,1,"VU",4,560,7406.5,0.0658370844653376,0.0658370844653376,0.115597968899425,0.0695780051898035,0.197471518,0.168913412073513,22,22
"Typhlops_reticulatus_EU747730.1","Typhlops_reticulatus","Squamata","Typhlopidae","Amerotyphlops_reticulatus","Amerotyphlops_reticulatus","Serpentes",-57.84314871,-6.28240789,9160833.14282866,25.1845718383789,8.459384765625,26.4066436767578,23.935791015625,5335.30224609375,"Terrestrial",513,0.0148466666666667,1.23426466666667,0.0120287545026809,0.00250132,0.00094169,0.01136692,79.35968704,6.27832484220311,79.3596869,6.27832480511762,0.000188192231519079,0.000186549770634871,0.000142991810524486,0.00022697270557412,0.000156643508082432,0.000211420965784995,0.015645196805466,0.0155086522543371,0.0118874992828739,0.018869177646242,0.01302242123634,0.017576297341331,0.000319175,"LC",2,522,105.8,0.0729378673560468,0.0256776931325702,0.0778549182551826,0.0288136323816937,0.11407837,0.0529551102997176,19,17
"Amphisbaena_schmidti__AY605475.1","Amphisbaena_schmidti","Squamata","Amphisbaenidae","Amphisbaena_schmidti","Amphisbaena_schmidti","Lacertoidea",-66.79656146,18.42276052,1187.19578018577,26.0088897705078,11.1623376464844,27.3468383789062,24.4207305908203,4372.3193359375,"Terrestrial",619,0.0203483333333333,0.747741,0.0272130768987301,0.0053016,0.00143349,0.06245073,179.32012107,5.06405735350429,63.97878999,5.02297724936435,0.000319861975229926,0.000320457882787054,0.000247328978706468,0.000365342166803605,0.000263845920427285,0.000362338258658988,0.0117539805006339,0.0117758783389176,0.00908860764355572,0.0134252428772821,0.00969555634627988,0.0133148581473305,1,"LC",2,240,7.8,0.10382212713239,0.0265054048450936,0.0772485737870911,0.0338071078314695,0.090720323,0.0438226781075011,23,20
"Amyda_cartilaginea_MT039230.1","Amyda_cartilaginea","Testudines","Trionychidae","Amyda_cartilaginea","Amyda_cartilaginea","Trionychidae",109.59111465,-0.41011476,1304522.06530278,25.1622711181641,3.25945343017578,25.6511138916016,24.6915390014648,5461.07568359375,"Terrestrial",734,0.003772,0.132647666666667,0.028436233329899,0.00325127,0.00122921,0.02364826,98.28492361,10.9676350664407,14.82077842,1.06268671332898,0.000255856091140915,0.000254387113802512,0.000217288152835832,0.000334872605032766,0.000225777293140916,0.000293254224672476,0.00899753804143595,0.00894587939447802,0.0076412424358386,0.0117762644984583,0.00793977495266662,0.0103126958226263,0.012957358,"VU",4,750,25000,0.0293786957049286,0.0293786957049286,0.0352098471738914,0.0352098471738914,0.050722345,0.050722345,14,14
"Anguis_cephallonica_KU052866.1","Anguis_cephallonica","Squamata","Anguidae","Anguis_cephallonica","Anguis_cephallonica","Anguimorpha",22.16070922,37.54515791,22882.6951826384,14.6879119873047,63.4006396484375,23.8905288696289,6.64513931274414,3001.15844726562,"Terrestrial",573,0.003195,0.0387136666666667,0.0825289949285782,0.00346448,0.00093762,0.01278693,136.81548355,12.6377155264353,9.92076551,1.17182241329467,0.000326489378754244,0.000327209901294741,0.00024691054627973,0.0004366666006086,0.000256458652209172,0.000405022031498929,0.00395605664453799,0.00396478718270971,0.00299180362602756,0.00529106892658147,0.00310749758228748,0.00490763315183276,0.065181733,"NT",3,286,75.9,0.0848161086088277,0.065317518156055,0.0779028276173312,0.0502936820306085,0.087711029,0.0455456250851235,23,22
"Anguis_colchica_KX236330.1","Anguis_colchica","Squamata","Anguidae","Anguis_colchica","Anguis_colchica","Anguimorpha",34.77283832,52.98041116,3455858.10577164,6.4850944519043,91.682646484375,18.7978454589844,-5.91162757873535,1674.28051757812,"Terrestrial",573,0.00197433333333333,0.0372956666666667,0.052937338564802,0.00386907,0.00090061,0.01380213,136.81548355,12.6377155264353,7.16985354,0.782490593397095,0.000278670884932229,0.000278725786907249,0.000216768664685995,0.000372062368784099,0.000227873430762859,0.000346617622299748,0.00526416500125144,0.00526520211374157,0.00409481607052539,0.00702835425563844,0.00430458797024548,0.00654769642178827,0,"LC",2,290,79,0.173709190804671,0.161376224085123,0.0724739269050044,0.0458947159449032,0.08772138,0.0455506713865545,26,25
"Anguis_fragilis_EU443256.1","Anguis_fragilis","Squamata","Anguidae","Anguis_fragilis","Anguis_fragilis","Anguimorpha",8.72402269,49.4476654,2528736.08584539,9.45587997436524,61.6287841796875,18.1074890136719,1.36181983947754,1830.58203125,"Terrestrial",573,0.002194,0.0531326666666667,0.0412928644023137,0.00336089,0.00077487,0.01256873,136.81548355,12.6377155264353,10.92940983,1.13182319852204,0.000202805789504585,0.000200364623737016,0.000157208076281887,0.000253980425448468,0.000161605699872218,0.000240592562667244,0.00491140037001699,0.00485228202589377,0.00380714873035251,0.00615070979271269,0.00391364712066725,0.00582649244971641,0.016888883,"LC",2,291,79.8,0.173709190804671,0.161376224085123,0.0712195001081426,0.0428426942696573,0.087719805,0.0455382236830728,26,25
"Anguis_graeca_KX236331.1","Anguis_graeca","Squamata","Anguidae","Anguis_graeca","Anguis_graeca","Anguimorpha",21.53240811,39.95433488,117063.778047992,12.8308715820312,69.1045166015625,22.6557159423828,3.87186050415039,2700.58032226562,"Terrestrial",573,0.00245966666666667,0.0286226666666667,0.0859342246238412,0.00359364,0.00096878,0.01179399,136.81548355,12.6377155264353,7.16985354,0.782490593397095,0.000347174144844659,0.00034724254289863,0.000270055035745054,0.000463523251605245,0.000283889590680253,0.000431823642571305,0.00403999857291248,0.00404079450787635,0.00314257837232095,0.00539393069099325,0.00330356842018321,0.00502504845376241,0.035370125,"LC",2,222,36.5,0.133304772449546,0.11931023330295,0.0704724170747377,0.0580949006744046,0.087744194,0.0455839020960659,25,24
"Anguis_veronensis_KX236332.1","Anguis_veronensis","Squamata","Anguidae","Anguis_veronensis","Anguis_veronensis","Anguimorpha",11.9324336,43.47189793,241240.605387033,12.2630256652832,65.7137158203125,21.7165405273437,3.67791290283203,2391.3876953125,"Terrestrial",573,0.00205766666666667,0.0411696666666667,0.0499801633889028,0.00338243,0.00084177,0.01293139,136.81548355,12.6377155264353,9.92076551,1.17182241329467,0.000210268016176312,0.000210732052237083,0.000159017089429815,0.000281225135686686,0.000165166328647597,0.000260845174798423,0.00420702938764298,0.00421631379228088,0.00318160403343383,0.00562673502082082,0.00330463762918129,0.0052189740311321,0,"LC",2,233,41.9,0.106271285309337,0.0895280213600877,0.0706144180199372,0.0552683709409092,0.087747399,0.0456191693804374,24,23
"Anilius_scytale_FJ755180.1","Anilius_scytale","Squamata","Aniliidae","Anilius_scytale","Anilius_scytale","Serpentes",-61.11871359,-5.16349988,7663953.98843322,25.159619140625,7.12251892089844,26.2146423339844,24.1176132202148,5337.87158203125,"Terrestrial",512,0.018823,3.85406366666667,0.00488393592529305,0.00228178,0.00081972,0.00823631,98.14898435,7.20413949005463,98.14898435,7.20413949005463,0.000192822111939781,0.000189657648346475,0.00015895636125573,0.00024225772721453,0.000167356032923416,0.000220003945796428,0.0394808848619797,0.0388329517928913,0.0325467745046619,0.0496029700062033,0.0342666315617918,0.0450464439259053,0.001885146,"LC",2,1200,340.1,0.0114056458681947,0.0114056458681947,0.0498868088046942,0.0163162774159924,0.050056402,0.0430808812653451,14,14
"Anolis_carolinensis_EU747728.2","Anolis_carolinensis","Squamata","Dactyloidae","Anolis_carolinensis","Anolis_carolinensis","Iguania",-88.73772541,31.98400738,1298279.01554174,18.5393951416016,66.2716259765625,27.1612579345703,9.12753067016602,3413.19799804688,"Terrestrial",554,0.0167083333333333,0.641966,0.0260268196965779,0.00887801,0.00190336,0.06716833,97.22128214,17.3069172292607,48.39307185,3.83806989832611,0.000347250813444178,0.000348505260146183,0.000243366956523631,0.000406726207163992,0.000299374483652766,0.00039468779056251,0.0133420378475913,0.0133902360799005,0.00935062214134558,0.0156271957890218,0.0115025380412547,0.0151646568871572,0.001191727,"LC",2,75,8.7,0.062707911447904,0.062707911447904,0.0612803903793455,0.0328301699447995,0.063634472,0.0422919608576492,27,27
"Anolis_punctatus_MK091854.1","Anolis_punctatus","Squamata","Dactyloidae","Anolis_punctatus","Anolis_punctatus","Iguania",-62.04424584,-3.47908869,6189910.91958127,25.0480529785156,6.24555297851562,25.9446655273438,24.1125747680664,5367.48681640625,"Terrestrial",554,0.019502,0.632416666666667,0.0308372644617209,0.00916907,0.0022379,0.07407381,97.22128214,17.3069172292607,48.39307185,3.83806989832611,0.000405311842221747,0.000406776034914964,0.000284058397174494,0.000474731640425666,0.000349430494575336,0.000460680376551625,0.0131435731831814,0.0131910544600967,0.00921153033944056,0.0153947390831298,0.0113314361917249,0.0149390805116154,0.001898846,"LC",2,92,16,0.0664283023455055,0.0635767558311771,0.0484034032810797,0.0210806235771176,0.06369773,0.0423969853737561,26,25
"Apalone_ferox_KX882744.1","Apalone_ferox","Testudines","Trionychidae","Apalone_ferox","Apalone_ferox","Trionychidae",-82.70770889,29.80970631,233187.229414199,20.4483383178711,51.67455078125,26.9367156982422,13.0734161376953,3645.24584960938,"Terrestrial",734,0.002268,0.067278,0.0337108713100865,0.0023791,0.00105607,0.01420527,98.28492361,10.9676350664407,9.99186148,1.31428688037261,0.000230838474210211,0.000228184035125832,0.000160138492965451,0.000308933111486305,0.000177247774467444,0.000299587640652401,0.00684759738444205,0.00676885604726442,0.00475035164450158,0.00916419835739665,0.0052578817330779,0.008886974112792,2.53e-07,"LC",2,302.1382539,4896.466704,0.0314708357648111,0.0314708357648111,0.0355479740695592,0.0355479740695592,0.050646285,0.050646285,13,13
"Apalone_spinifera_KX882745.1","Apalone_spinifera","Testudines","Trionychidae","Apalone_spinifera","Apalone_spinifera","Trionychidae",-92.37803097,37.02096678,3374307.37316202,14.1738143920898,84.423828125,25.3339828491211,2.28330993652344,2971.01416015625,"Terrestrial",734,0.00266633333333333,0.061665,0.043239006459634,0.00260885,0.0010234,0.01421032,98.28492361,10.9676350664407,9.99186148,1.31428688037261,0.000271381092770059,0.000268260449290348,0.000188263933749359,0.000363191645911075,0.000208378152258242,0.000352204811519482,0.00627630269496149,0.00620413074340142,0.00435403005675243,0.00839962977063623,0.00481921693674379,0.0081455343301721,3.85e-07,"CR",6,227.8281739,2356.05649,0.0495547702027322,0.0495547702027322,0.0355224832515232,0.0355224832515232,0.050518255,0.050518255,14,14
"Aprasia_parapulchella_KJ004564.1","Aprasia_parapulchella","Squamata","Pygopodidae","Aprasia_parapulchella","Aprasia_parapulchella","Gekkota",147.33537048,-34.29252883,118026.255280165,15.9166015625,54.9268505859375,23.5425064086914,8.37735214233398,3446.43212890625,"Terrestrial",666,0.0172543333333333,1.45520033333333,0.0118570157923273,0.00258789,0.00073465,0.02661514,185.93105432,7.77609896699905,88.23291072,16.2412756412299,0.000203060527989822,0.000193058110553298,0.000122344942734599,0.000402160327305971,0.000144483415362922,0.000312581791443036,0.0171257702229951,0.0162821838086971,0.0103183587571646,0.0339174995082834,0.0121854788669858,0.0263626022700676,0,"LC",2,140,8,0.102192532357962,0.102192532357962,0.0732061138189275,0.038774742742395,0.061547681,0.0547372183498806,15,15
"Astrochelys_yniphora_JX317746.1","Astrochelys_yniphora","Testudines","Testudinidae","Astrochelys_yniphora","Astrochelys_yniphora","Testudinidae",45.29869469,-16.06566931,532.732895564863,26.6689117431641,10.2583898925781,27.8033813476562,24.9148330688477,5271.98828125,"Terrestrial",707,0.004612,0.111530666666667,0.0413518553940321,0.00299603,0.00107892,0.01030271,50.32539167,5.46614425296079,25.32077084,4.79615601972151,0.000188066032537211,0.000193401436816045,0.000110957708897495,0.000261819278391553,0.000130518101525838,0.000241237873613499,0.00454794665789901,0.00467697120173128,0.00268325829252895,0.00633150014423146,0.00315628162949791,0.00583378596473604,0,"CR",6,409.45,9909.87685,0.057661438761786,0.057661438761786,0.058532193888839,0.058532193888839,0.053121353,0.053121353,20,20
"Azemiops_feae_KJ872487.1","Azemiops_feae","Squamata","Viperidae","Azemiops_feae","Azemiops_feae","Serpentes",106.05601521,26.97250415,1352053.54370991,15.0514221191406,58.6673291015625,22.4377655029297,6.34706077575684,3958.52416992188,"Terrestrial",472,0.00917933333333333,0.249661333333333,0.0367671405530692,0.00351517,0.00131256,0.01340011,48.46571197,2.36160496055419,48.46571114,2.36160499440938,0.000189850056388198,0.000190015511100838,0.000168943666931186,0.000224175485527404,0.000174048237520365,0.000208354236569889,0.00516357958580355,0.00516807965597903,0.00459496344806405,0.00609716943322889,0.00473379857400513,0.00566685995798758,2.06e-06,"LC",2,925,415.4,0.0314549868607357,0.0214403336106561,0.0674793505708301,0.0314060926263594,0.086712288,0.0624763480406278,22,21
"Basiliscus_vittatus_AB218883.1","Basiliscus_vittatus","Squamata","Corytophanidae","Basiliscus_vittatus","Basiliscus_vittatus","Iguania",-90.72637041,17.0433928,712065.284497146,25.0147079467773,15.1807080078125,26.8560394287109,22.6494674682617,4865.90625,"Terrestrial",554,0.016917,0.732226666666667,0.0231035016479414,0.00624186,0.00101076,0.07514016,97.22128214,17.3069172292607,64.91239365,5.39605690700265,0.000262264524876539,0.000261024485429996,0.000180278845561069,0.000322942403316863,0.000225179757555024,0.00029604439872742,0.0113517218676636,0.0112980486424773,0.00780309618464836,0.0139780717329331,0.00974656400516185,0.0128138324327905,0.0006132,"LC",2,225,393.7,0.0336174273085722,0.0336174273085722,0.0503956500647977,0.016624391127375,0.063730026,0.0423916886678942,19,19
"Batagur_trivittata_KX817298.1","Batagur_trivittata","Testudines","Geoemydidae","Batagur_trivittata","Batagur_trivittata","Geoemydidae",95.73209499,19.88853516,107260.285294817,26.2641418457031,25.6830224609375,29.5057403564453,21.8136474609375,4733.25439453125,"Terrestrial",679,0.004305,0.107436333333333,0.0400702431517581,0.00432119,0.00167843,0.01858186,38.6829967,2.78358096135014,20.9458112,2.47592150961505,0.00020832049013702,0.000210812102269454,0.000159746868933538,0.00026815695073717,0.00016501214786632,0.000256387446912135,0.00519888260592899,0.00526106371431401,0.00398667081526131,0.00669217178746779,0.00411807203768067,0.00639844999046096,0.003511959,"CR",6,520,18891.84785,0.0922114555266001,0.0922114555266001,0.065191021250486,0.065191021250486,0.052953536,0.052953536,24,24
"Bavayia_robusta_AB606969.1","Bavayia_robusta","Squamata","Diplodactylidae","Bavayia_robusta","Bavayia_robusta","Gekkota",166.64449029,-22.15941188,3074.13748568963,21.5625061035156,20.8544970703125,24.4208557128906,18.6121368408203,4421.50927734375,"Terrestrial",666,0.017757,0.995316,0.0178405652074316,0.00291598,0.00079864,0.02841762,185.93105432,7.77609896699905,88.23291072,16.2412756412299,0.000208976245320901,0.000198682429675342,0.000125909190819984,0.000413876374938013,0.000148692618661944,0.000321688167454784,0.0117135439876003,0.0111365546643432,0.00705746647351373,0.0231986133917781,0.00833452398694215,0.0180312766840359,0.058995921,"NT",3,83,11.6,0.108720825445962,0.108720825445962,0.065469665613532,0.0508190185461248,0.054929117,0.0542416805843998,20,20
