,bs_clade,bs_species,clade,phy_species,group,dN,dS,Clade.Size,W
1,1_1,Acipenser_persicus_MW713795.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002916667,0.064330667,25,0.045338667
2,1_1,Polyodon_spathula_AY510086.1,1,Polyodon_spathula_AY510086.1,ingroup,0.003647667,0.166787,2,0.02187021
3,1_10,Acipenser_baerii_MW856903.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002369,0.076460333,25,0.030983386
4,1_10,Polyodon_spathula_AY510086.1,1,Polyodon_spathula_AY510086.1,ingroup,0.003787333,0.151026333,2,0.025077304
5,1_11,Acipenser_persicus_MW713795.1,1,Acipenser_persicus_MW713795.1,ingroup,0.003656667,0.119515333,25,0.030595795
6,1_11,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.004817333,0.115725,2,0.041627421
7,1_12,Acipenser_sturio_KP997216.1,1,Acipenser_persicus_MW713795.1,ingroup,0.003569333,0.181560667,25,0.019659177
8,1_12,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.004552333,0.076727,2,0.05933157
9,1_13,Acipenser_oxyrinchus_oxyrinchus_KU985073.1,1,Acipenser_persicus_MW713795.1,ingroup,0.003851333,0.180412,25,0.021347434
10,1_13,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.005246333,0.078558333,2,0.066782646
11,1_14,Acipenser_schrenckii_MH973731.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002773667,0.142685333,25,0.019439045
12,1_14,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.00455,0.093925,2,0.048442907
13,1_15,Huso_dauricus_MK078264.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002789333,0.158156667,25,0.017636521
14,1_15,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.0044,0.08277,2,0.053159357
15,1_16,Acipenser_sinensis_KJ174513.1,1,Acipenser_persicus_MW713795.1,ingroup,0.003550333,0.155950667,25,0.022765746
16,1_16,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.004632,0.082031667,2,0.056465999
17,1_17,Acipenser_medirostris_KM591217.1,1,Acipenser_persicus_MW713795.1,ingroup,0.003474333,0.184467333,25,0.01883441
18,1_17,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.004410667,0.057832333,2,0.076266448
19,1_18,Acipenser_stellatus_NC_005795.1,1,Acipenser_persicus_MW713795.1,ingroup,0.003409333,0.173955,25,0.019598938
20,1_18,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.004897667,0.067184,2,0.072899301
21,1_19,Acipenser_fulvescens_KU985082.2,1,Acipenser_persicus_MW713795.1,ingroup,0.002980333,0.146247,25,0.020378766
22,1_19,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.004943333,0.094020333,2,0.052577279
23,1_2,Acipenser_sturio_KP997216.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002942667,0.124851333,25,0.023569365
24,1_2,Polyodon_spathula_AY510086.1,1,Polyodon_spathula_AY510086.1,ingroup,0.003532333,0.116535333,2,0.030311265
25,1_20,Acipenser_baerii_MW856903.1,1,Acipenser_persicus_MW713795.1,ingroup,0.003093333,0.138137,25,0.022393228
26,1_20,Psephurus_gladius_AY571339.1,1,Polyodon_spathula_AY510086.1,ingroup,0.004878,0.098141333,2,0.049703828
27,1_3,Acipenser_oxyrinchus_oxyrinchus_KU985073.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002992667,0.115918,25,0.025817101
28,1_3,Polyodon_spathula_AY510086.1,1,Polyodon_spathula_AY510086.1,ingroup,0.003938667,0.116779333,2,0.033727429
29,1_4,Acipenser_schrenckii_MH973731.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002151667,0.053905667,25,0.039915408
30,1_4,Polyodon_spathula_AY510086.1,1,Polyodon_spathula_AY510086.1,ingroup,0.003653,0.169999667,2,0.021488277
31,1_5,Huso_dauricus_MK078264.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002251,0.088666,25,0.025387409
32,1_5,Polyodon_spathula_AY510086.1,1,Polyodon_spathula_AY510086.1,ingroup,0.003459,0.141418,2,0.024459404
33,1_6,Acipenser_sinensis_KJ174513.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002861667,0.087323,25,0.032771053
34,1_6,Polyodon_spathula_AY510086.1,1,Polyodon_spathula_AY510086.1,ingroup,0.003567667,0.134841333,2,0.026458257
35,1_7,Acipenser_medirostris_KM591217.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002972667,0.111997667,25,0.02654222
36,1_7,Polyodon_spathula_AY510086.1,1,Polyodon_spathula_AY510086.1,ingroup,0.003489333,0.124325,2,0.028066224
37,1_8,Acipenser_stellatus_NC_005795.1,1,Acipenser_persicus_MW713795.1,ingroup,0.002431,0.117736,25,0.02064789
