,bs_clade,bs_species,clade,phy_species,group,dN,dS,Clade.Size,W
1,1_1,Ornithorhynchus_anatinus_NC_000891.1,1,Ornithorhynchus_anatinus_NC_000891.1,ingroup,0.006695333,0.347013,1,0.019294186
2,1_1,Tachyglossus_aculeatus_NC_003321.1,1,Tachyglossus_aculeatus_NC_003321.1,ingroup,0.010337667,0.219450333,4,0.04710709
3,1_2,Ornithorhynchus_anatinus_NC_000891.1,1,Ornithorhynchus_anatinus_NC_000891.1,ingroup,0.006645,0.366429667,1,0.018134449
4,1_2,Zaglossus_bruijni_NC_006364.1,1,Tachyglossus_aculeatus_NC_003321.1,ingroup,0.009659,0.240549333,4,0.040153925
5,10_1,Mylodon_darwinii__MK903500.1,10,Megatherium_americanum__MK903497.1,ingroup,0.007175667,0.216826,2,0.033094125
6,10_1,Bradypus_torquatus__KT818524.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.020424,0.325983,4,0.062653574
7,10_10,Megatherium_americanum__MK903497.1,10,Megatherium_americanum__MK903497.1,ingroup,0.006502333,0.247134333,2,0.026310927
8,10_10,Bradypus_pygmaeus__KT818523.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.01983,0.293366333,4,0.067594668
9,10_11,Mylodon_darwinii__MK903500.1,10,Megatherium_americanum__MK903497.1,ingroup,0.006634333,0.221358333,2,0.029971012
10,10_11,Bradypus_tridactylus__KT818525.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.020049667,0.33593,4,0.059684061
11,10_12,Choloepus_hoffmanni_KR336793.1,10,Megatherium_americanum__MK903497.1,ingroup,0.01113,0.278297667,2,0.039993149
12,10_12,Bradypus_tridactylus__KT818525.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.018210333,0.283963,4,0.064129247
13,10_13,Choloepus_didactylus_AY960980.1,10,Megatherium_americanum__MK903497.1,ingroup,0.011218,0.23805,2,0.047124554
14,10_13,Bradypus_tridactylus__KT818525.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.018692,0.27757,4,0.067341571
15,10_14,Megalonyx_jeffersonii__MK903495.1,10,Megatherium_americanum__MK903497.1,ingroup,0.004909667,0.140421,2,0.034963906
16,10_14,Bradypus_tridactylus__KT818525.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.019827333,0.294854667,4,0.067244428
17,10_15,Megatherium_americanum__MK903497.1,10,Megatherium_americanum__MK903497.1,ingroup,0.006228667,0.244998,2,0.025423337
18,10_15,Bradypus_tridactylus__KT818525.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.019985,0.284913333,4,0.070144137
19,10_16,Mylodon_darwinii__MK903500.1,10,Megatherium_americanum__MK903497.1,ingroup,0.006836333,0.202762667,2,0.033715937
20,10_16,Bradypus_variegatus_AY960979.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.018680333,0.294728667,4,0.06338146
21,10_17,Choloepus_hoffmanni_KR336793.1,10,Megatherium_americanum__MK903497.1,ingroup,0.011476,0.281691,2,0.040739676
22,10_17,Bradypus_variegatus_AY960979.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.017051,0.282132333,4,0.060436178
23,10_18,Choloepus_didactylus_AY960980.1,10,Megatherium_americanum__MK903497.1,ingroup,0.011932333,0.234258,2,0.050936716
24,10_18,Bradypus_variegatus_AY960979.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.017915,0.272592,4,0.065720931
25,10_19,Megalonyx_jeffersonii__MK903495.1,10,Megatherium_americanum__MK903497.1,ingroup,0.005241333,0.149323333,2,0.035100565
26,10_19,Bradypus_variegatus_AY960979.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.018557667,0.306490667,4,0.06054888
27,10_2,Choloepus_hoffmanni_KR336793.1,10,Megatherium_americanum__MK903497.1,ingroup,0.012086333,0.272674,2,0.044325214
28,10_2,Bradypus_torquatus__KT818524.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.019106667,0.263347,4,0.072553197
29,10_20,Megatherium_americanum__MK903497.1,10,Megatherium_americanum__MK903497.1,ingroup,0.006605333,0.234430667,2,0.028176063
30,10_20,Bradypus_variegatus_AY960979.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.018819333,0.277870333,4,0.067727033
31,10_3,Choloepus_didactylus_AY960980.1,10,Megatherium_americanum__MK903497.1,ingroup,0.012284,0.264376333,2,0.046464068
32,10_3,Bradypus_torquatus__KT818524.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.019695667,0.296241667,4,0.066485133
33,10_4,Megalonyx_jeffersonii__MK903495.1,10,Megatherium_americanum__MK903497.1,ingroup,0.006122667,0.154348,2,0.039667937
34,10_4,Bradypus_torquatus__KT818524.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.021083,0.298518333,4,0.070625478
35,10_5,Megatherium_americanum__MK903497.1,10,Megatherium_americanum__MK903497.1,ingroup,0.007023,0.245267667,2,0.028634023
36,10_5,Bradypus_torquatus__KT818524.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.020638333,0.275938667,4,0.074793191
37,10_6,Mylodon_darwinii__MK903500.1,10,Megatherium_americanum__MK903497.1,ingroup,0.006885,0.207837667,2,0.033126815
38,10_6,Bradypus_pygmaeus__KT818523.1,10,Bradypus_torquatus__KT818524.1,ingroup,0.019682667,0.312704667,4,0.06294331
