Seq.Names,Species.NCBI,Order.IUCN,Family.IUCN,Species.IUCN,Order.Vertlife,Family.Vertlife,Species.Vertlife,Lon,Lat,RangeSize,AnnualTemp,TempRange,TempWarmQuarter,TempColdQuarter,UV,BodyMass,AFR,MaxLongevity,Clade,dN,dS,W,MolRateAll,MolRate12nd,MolRate3rd,Clade.Age,Clade.Age.SD,Tip.Age,Tip.Age.SD,dN.Mean,dN.Mid,dN.Min,dN.Max,dN.QL,dN.QU,dS.Mean,dS.Mid,dS.Min,dS.Max,dS.QL,dS.QU,Habitat,IUCN.Categories,Div.Rate,Div.Rate.DNA,ClaDS.Rate,ClaDS.Rate.DNA,BAMM.Lambda,BAMM.Lambda.DNA,NTR,NTR.DNA,Population,Generation,Island,X,Notes
Acinonyx_jubatus_AF344830.1,Acinonyx_jubatus,Carnivora,Felidae,Acinonyx_jubatus,Carnivora,Felidae,Acinonyx_jubatus,21.29799122,0.45410975,2943299.458,23.16318512,45.60601563,28.69990234,16.16947327,5238.89502,46700,3.334986301,19.5,1721,0.003706,0.081173667,0.0456552,0.0106688,0.0031007,0.0106688,13.48995909,0.497377968,45.08621923,0.44322723,8.22E-05,0.00057627,0.00049254,0.000699801,0.000509443,0.000669496,0.00180041,0.012622224,0.010788265,0.015327953,0.011158498,0.014664169,Terrestrial,4,0.414411791,0.237034895,0.319981333,0.264272399,0.304467255,0.244863967,22,22,6674,6,0,,
Acratocnus_ye__MK903494.1,Acratocnus_ye,NA,NA,NA,Pilosa,NA,Acratocnus_ye,-71.26905757,18.91202874,75745.11196,24.21173553,12.69393799,25.81149902,22.41395264,4787.981445,45000,NA,NA,2567,0.007548333,0.286779,0.026321081,0.00241628,0.00081786,0.00241628,55.22267,2.73834457,6.670781386,2.157011825,0.001131552,0.000216616,0.000176982,0.000266673,0.000194879,0.000243986,0.042990316,0.008229767,0.006723949,0.010131532,0.007403908,0.009269593,Terrestrial,7,0.015807808,NA,0.04954527,NA,0.065901465,NA,10,NA,0,,NA,Excluded,Extinct
Addax_nasomaculatus_JN632591.1,Addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax_nasomaculatus,7.85037502,17.40798888,33784.52358,27.39204102,53.30020508,33.68354797,18.81740723,5793.090332,70000.32,2.92290411,26.44665753,1406,0.001330667,0.030888333,0.043079912,0.00681667,0.00234852,0.00681667,19.13184528,0.727576376,6.670781386,0.462685729,0.000199477,0.000372185,0.000254607,0.000510009,0.000298083,0.000473055,0.004630392,0.008639407,0.00591012,0.011838675,0.00691931,0.010980877,Terrestrial,6,0.200748961,0.198911452,0.275250785,0.25922522,0.290370116,0.267662806,27,27,90,7,0,,
Aepyceros_melampus_JN632592.1,Aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros_melampus,31.65783402,-13.38451704,3359994.22,21.94515381,23.46644775,24.97454681,18.0795929,5347.12207,52500.08,2,20.36665753,1457,0.004916667,0.223593,0.021989359,0.00618215,0.00211268,0.00618215,21.19933959,0.881813847,28.3820351,0.881813808,0.000173232,0.000394404,0.000327122,0.000465069,0.000341646,0.00045301,0.007877976,0.017936117,0.014876359,0.021149732,0.015536873,0.020601327,Terrestrial,2,0.078098981,0.075044003,0.188105521,0.165413075,0.289543529,0.257407823,21,21,2.00E+06,7.326333334,0,,
Aepyprymnus_rufescens__KJ868095.1,Aepyprymnus_rufescens,Diprotodontia,Potoroidae,Aepyprymnus_rufescens,Diprotodontia,Potoroidae,Aepyprymnus_rufescens,149.0788284,-24.18851841,566664.6426,21.13141479,39.80770264,25.88106384,14.94075165,4413.108887,3250,0.874986301,10.4,2607,0.006090667,0.269931333,0.022563763,0.00678579,0.00213899,0.00678579,45.32009161,1.561389009,28.3820351,0.946135146,0.000214596,0.000622382,0.000464009,0.000777855,0.000503327,0.000718154,0.009510641,0.027583265,0.020564337,0.034473619,0.022306869,0.031827745,Terrestrial,2,0.069597299,0.061917302,0.103429624,0.090514948,0.101677816,0.140435399,17,16,NA,3.637240274,0,,
Aethomys_hindei__MN807607.1,Aethomys_hindei,Rodentia,Muridae,Aethomys_hindei,Rodentia,Muridae,Aethomys_hindei,28.51944837,4.13276347,2482352.209,24.26113739,12.25922119,26.2986084,22.7858429,5762.563477,103.5,NA,NA,2020,0.006116667,0.236577667,0.025854793,0.00741421,0.00209076,0.00741421,37.8883594,0.924448354,58.26778916,1.09416302,0.000104975,0.000325859,0.000299218,0.000386774,0.000305805,0.000376383,0.004060179,0.01260343,0.011573008,0.014959477,0.011827772,0.01455757,Terrestrial,2,0.372992937,NA,0.222084022,NA,0.184198168,NA,34,NA,NA,1.752415978,0,,
Ailuropoda_melanoleuca_EF212882.1,Ailuropoda_melanoleuca,Carnivora,Ursidae,Ailuropoda_melanoleuca,Carnivora,Ursidae,Ailuropoda_melanoleuca,104.0786528,31.4277654,25709.60029,7.265631866,66.46753418,16.02351837,-2.341206169,3393.639648,108400,6.861684932,32.26665753,1690,0.008319,0.326677667,0.025465469,0.00432122,0.00163797,0.00432122,23.61385379,1.327537685,41.6879852,1.327537677,0.000199554,0.000373668,0.000317009,0.000419623,0.000323277,0.00041175,0.007836255,0.014673527,0.012448601,0.016478126,0.01269473,0.016168943,Terrestrial,4,0.045711656,0.041495251,0.16276088,0.136132771,0.282503764,0.208723352,15,15,1000,14.37451895,0,,
Ailurops_ursinus__KJ868096.1,Ailurops_ursinus,Diprotodontia,Phalangeridae,Ailurops_ursinus,Diprotodontia,Phalangeridae,Ailurops_ursinus,121.2144497,-2.11931992,179858.765,23.76190948,3.500570068,24.25888519,23.22083893,5411.518066,10000,NA,NA,2646,0.007598,0.148336333,0.051221436,0.00556838,0.00214445,0.00556838,50.14740089,1.684463092,15.98279127,1.078185626,0.000475386,0.000593678,0.000483906,0.000717755,0.000509403,0.00070256,0.009281003,0.011590415,0.00944733,0.014012793,0.009945105,0.013716124,Terrestrial,4,0.067147716,0.071323884,0.086828387,0.072612715,0.103724759,0.075183376,16,15,NA,5.480449077,0.055708549,,
Akodon_montensis_NC_025746.1,Akodon_montensis,Rodentia,Cricetidae,Akodon_montensis,Rodentia,Cricetidae,Akodon_montensis,-50.80311619,-24.51762003,1050409.372,20.608255,28.26381104,23.9670639,16.27230682,4222.880371,31.32,NA,NA,2121,0.012985667,0.331711333,0.039147492,0.00657583,0.00268476,0.00657583,53.97975249,1.232957128,9.596575588,1.437547063,0.001353156,0.000666044,0.00055301,0.00083943,0.000582771,0.000765388,0.034565594,0.01701371,0.014126324,0.021442742,0.01488656,0.019551393,Terrestrial,2,0.397225535,0.337492679,0.388387898,0.341589749,0.312787527,0.298647465,38,38,NA,1.614762463,0.001344823,,
Alcelaphus_buselaphus_JN632594.1,Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus_buselaphus,20.76323355,-4.90407611,6759380.827,23.1607193,24.1577832,26.61055908,19.67010193,5424.736816,171001.53,2.541643836,20.83334247,1406,0.001594333,0.063442,0.025130565,0.0074905,0.00204556,0.0074905,19.13184528,0.727576376,9.596575588,0.512672707,0.000166136,0.000301463,0.000236656,0.000378309,0.000251653,0.000363065,0.0066109,0.011995865,0.009417062,0.015053729,0.010013819,0.014447155,Terrestrial,2,0.201958941,0.175830046,0.263907654,0.223048073,0.289822327,0.26710458,27,27,362000,7.846233789,0,,
