"Species.FishBase","Lon","Lat","RangeSize","AnnualTemp","TempRange","TempWarmQuarter","TempColdQuarter","UV","Length","BodyMass","Low_Elev","Up_Elev","Deep","IUCN.Categories","Habitat","Map.Source","Seq.Names","Accession","Species.NCBI","Order.FTL","Family.FTL","Species.FTL","Backbone","MolRateAll","MolRate12nd","MolRate3rd","Clade","dN","dS","W","Clade.Age","Clade.Age.SD","Tip.Age","Tip.Age.SD","dN.Mean","dN.Mid","dN.Min","dN.Max","dN.QL","dN.QU","dS.Mean","dS.Mid","dS.Min","dS.Max","dS.QL","dS.QU","Div.Rate","Div.Rate.DNA","ClaDS.Rate","ClaDS.Rate.DNA","BAMM.Lambda","BAMM.Lambda.DNA","NTR","NTR.DNA"
"Erpetoichthys_calabaricus",6.23080615,6.3253715,82530.6143763579,26.1910888671875,12.660673828125,28.0731964111328,24.4256484985352,5462.51904296875,37,93.19,NA,NA,NA,3,"Freshwater","AquMap","Erpetoichthys_calabaricus_AP004350.1","AP004350.1","Erpetoichthys_calabaricus","Polypteriformes","Polypteridae","Erpetoichthys_calabaricus","Polypteridae",0.00474492,0.00147069,0.02051451,2531,0.0108126666666667,0.395812333333333,0.0273176598000568,66.65953009,3.23158397329705,66.65952941,3.23158409735107,0.000162593344400804,0.000162111574040094,0.000146257995189835,0.000186404786043733,0.000149696312713445,0.000182297239318178,0.00595194996902574,0.00593431411133383,0.00535397234830237,0.00682360009635032,0.00547983662616423,0.00667323777557986,0.0282539503589588,0.0282539503589588,0.037004674,0.037654806,0.05543058,0.041650593,7,7
"Polypterus_retropinnis",19.39464558,0.48097787,667975.097493895,23.9775939941406,5.73972290039062,24.8540161132813,23.2999740600586,5363.80810546875,34,219.85,NA,NA,NA,2,"Freshwater","AquMap","Polypterus_retropinnis_HM143937.1","HM143937.1","Polypterus_retropinnis","Polypteriformes","Polypteridae","Polypterus_retropinnis","Polypteridae",0.00262997,0.00068507,0.01366542,2531,0.00386833333333333,0.117278666666667,0.0329841176002456,66.65953009,3.23158397329705,32.37246659,1.48518687762443,0.000119746896495635,0.000118777231151892,0.000104183123425661,0.000134780535999602,0.000110784445942041,0.000131987732167475,0.00363044110947335,0.00360104316239183,0.00315858452508323,0.00408622530495098,0.00335872092395208,0.00400155413484496,0.013146162413925,0.013146162413925,0.0296185,0.030274535,0.055837478,0.041650593,5,5
"Polypterus_endlicherii",2.80385291,8.42957879,648605.284131057,26.4225402832031,16.7607873535156,29.2468292236328,24.3723388671875,5630.44189453125,65.5,1785.46,NA,NA,NA,2,"Freshwater","AquMap","Polypterus_endlicherii_congicus_HM143929.1","HM143929.1","Polypterus_endlicherii","Polypteriformes","Polypteridae","Polypterus_endlicherii","Polypteridae",0.00482764,0.00106064,0.02677622,2531,0.003589,0.111738333333333,0.0321196843816655,66.65953009,3.23158397329705,14.59282755,1.11940021430885,0.000247417083102256,0.000244313874726679,0.000205675815830688,0.000326039845902795,0.000212224246576718,0.000283928476625907,0.00770297367067176,0.00760635975819669,0.0064034195786834,0.010150779877803,0.00660729551557672,0.00883970319421878,0.0705857114267488,0.0705857114267488,0.034067159,0.039227965,0.055323203,0.041650593,9,9
"Polypterus_ansorgii",0.08086023,9.00199457,39516.2601486553,26.5198822021484,16.2440258789062,29.2121978759766,24.5100708007812,5514.5244140625,28,121.13,NA,NA,NA,2,"Freshwater","IUCN","Polypterus_ansorgii_HM143926.1","HM143926.1","Polypterus_ansorgii","Polypteriformes","Polypteridae","Polypterus_ansorgii","Polypteridae",0.00460975,0.00076711,0.02965351,2531,0.00207466666666667,0.0662596666666667,0.0313111545988258,66.65953009,3.23158397329705,9.16745669,1.02237818728761,0.000229085211303565,0.000227811571269152,0.000168697199287688,0.000287029649415696,0.000182739971217389,0.000283735467627504,0.0073164089360076,0.00727573205740853,0.00538776680225054,0.00916700942821379,0.00583625783075536,0.0090618014973534,0.0478730542441237,0.0478730542441237,0.043478968,0.048117373,0.055310596,0.041650593,8,8
"Polypterus_bichir",20.77103729,13.20949244,560864.71145562,26.4288543701172,30.5746435546875,30.5257110595703,22.0288131713867,5659.0185546875,74,2650,NA,NA,NA,2,"Freshwater","IUCN","Polypterus_bichir_bichir_HM143927.1","HM143927.1","Polypterus_bichir","Polypteriformes","Polypteridae","Polypterus_bichir","Polypteridae",0.0041415,0.0007671,0.02730323,2531,0.00170933333333333,0.055473,0.0308137892908863,66.65953009,3.23158397329705,9.16745669,1.02237818728761,0.000188745013426202,0.000187695651906846,0.000138990880132915,0.000236485867963318,0.000150560824614841,0.000233771767029858,0.00612534250962853,0.00609128757696674,0.00451067146662239,0.00767467661087897,0.004886150910994,0.00758659588481708,0.0705857114267488,0.0705857114267488,0.04223526,0.040547605,0.055323203,0.041650593,9,9
"Polypterus_mokelembembe",17.96076035,-0.89350359,128477.717240728,24.054606628418,4.86560394287109,24.77783203125,23.4700729370117,5331.4765625,23.5,84.98409238,NA,NA,NA,2,"Freshwater","IUCN","Polypterus_mokelembembe_HM143934.1","HM143934.1","Polypterus_mokelembembe","Polypteriformes","Polypteridae","Polypterus_mokelembembe","Polypteridae",0.00425165,0.00071236,0.02405451,2531,0.00362166666666667,0.141441666666667,0.0256053732398515,66.65953009,3.23158397329705,21.68790929,1.3497512372969,0.000167638774261689,0.000166785154397263,0.000144675197722992,0.000196912509714909,0.000148000381633697,0.00018752723678804,0.00654701545224032,0.0065136779235728,0.00565018898056223,0.00769028078092765,0.00578005171990045,0.00732374549011368,0.00807432162754182,0.00807432162754182,0.029776373,0.029078849,0.054984617,0.041650593,4,4
"Polypterus_ornatipinnis",22.10271477,-1.19277965,1513673.50646796,23.2906204223633,8.32478759765625,24.6390167236328,22.2954696655273,5459.322265625,60,1257.2,NA,NA,NA,2,"Freshwater","AquMap","Polypterus_ornatipinnis_AP004351.1","AP004351.1","Polypterus_ornatipinnis","Polypteriformes","Polypteridae","Polypterus_ornatipinnis","Polypteridae",0.00443628,0.0010038,0.02561684,2531,0.00435933333333333,0.098991,0.0440376734585299,66.65953009,3.23158397329705,15.95927154,1.22659796036331,0.000274760311916227,0.000273116791937478,0.000230653167512789,0.000326721188983325,0.000234707914501497,0.000318919153146143,0.00623921043819374,0.00620188966600771,0.00523763290379075,0.00741912919834417,0.00532970740887392,0.00724196189534099,0.00830814347503284,0.00830814347503284,0.02714872,0.025040344,0.054721353,0.041650593,4,4
"Polypterus_weeksii",19.91030916,1.4067067,730444.734562957,23.7528381347656,6.76428344726563,24.8051910400391,22.9613967895508,5438.6162109375,54,909.77,NA,NA,NA,2,"Freshwater","AquMap","Polypterus_weeksii_HM143939.1","HM143939.1","Polypterus_weeksii","Polypteriformes","Polypteridae","Polypterus_weeksii","Polypteridae",0.0042036,0.00080464,0.02698544,2531,0.00296366666666667,0.106056,0.0279443564406226,66.65953009,3.23158397329705,15.95927154,1.22659796036331,0.000186794153023947,0.000185676815806402,0.000156808174977535,0.00022211944420024,0.000159564770441414,0.000216815276848322,0.00668450366430358,0.00664451930395807,0.00561144341651697,0.00794863337333282,0.00571008929049643,0.00775882161784692,0.00830814347503284,0.00830814347503284,0.025713528,0.025107764,0.054867967,0.041650593,4,4
"Polypterus_teugelsi",9.6271863,5.62244701,7358.56195841014,23.7679229736328,12.9805712890625,25.7801635742188,22.1330856323242,5357.205078125,41.5,405.4,NA,NA,NA,1,"Freshwater","IUCN","Polypterus_teugelsi_HM143938.1","HM143938.1","Polypterus_teugelsi","Polypteriformes","Polypteridae","Polypterus_teugelsi","Polypteridae",0.00724689,0.0019123,0.03548797,2531,0.010783,0.137877333333333,0.0782071986693486,66.65953009,3.23158397329705,22.5110976,1.11437947851236,0.000480177851694751,0.000480732006713847,0.000428272634633717,0.000550974209573257,0.000438555220840091,0.000529039071569763,0.00613981653690078,0.00614690226594521,0.00547612805368986,0.00704505747485875,0.00560760682266928,0.0067645828078625,0.0385151316422736,0.0385151316422736,0.038389232,0.040717143,0.055323203,0.041650593,8,8
"Polypterus_senegalus",10.85106851,8.09126718,1284649.29582009,26.4716369628906,19.492021484375,29.8343872070312,24.2111953735352,5646.8876953125,70,1467.02,NA,NA,NA,2,"Freshwater","AquMap","Polypterus_senegalus_senegalus_AP004352.1","AP004352.1","Polypterus_senegalus","Polypteriformes","Polypteridae","Polypterus_senegalus","Polypteridae",0.00586474,0.0010281,0.03819446,2531,0.00342466666666667,0.132328666666667,0.0258800058440348,66.65953009,3.23158397329705,19.29322009,1.20700147031907,0.000178215049375263,0.000176776916878961,0.000158390039403261,0.000208694966833568,0.000160891583933522,0.0002044643904889,0.00688620591700293,0.00683063666771572,0.00612017015598043,0.00806394589287432,0.00621682950549282,0.00790047698293036,0.0629266244005229,0.0629266244005229,0.035008637,0.042257564,0.055339047,0.041650593,10,10
