GenBank,Seq.Names,Clade.Label,MajorGroup,Group,ThermoMode,Class,Order,Family,Species,dN,dS,dNdS,Clade,Clade.Age,Tip.Age,Lat,AnnualTemp,Habitat,BodyMass,Longevity,MaturityAge,Fecundity,Migration,Ref.BodyMass,Ref.Fecundity,Ref.MaturityAge,Ref.Longevity
AP004350.1,Erpetoichthys_calabaricus_AP004350.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Erpetoichthys_calabaricus,1.34E-10,5.77E-09,0.02330714,Fishes_Node2531,66.65953009,66.65952941,6.4,26.19108887,Freshwater,93.2,20,3,276,NA,FishBase,FishBase,https://podarilove.ru/en/rybka-zmeya-prirodnyi-areal-obitaniya-nochnoi-ohotnik---kalamoiht/,FishBase
HM143937.1,Polypterus_retropinnis_HM143937.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_retropinnis,1.22E-10,3.75E-09,0.032545704,Fishes_Node2531,66.65953009,32.37246659,1.992753623,23.97759399,Freshwater,219.9,10,1.88383248,157.9857297,NA,FishBase,,,https://tropical-fish-keeping.com/retropinnis-bichir-polypterus-retropinnis.html
HM143929.1,Polypterus_endlicherii_congicus_HM143929.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_endlicherii,2.45E-10,7.62E-09,0.032080564,Fishes_Node2531,66.65953009,14.59282755,8.430555556,26.42254028,Freshwater,1785.5,20,8,25500,NA,FishBase,Life history strategies affect climate based spatial synchrony in population dynamics of West African freshwater fishes,https://animalscene.ph/2020/09/14/polypterus-endlicheri-endlicheri-a-monster-bichir-in-your-tank/,https://www.fishkeepingworld.com/bichir/
HM143926.1,Polypterus_ansorgii_HM143926.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_ansorgii,2.27E-10,7.25E-09,0.031361437,Fishes_Node2531,66.65953009,9.16745669,9.6,26.5198822,Freshwater,121.1,10,5,75.31342913,NA,FishBase,,https://housaqua.com/en/2449-polypterus-ansorgii.html,https://tropical-fish-keeping.com/guinean-bichir-polypterus-ansorgii.html
HM143927.1,Polypterus_bichir_bichir_HM143927.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_bichir,1.88E-10,6.09E-09,0.030904148,Fishes_Node2531,66.65953009,9.16745669,13.35576923,26.42885437,Freshwater,2650,15,5,951,NA,FishBase,"Distribution, Morphometrics, Feeding Evaluation and the Reproductive Capacity of Polypterus Bichir from the River Niger at Agenebode in Edo State Nigeria.",https://www.buildyouraquarium.com/bichir-care/,https://www.aquariumsource.com/bichir/
HM143934.1,Polypterus_mokelembembe_HM143934.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_mokelembembe,1.67E-10,6.48E-09,0.025786092,Fishes_Node2531,66.65953009,21.68790929,1.558823529,24.05460663,Freshwater,85,25,1.558107489,38.59518681,NA,FishBase,,,Aquariumwiki.com
AP004351.1,Polypterus_ornatipinnis_AP004351.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_ornatipinnis,2.74E-10,6.17E-09,0.044361722,Fishes_Node2531,66.65953009,15.95927154,4.481012658,23.29062042,Freshwater,1257.2,15,4,200,NA,FishBase,FishBase,https://www.monsterfishkeepers.com/forums/threads/bichir-breeding.107422/,https://badmanstropicalfish.com/ornate-bichir/
HM143939.1,Polypterus_weeksii_HM143939.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_weeksii,1.86E-10,6.63E-09,0.028023036,Fishes_Node2531,66.65953009,15.95927154,2.914634146,23.75283813,Freshwater,909.8,15,2.389485906,923.1110525,NA,FishBase,,,http://www.Aquariumwiki.com/wiki/Polypterus_weeksii
HM143938.1,Polypterus_teugelsi_HM143938.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_teugelsi,4.80E-10,6.13E-09,0.078293056,Fishes_Node2531,66.65953009,22.5110976,5.9,23.76792297,Freshwater,405.4,25,2,338.0198258,NA,FishBase,,https://aquainfo.org/polypterus-teugelsi-cross-river-bichir/,http://www.Aquariumwiki.com/wiki/Polypterus_teugelsi
AP004352.1,Polypterus_senegalus_senegalus_AP004352.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_senegalus,1.77E-10,6.83E-09,0.025854423,Fishes_Node2531,66.65953009,19.29322009,9.136363636,26.47163696,Freshwater,1467,34,2.730423198,2170,NA,FishBase,Guide to the fishes of the River Nile in the Republic of the Sudan,,FishBase
