"","bs_clade","bs_species","clade","phy_species","group","dN","dS","Clade.Size","W"
"1","1_1","Casuarius_casuarius_AF338713.2",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.00449033333333333,0.283007,"4",0.0158665097800879
"2","1_1","Apteryx_owenii_GU071052.1",1,"Apteryx_owenii_GU071052.1","ingroup",0.00777466666666667,0.183836666666667,"5",0.0422911642581277
"3","1_10","Casuarius_casuarius_AF338713.2",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.00438166666666667,0.292481333333333,"4",0.0149810130333104
"4","1_10","Apteryx_rowi_MN998652.1",1,"Apteryx_owenii_GU071052.1","ingroup",0.007691,0.179725666666667,"5",0.0427929974757825
"5","1_11","Casuarius_bennetti_AY016011.1",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.00439466666666667,0.300404333333333,"4",0.0146291720159385
"6","1_11","Apteryx_rowi_MN998652.1",1,"Apteryx_owenii_GU071052.1","ingroup",0.00775166666666667,0.188975666666667,"5",0.0410193905035393
"7","1_12","Dromaius_novaehollandiae_AF338711.1",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.00481366666666667,0.281681,"4",0.0170890712070273
"8","1_12","Apteryx_rowi_MN998652.1",1,"Apteryx_owenii_GU071052.1","ingroup",0.00746733333333333,0.189386333333333,"5",0.0394291034727955
"9","1_2","Casuarius_bennetti_AY016011.1",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.004582,0.299924,"4",0.0152772035582348
"10","1_2","Apteryx_owenii_GU071052.1",1,"Apteryx_owenii_GU071052.1","ingroup",0.00788866666666667,0.199513666666667,"5",0.0395394801692783
"11","1_3","Dromaius_novaehollandiae_AF338711.1",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.00496,0.271044333333333,"4",0.0182995893660693
"12","1_3","Apteryx_owenii_GU071052.1",1,"Apteryx_owenii_GU071052.1","ingroup",0.00756766666666667,0.196920333333333,"5",0.0384300927109271
"13","1_4","Casuarius_casuarius_AF338713.2",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.004424,0.278073,"4",0.015909491392548
"14","1_4","Apteryx_haastii_AF338708.2",1,"Apteryx_owenii_GU071052.1","ingroup",0.008006,0.178563666666667,"5",0.0448355488518568
"15","1_5","Casuarius_bennetti_AY016011.1",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.004471,0.300708,"4",0.01486824427684
"16","1_5","Apteryx_haastii_AF338708.2",1,"Apteryx_owenii_GU071052.1","ingroup",0.00807933333333333,0.197603,"5",0.0408866936905479
"17","1_6","Dromaius_novaehollandiae_AF338711.1",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.00491733333333333,0.271173333333333,"4",0.0181335431212509
"18","1_6","Apteryx_haastii_AF338708.2",1,"Apteryx_owenii_GU071052.1","ingroup",0.00781766666666667,0.192604666666667,"5",0.0405891861394843
"19","1_7","Casuarius_casuarius_AF338713.2",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.00438166666666667,0.296551333333333,"4",0.0147754070683659
"20","1_7","Apteryx_australis_mantelli_KU695537.1",1,"Apteryx_owenii_GU071052.1","ingroup",0.00816533333333333,0.188704666666667,"5",0.0432704366964958
"21","1_8","Casuarius_bennetti_AY016011.1",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.00444333333333333,0.302302666666667,"4",0.0146982935424541
"22","1_8","Apteryx_australis_mantelli_KU695537.1",1,"Apteryx_owenii_GU071052.1","ingroup",0.00826733333333333,0.197481,"5",0.0418639430291184
"23","1_9","Dromaius_novaehollandiae_AF338711.1",1,"Dromaius_novaehollandiae_AF338711.1","ingroup",0.00488733333333333,0.287361333333333,"4",0.0170076233870481
"24","1_9","Apteryx_australis_mantelli_KU695537.1",1,"Apteryx_owenii_GU071052.1","ingroup",0.00800033333333333,0.202918666666667,"5",0.0394263054491455
"25","10_1","Himantopus_himantopus_KY623656.1",10,"Recurvirostra_avosetta_KY623657.1","ingroup",0.00333466666666667,0.179972333333333,"10",0.0185287738670944
"26","10_1","Ibidorhyncha_struthersii_MN356371.1",10,"Ibidorhyncha_struthersii_MN356371.1","ingroup",0.00674133333333333,0.256818,"13",0.0262494581117108
"27","10_2","Recurvirostra_avosetta_KY623657.1",10,"Recurvirostra_avosetta_KY623657.1","ingroup",0.00352433333333333,0.166633666666667,"10",0.021150187737172
"28","10_2","Ibidorhyncha_struthersii_MN356371.1",10,"Ibidorhyncha_struthersii_MN356371.1","ingroup",0.00673533333333333,0.240750666666667,"13",0.0279763849736657
"29","10_3","Himantopus_himantopus_KY623656.1",10,"Recurvirostra_avosetta_KY623657.1","ingroup",0.003311,0.172507333333333,"10",0.0191933869478013
"30","10_3","Haematopus_ater_AY074886.2",10,"Ibidorhyncha_struthersii_MN356371.1","ingroup",0.00462566666666667,0.155836666666667,"13",0.0296827875339565
"31","10_4","Recurvirostra_avosetta_KY623657.1",10,"Recurvirostra_avosetta_KY623657.1","ingroup",0.003415,0.153909333333333,"10",0.0221883879686742
"32","10_4","Haematopus_ater_AY074886.2",10,"Ibidorhyncha_struthersii_MN356371.1","ingroup",0.004483,0.142305666666667,"13",0.0315026105777001
"33","10_5","Himantopus_himantopus_KY623656.1",10,"Recurvirostra_avosetta_KY623657.1","ingroup",0.00256166666666667,0.195230666666667,"10",0.0131212309541534
"34","10_5","Haematopus_ostralegus_KY419886.1",10,"Ibidorhyncha_struthersii_MN356371.1","ingroup",0.003619,0.162727666666667,"13",0.02223961096556
"35","10_6","Recurvirostra_avosetta_KY623657.1",10,"Recurvirostra_avosetta_KY623657.1","ingroup",0.00283433333333333,0.180974333333333,"10",0.0156615210628395
"36","10_6","Haematopus_ostralegus_KY419886.1",10,"Ibidorhyncha_struthersii_MN356371.1","ingroup",0.003663,0.157578333333333,"13",0.0232455815626091
"37","11_1","Jacana_jacana_KJ631049.1",11,"Hydrophasianus_chirurgus_MH219929.1","ingroup",0.006938,0.280173333333333,"8",0.0247632418026936
"38","11_1","Nycticryphes_semicollaris_MN356246.1",11,"Nycticryphes_semicollaris_MN356246.1","ingroup",0.006506,0.205033666666667,"3",0.0317313741970831
"39","11_2","Jacana_spinosa_KJ631048.1",11,"Hydrophasianus_chirurgus_MH219929.1","ingroup",0.00689166666666667,0.286304,"8",0.0240711504787452
"40","11_2","Nycticryphes_semicollaris_MN356246.1",11,"Nycticryphes_semicollaris_MN356246.1","ingroup",0.00635433333333333,0.210424,"3",0.0301977594444233
"41","11_3","Hydrophasianus_chirurgus_MH219929.1",11,"Hydrophasianus_chirurgus_MH219929.1","ingroup",0.00665533333333333,0.278710666666667,"8",0.0238790047504461
"42","11_3","Nycticryphes_semicollaris_MN356246.1",11,"Nycticryphes_semicollaris_MN356246.1","ingroup",0.005917,0.213290333333333,"3",0.0277415291519697
"43","11_4","Jacana_jacana_KJ631049.1",11,"Hydrophasianus_chirurgus_MH219929.1","ingroup",0.00657066666666667,0.261944333333333,"8",0.0250842100039067
"44","11_4","Rostratula_benghalensis_MN356297.1",11,"Nycticryphes_semicollaris_MN356246.1","ingroup",0.00790366666666667,0.257002666666667,"3",0.030753247696522
"45","11_5","Jacana_spinosa_KJ631048.1",11,"Hydrophasianus_chirurgus_MH219929.1","ingroup",0.00673533333333333,0.263948333333333,"8",0.0255176202413351
"46","11_5","Rostratula_benghalensis_MN356297.1",11,"Nycticryphes_semicollaris_MN356246.1","ingroup",0.007961,0.258850666666667,"3",0.0307551844564176
"47","11_6","Hydrophasianus_chirurgus_MH219929.1",11,"Hydrophasianus_chirurgus_MH219929.1","ingroup",0.006522,0.273140666666667,"8",0.0238778065514472
"48","11_6","Rostratula_benghalensis_MN356297.1",11,"Nycticryphes_semicollaris_MN356246.1","ingroup",0.00754433333333333,0.274471333333333,"3",0.0274867806474022
