Seq.Names,Species.NCBI,Order.IUCN,Family.IUCN,Species.IUCN,Order.Vertlife,Family.Vertlife,Species.Vertlife,Lon,Lat,RangeSize,AnnualTemp,TempRange,TempWarmQuarter,TempColdQuarter,UV,BodyMass,AFR,MaxLongevity,Clade,dN,dS,W,MolRateAll,MolRate12nd,MolRate3rd,Clade.Age,Clade.Age.SD,Tip.Age,Tip.Age.SD,dN.Mean,dN.Mid,dN.Min,dN.Max,dN.QL,dN.QU,dS.Mean,dS.Mid,dS.Min,dS.Max,dS.QL,dS.QU,Habitat,IUCN.Categories,Div.Rate,Div.Rate.DNA,ClaDS.Rate,ClaDS.Rate.DNA,BAMM.Lambda,BAMM.Lambda.DNA,NTR,NTR.DNA,Population,Generation,Island,X,Notes
Acinonyx_jubatus_AF344830.1,Acinonyx_jubatus,Carnivora,Felidae,Acinonyx_jubatus,Carnivora,Felidae,Acinonyx_jubatus,21.29799122,0.45410975,2943299.458,23.16318512,45.60601563,28.69990234,16.16947327,5238.89502,46700,3.334986301,19.5,1721,0.003706,0.081173667,0.0456552,0.0106688,0.0031007,0.0106688,7.08152645,0.444367595,5.83578409,0.396953841,0.000626142,0.000625242,0.000550189,0.000756608,0.000557877,0.000715298,0.014918425,0.014896982,0.013108786,0.018026911,0.013291941,0.017042658,Terrestrial,4,0.414411791,0.237034895,0.319981333,0.264272399,0.304467255,0.244863967,22,22,6674,6,0,,
Acratocnus_ye__MK903494.1,Acratocnus_ye,NA,NA,NA,Pilosa,NA,Acratocnus_ye,-71.26905757,18.91202874,75745.11196,24.21173553,12.69393799,25.81149902,22.41395264,4787.981445,45000,NA,NA,2567,0.007548333,0.286779,0.026321081,0.00241628,0.00081786,0.00241628,48.57568948,2.374398335,31.76011962,2.744608362,0.000239265,0.000239279,0.000189516,0.000276331,0.000200337,0.000273223,0.007094749,0.007095144,0.005619586,0.008193838,0.005940426,0.008101663,Terrestrial,7,0.015807808,NA,0.04954527,NA,0.065901465,NA,10,NA,0,,NA,Excluded,Extinct
Addax_nasomaculatus_JN632591.1,Addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax_nasomaculatus,7.85037502,17.40798888,33784.52358,27.39204102,53.30020508,33.68354797,18.81740723,5793.090332,70000.32,2.92290411,26.44665753,1406,0.001330667,0.030888333,0.043079912,0.00681667,0.00234852,0.00681667,10.16424345,0.761999097,3.23455992,0.373616958,0.000408913,0.000401864,0.000295477,0.00054492,0.000334882,0.000500386,0.010310755,0.010132995,0.007450458,0.01374017,0.008444064,0.012617236,Terrestrial,6,0.200748961,0.198911452,0.275250785,0.25922522,0.290370116,0.267662806,27,27,90,7,0,,
Aepyceros_melampus_JN632592.1,Aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros_melampus,31.65783402,-13.38451704,3359994.22,21.94515381,23.46644775,24.97454681,18.0795929,5347.12207,52500.08,2,20.36665753,1457,0.004916667,0.223593,0.021989359,0.00618215,0.00211268,0.00618215,11.8893216,0.782756975,11.88932149,0.78275701,0.000407506,0.000407178,0.000349263,0.000501793,0.000358959,0.000464128,0.017567498,0.01755335,0.015056654,0.021632192,0.015474651,0.020008462,Terrestrial,2,0.078098981,0.075044003,0.188105521,0.165413075,0.289543529,0.257407823,21,21,2.00E+06,7.326333334,0,,
Aepyprymnus_rufescens__KJ868095.1,Aepyprymnus_rufescens,Diprotodontia,Potoroidae,Aepyprymnus_rufescens,Diprotodontia,Potoroidae,Aepyprymnus_rufescens,149.0788284,-24.18851841,566664.6426,21.13141479,39.80770264,25.88106384,14.94075165,4413.108887,3250,0.874986301,10.4,2607,0.006090667,0.269931333,0.022563763,0.00678579,0.00213899,0.00678579,22.08363611,1.582003982,8.84693579,0.774398478,0.000675055,0.000675722,0.000545432,0.000808927,0.000569264,0.000792364,0.028989261,0.029017911,0.023422765,0.034738213,0.024446203,0.03402692,Terrestrial,2,0.069597299,0.061917302,0.103429624,0.090514948,0.101677816,0.140435399,17,16,NA,3.637240274,0,,
Aethomys_hindei__MN807607.1,Aethomys_hindei,Rodentia,Muridae,Aethomys_hindei,Rodentia,Muridae,Aethomys_hindei,28.51944837,4.13276347,2482352.209,24.26113739,12.25922119,26.2986084,22.7858429,5762.563477,103.5,NA,NA,2020,0.006116667,0.236577667,0.025854793,0.00741421,0.00209076,0.00741421,13.83802873,0.323121765,10.32106143,0.478688589,0.000585954,0.000584982,0.000531914,0.00066871,0.000540937,0.000640042,0.021211865,0.021176686,0.019255585,0.024207683,0.019582221,0.023169888,Terrestrial,2,0.372992937,NA,0.222084022,NA,0.184198168,NA,34,NA,NA,1.752415978,0,,
Ailuropoda_melanoleuca_EF212882.1,Ailuropoda_melanoleuca,Carnivora,Ursidae,Ailuropoda_melanoleuca,Carnivora,Ursidae,Ailuropoda_melanoleuca,104.0786528,31.4277654,25709.60029,7.265631866,66.46753418,16.02351837,-2.341206169,3393.639648,108400,6.861684932,32.26665753,1690,0.008319,0.326677667,0.025465469,0.00432122,0.00163797,0.00432122,21.54144504,1.410923266,21.54144453,1.410923295,0.000376861,0.000374386,0.000319606,0.00043052,0.000326215,0.000423194,0.014560506,0.014464876,0.012348375,0.016633673,0.012603736,0.016350629,Terrestrial,4,0.045711656,0.041495251,0.16276088,0.136132771,0.282503764,0.208723352,15,15,1000,14.37451895,0,,
Ailurops_ursinus__KJ868096.1,Ailurops_ursinus,Diprotodontia,Phalangeridae,Ailurops_ursinus,Diprotodontia,Phalangeridae,Ailurops_ursinus,121.2144497,-2.11931992,179858.765,23.76190948,3.500570068,24.25888519,23.22083893,5411.518066,10000,NA,NA,2646,0.007598,0.148336333,0.051221436,0.00556838,0.00214445,0.00556838,29.4964889,1.660878131,11.75069464,1.04139826,0.000637256,0.000634824,0.000495838,0.000791921,0.000525927,0.000734465,0.012432146,0.012384694,0.009673232,0.015449469,0.01026023,0.014328567,Terrestrial,4,0.067147716,0.071323884,0.086828387,0.072612715,0.103724759,0.075183376,16,15,NA,5.480449077,0.055708549,,
Akodon_montensis_NC_025746.1,Akodon_montensis,Rodentia,Cricetidae,Akodon_montensis,Rodentia,Cricetidae,Akodon_montensis,-50.80311619,-24.51762003,1050409.372,20.608255,28.26381104,23.9670639,16.27230682,4222.880371,31.32,NA,NA,2121,0.012985667,0.331711333,0.039147492,0.00657583,0.00268476,0.00657583,35.91712559,1.325135488,20.73841284,1.417139837,0.00061351,0.000610106,0.00052482,0.000722654,0.000547073,0.000698366,0.014968438,0.014885371,0.012804556,0.017631324,0.013347504,0.017038738,Terrestrial,2,0.397225535,0.337492679,0.388387898,0.341589749,0.312787527,0.298647465,38,38,NA,1.614762463,0.001344823,,
Alcelaphus_buselaphus_JN632594.1,Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus_buselaphus,20.76323355,-4.90407611,6759380.827,23.1607193,24.1577832,26.61055908,19.67010193,5424.736816,171001.53,2.541643836,20.83334247,1406,0.001594333,0.063442,0.025130565,0.0074905,0.00204556,0.0074905,10.16424345,0.761999097,4.85669036,0.473161729,0.000337696,0.000331845,0.000250147,0.000454987,0.000280302,0.000406844,0.013107736,0.012880593,0.009709488,0.017660395,0.010879977,0.015791693,Terrestrial,2,0.201958941,0.175830046,0.263907654,0.223048073,0.289822327,0.26710458,27,27,362000,7.846233789,0,,
