Seq.Names,Species.NCBI,Order.BL,Family.BL,Species.BL,Order.IOC,Family.IOC,Species.IOC,,Migration,Lon,Lat,RangeSize,AnnualTemp,TempRange,TempWarmQuarter,TempColdQuarter,UV,Habitat,Clade,dN,dS,W,MolRateAll,MolRate12nd,MolRate3rd,Clade.Age,Clade.Age.SD,Tip.Age,Tip.Age.SD,dN.Mean,dN.Mid,dN.Min,dN.Max,dN.QL,dN.QU,dS.Mean,dS.Mid,dS.Min,dS.Max,dS.QL,dS.QU,BodyMass,Island,IUCN.Categories,Population,Div.Rate,Div.Rate.DNA,BAMM.Lambda,BAMM.Lambda.DNA,ClaDS.Rate,ClaDS.Rate.DNA,NTR,NTR.DNA,AFR,MaxLongevity,Generation
Chrysomus_cyanopus_JX516076.1,Chrysomus_cyanopus,PASSERIFORMES,Icteridae,Agelasticus_cyanopus,PASSERIFORMES,Icteridae,Agelasticus_cyanopus,Resident,1,-55.23328122,-19.99813851,2868274.751,23.14391632,24.1173584,26.13843384,19.3804306,4634.022461,Terrestrial,1156,0.001738333,0.054668333,0.031797811,0.01106442,0.00269906,0.02561313,10.84211786,1.158565689,2.95019137,0.861856608,0.000855508,0.000584503,0.000356834,0.012191815,0.000399423,0.00434008,0.026904635,0.018381862,0.011221977,0.383416794,0.012561348,0.136489902,37.2,0,2,3352272,0.399641084,0.356429099,0.202761461,0.182770429,0.169287879,0.132469711,48,49,1.223440163,10.98401187,2.739202713
Chrysomus_thilius_JX516069.1,Chrysomus_thilius,PASSERIFORMES,Icteridae,Agelasticus_thilius,PASSERIFORMES,Icteridae,Agelasticus_thilius,Short distance migrant,1,-63.79788714,-33.99156363,2226093.787,15.34161835,47.58614258,21.71756897,8.539729309,3779.766357,Terrestrial,1156,0.000992667,0.060528333,0.016400033,0.0112689,0.0026042,0.02649017,10.84211786,1.158565689,2.95019135,0.861856669,0.000488534,0.000333778,0.000203768,0.006962124,0.000228089,0.002478383,0.029788624,0.020352248,0.012424879,0.424518928,0.013907822,0.151120602,31.5,0,2,6751957,0.209419414,0.186252407,0.202464489,0.182589672,0.210546568,0.161730682,47,48,1.371190571,11.54859122,3.557875283
Molothrus_badius_JX516074.1,Molothrus_badius,PASSERIFORMES,Icteridae,Agelaioides_badius,PASSERIFORMES,Icteridae,Agelaioides_badius,Resident,1,-60.12053166,-27.75632899,3734880.19,19.3220871,39.38490967,24.33351593,13.42946625,4152.786133,Terrestrial,1156,0.000535667,0.049800667,0.010756215,0.01125602,0.00240553,0.02721015,10.84211786,1.158565689,2.90138693,0.822042109,0.000258983,0.000188331,9.65E-05,0.003630531,0.000122487,0.001254302,0.024077485,0.017509019,0.008968888,0.337528664,0.011387574,0.11661185,45.3,0,2,7621257,0.238954586,0.212068664,0.202491455,0.182456979,0.18886466,0.147953245,48,50,1.218747953,9.267176424,2.761122075
Oreopsar_bolivianus_JX516058.1,Oreopsar_bolivianus,PASSERIFORMES,Icteridae,Oreopsar_bolivianus,PASSERIFORMES,Icteridae,Oreopsar_bolivianus,Resident,1,-65.25408547,-18.65272618,77402.1676,13.05572968,20.99830078,15.23499756,9.496095276,6484.998535,Terrestrial,1156,0.001660667,0.049477333,0.033564191,0.01100104,0.00257923,0.02584461,10.84211786,1.158565689,2.90138693,0.822042109,0.000802894,0.000583861,0.000299079,0.011255323,0.000379733,0.003888571,0.023921161,0.017395341,0.008910657,0.335337242,0.011313639,0.115854742,72.9,0,2,122699,0.238954586,0.212068664,0.202579594,0.182541446,0.187299067,0.142362096,48,50,1.475261792,11.62573384,3.837795689
Pseudoleistes_virescens_JX516066.1,Pseudoleistes_virescens,PASSERIFORMES,Icteridae,Pseudoleistes_virescens,PASSERIFORMES,Icteridae,Pseudoleistes_virescens,Resident,2,-59.58165372,-33.97389892,899008.3014,16.83692017,48.29091309,23.36512604,9.95592804,3527.520996,Terrestrial,1156,0.00066,0.015377,0.042921246,0.0106304,0.00244131,0.0246768,10.84211786,1.158565689,1.50820991,0.433619139,0.000668257,0.000442818,0.000280867,0.010447667,0.000299762,0.003244609,0.015569382,0.010316985,0.006543769,0.243414804,0.006983995,0.075594483,79.9,0,2,2856251,0.45107038,0.392424036,0.20263745,0.183046211,0.173116458,0.144141213,50,52,1.445125144,12.21547697,3.480229453
Pseudoleistes_guirahuro_JX516071.1,Pseudoleistes_guirahuro,PASSERIFORMES,Icteridae,Pseudoleistes_guirahuro,PASSERIFORMES,Icteridae,Pseudoleistes_guirahuro,Resident,2,-52.38493442,-23.88443057,2138341.082,21.32743835,27.6701123,24.69216156,17.05927582,4367.47998,Terrestrial,1156,0.000532667,0.012651,0.042104708,0.01025779,0.00239531,0.02416174,10.84211786,1.158565689,1.50820991,0.433619139,0.000539331,0.000357385,0.000226679,0.008432006,0.000241929,0.002618629,0.012809277,0.008488013,0.005383704,0.200262775,0.005745888,0.062193263,86.4,0,2,1158235,0.45107038,0.392424036,0.202680597,0.18301176,0.152976502,0.139131623,50,52,1.467519355,11.9348037,3.753212599
Xanthopsar_flavus_JX516065.1,Xanthopsar_flavus,PASSERIFORMES,Icteridae,Xanthopsar_flavus,PASSERIFORMES,Icteridae,Xanthopsar_flavus,Resident,1,-57.39110202,-31.71653042,732681.6473,18.00232086,43.84463867,23.8471344,11.74712601,3675.460449,Terrestrial,1156,0.000442,0.021859,0.020220504,0.00944721,0.00229111,0.02293919,10.84211786,1.158565689,2.47073856,0.642497318,0.000245074,0.000182086,0.000114571,0.00357241,0.000124108,0.001078424,0.012120074,0.009004998,0.00566607,0.176672648,0.006137738,0.053333167,43,0,5,639351,0.294455399,0.272292256,0.202608227,0.182730793,0.183347545,0.174924299,49,51,1.254199394,9.467986916,2.890840341
Chrysomus_ruficapillus_JX516056.1,Chrysomus_ruficapillus,PASSERIFORMES,Icteridae,Chrysomus_ruficapillus,PASSERIFORMES,Icteridae,Chrysomus_ruficapillus,Resident,1,-51.53728416,-20.18071729,5791576.376,22.53800964,25.64229492,25.78986816,18.65155487,4646.23291,Terrestrial,1156,0.000381667,0.016092667,0.023716807,0.01172502,0.00252325,0.02770131,10.84211786,1.158565689,1.18043604,0.41539833,0.000489132,0.000329748,0.000144886,0.008660268,0.00020113,0.002435235,0.020623852,0.013903555,0.006108989,0.3651532,0.008480476,0.102679699,32,0,2,8334248,0.294810827,0.288168873,0.202027692,0.182853245,0.169302946,0.127431854,49,51,1.187623717,10.676049,2.647155129
Chrysomus_icterocephalus_JX516060.1,Chrysomus_icterocephalus,PASSERIFORMES,Icteridae,Chrysomus_icterocephalus,PASSERIFORMES,Icteridae,Chrysomus_icterocephalus,Resident,2,-65.57629694,4.36164231,1581439.98,25.56826935,6.501164551,26.57531738,24.67672882,5476.23877,Terrestrial,1156,0.000567333,0.014458667,0.039238288,0.01152485,0.00258739,0.02701737,10.84211786,1.158565689,1.18043604,0.41539833,0.000727076,0.000490158,0.000215367,0.012873167,0.000298972,0.003619886,0.018529769,0.01249183,0.005488701,0.328076664,0.007619395,0.092253917,30.7,0.004291845,2,5231958,0.294810827,0.288168873,0.202129419,0.182644133,0.18810282,0.110689483,49,51,1.224308862,10.23926295,2.930985653
Gnorimopsar_chopi_JX516055.1,Gnorimopsar_chopi,PASSERIFORMES,Icteridae,Gnorimopsar_chopi,PASSERIFORMES,Icteridae,Gnorimopsar_chopi,Resident,1,-51.24340712,-18.35366868,5930564.57,23.31564178,21.58271973,26.03140564,20.00377808,4787.605957,Terrestrial,1156,0.003062333,0.077753667,0.039385067,0.01013977,0.00296569,0.02289206,10.84211786,1.158565689,4.6054093,1.053083633,0.000700116,0.000686812,0.000461017,0.00102252,0.000469787,0.000976249,0.017776182,0.017438397,0.011705373,0.025962137,0.011928037,0.024787301,65.9,0,2,5644286,0.167337698,0.170618852,0.202470814,0.182644595,0.251640536,0.216356556,45,48,1.287545348,10.51786601,3.10794137
