"","species","clade","dn","ds","w","clade.age","clade.age.sd","tip.age","tip.age.sd","dN.Mean","dN.Mid","dN.Min","dN.Max","dN.QL","dN.QU","dS.Mean","dS.Mid","dS.Min","dS.Max","dS.QL","dS.QU"
"1","Rana_kukunoris_KU246049.1",249,0.000418,0.017119,0.0244173140954495,68.72546004,7.65159382456897,5.16004796,1.84738415678758,9.37649352491595e-05,8.30317617360405e-05,4.33740215552285e-05,0.000370044786042406,4.58910586045421e-05,0.0001816301903435,0.00384010030270422,0.00340052806018966,0.00177636333733004,0.0151550160101913,0.00187944744557693,0.00743858188634062
"2","Rana_cf._chensinensis_KF898356.1",249,0.000724,0.0229353333333333,0.031567014504549,68.72546004,7.65159382456897,5.16004796,1.84738415678758,0.00016240625148419,0.000143815778700702,7.51262957080991e-05,0.000640938816016034,7.9485948396384e-05,0.000314593918202618,0.00514480871989926,0.00455588787720096,0.00237989866597213,0.0203040682204416,0.00251800652180552,0.00996590660029894
"3","Rana_huanrensis_KT588071.1",249,0.001278,0.0271036666666667,0.0471522918178352,68.72546004,7.65159382456897,7.81536715,1.54833072456497,0.000170456372020498,0.000164408819547963,0.000111796899849223,0.000289480574902079,0.000119259813548792,0.000251393512256279,0.00361501775309303,0.0034867620047638,0.00237097488879503,0.00613926839485211,0.00252924744378348,0.00533152265912109
"4","Rana_dybowskii_KF898355.1",249,0.00390633333333333,0.102127,0.0382497609185948,68.72546004,7.65159382456897,13.26899314,2.27842567459416,0.000302421641251652,0.000304640398453623,0.000202404676016074,0.000422847322312746,0.000210195829553888,0.000388690171413853,0.00790649755681564,0.00796450464362313,0.00529165859224171,0.0110549010544843,0.00549535015398496,0.0101618980636528
"5","Rana_uenoi_MW009067.1",249,0.00418,0.084924,0.0492204794875418,68.72546004,7.65159382456897,13.26899314,2.27842567459416,0.000323608446223715,0.000325982643280863,0.000216584575240342,0.000452470809949811,0.000224921554962518,0.000415920705651482,0.00657467073854134,0.00662290669808229,0.00440029389179683,0.00919273470434875,0.00456967419464998,0.00845015550400633
"6","Rana_amurensis_KU343216.1",249,0.00633666666666667,0.112577333333333,0.0562872336645624,68.72546004,7.65159382456897,13.98688293,4.06837370456035,0.000477864775197298,0.000498924180574348,0.000181357636973909,0.000632246893043648,0.000252874114678918,0.000589378563088893,0.00848975414292129,0.00886389591550424,0.00322200302211848,0.0112325096097537,0.004492566044121,0.0104709100930635
"7","Rana_kunyuensis_KF840516.1",249,0.00943233333333333,0.136376666666667,0.0691638354557231,68.72546004,7.65159382456897,13.98688293,4.06837370456035,0.000711317177472801,0.00074266478367766,0.000269956709808033,0.000941119954363814,0.000376411300529686,0.000877309058375928,0.0102845247488938,0.0107377617042811,0.00390314834377356,0.0136071105392398,0.00544231386315548,0.0126845056031856
"8","Rana_omeimontis_KU246050.1",249,0.005013,0.1267,0.0395659037095501,68.72546004,7.65159382456897,15.23044674,3.10707821477989,0.000340942096932232,0.00034522909206208,0.000207197931310724,0.000452020010068333,0.000218707042924515,0.00043782784095119,0.00861706835853058,0.00872541910318483,0.00523677995153974,0.011424483398296,0.00552766453990346,0.0110657864449463
"9","Rana_chaochiaoensis_KU246048.1",249,0.00396733333333333,0.0872056666666667,0.0454939854825948,68.72546004,7.65159382456897,15.23044674,3.10707821477989,0.000269824645101897,0.000273217411644583,0.00016397830829578,0.000357732705620939,0.000173086722846438,0.000346500895205869,0.00593099598198815,0.00600557213764248,0.00360439531855294,0.00786329669353329,0.00380460671911582,0.00761641108226129
"10","Rana_temporaria_MH536744.1",249,0.00583766666666667,0.114519,0.0509755295336727,68.72546004,7.65159382456897,39.74847361,7.4882373720866,0.000151022310718245,0.000156623573712316,7.94067126534594e-05,0.000191031181474463,9.72844097436352e-05,0.000183335743559287,0.0029626432937491,0.00307252470244288,0.00155774179061752,0.00374750754375733,0.00190845314670782,0.00359654417004499
"11","Rana_draytonii_KP013110.1",249,0.00644033333333333,0.166059666666667,0.0387832485913698,68.72546004,7.65159382456897,55.16318479,7.72077437950295,0.000118719571812637,0.000121680392609592,7.67081790082964e-05,0.000141177958459162,8.60016769202389e-05,0.000140327145069813,0.00306110437172235,0.00313744714610289,0.00197786884271902,0.00364017877787003,0.00221749544052832,0.00361824112642899
"12","Rana_catesbeiana_AB761267.1",249,0.00145266666666667,0.051937,0.0279697839048591,68.72546004,7.65159382456897,14.55569638,3.71504390723577,0.00010833165834307,9.70042217136409e-05,6.51456020649511e-05,0.00023966445656222,6.81943940489231e-05,0.000214594076497958,0.00387316751218266,0.0034681791623277,0.00232914213018405,0.00856869174883341,0.00243814518842514,0.00767235375246062
"13","Rana_okaloosae_KP013096.1",249,0.00109333333333333,0.034425,0.031759864439603,68.72546004,7.65159382456897,14.55569638,3.71504390723577,8.15346120617871e-05,7.30091434650625e-05,4.90311094017989e-05,0.000180380775016999,5.13257486187397e-05,0.00016151183361939,0.00256722166484179,0.00229878636931534,0.00154380726325329,0.00567951967679285,0.0016160569172562,0.0050854068954398
"14","Rana_sylvatica_KP222281.1",249,0.00592333333333333,0.222766333333333,0.0265898946429667,68.72546004,7.65159382456897,54.777106,8.10145679462417,0.000110723418232217,0.000108439355449717,6.78847747137168e-05,0.000205429567039442,8.30399224174878e-05,0.000163335509946884,0.00416411647052182,0.00407821681528928,0.00255302909715263,0.00772585110989826,0.00312298801979092,0.00614276634563832
"15","Odorrana_livida_KX233865.1",262,0.0129173333333333,0.214157,0.060317119371925,47.25018533,9.95182788438257,28.75800195,7.68596711194608,0.000473219266689293,0.000496788423235072,0.000228304687522599,0.000613452190328418,0.000262037359358295,0.000597370782863841,0.0078455216631177,0.00823627567775237,0.00378507279359341,0.0101704490651447,0.00434432814575462,0.00990383475013715
"16","Amolops_tormotus_DQ835616.1",262,0.012391,0.213310333333333,0.0580890752284231,47.25018533,9.95182788438257,28.75800195,7.68596711194608,0.000453937340024801,0.000476546141022846,0.000219002119871944,0.000588456293122375,0.000251360310678826,0.000573030143254479,0.00781450450432871,0.00820371367850028,0.00377010856190711,0.0101302403387968,0.00432715290595357,0.0098646800797079
"17","Odorrana_hainanensis_KX056491.1",262,0.0131666666666667,0.186052333333333,0.0707686188653013,47.25018533,9.95182788438257,27.08003553,7.20664441818819,0.000512046134767006,0.000539186700541129,0.000266264608456073,0.000650496412751074,0.000275240502152472,0.000629855099777273,0.00723549707451008,0.00761900838516291,0.00376246721675991,0.00919187661397218,0.00388930159392196,0.00890020336522489
"18","Odorrana_schmackeri_KX233866.1",262,0.0139353333333333,0.160286333333333,0.0869402465171703,47.25018533,9.95182788438257,27.08003553,7.20664441818819,0.000541939258482771,0.000570664283615758,0.000281809068888977,0.000688472228644845,0.000291308972986994,0.000666625881045283,0.00623346815994754,0.00656386778824068,0.00324141097107795,0.00791891277314097,0.0033506803196085,0.00766763274490632
"19","Odorrana_wuchuanensis_KU680791.1",262,0.005743,0.0931226666666667,0.0616713438904957,47.25018533,9.95182788438257,22.46927413,5.46942545508212,0.000267869240337472,0.000283954238245106,0.00013481954885806,0.000351808992281949,0.000165621751553429,0.00034243797015534,0.00434349607839102,0.00460431410006725,0.00218609714582265,0.00570457801124984,0.00268555444239238,0.00555262701528568
"20","Odorrana_margaretae_KJ815050.1",262,0.00810666666666667,0.0899393333333333,0.090134831627245,47.25018533,9.95182788438257,22.46927413,5.46942545508212,0.000378117123745274,0.000400822280696556,0.000190307703768531,0.000496604254007603,0.000233787277136188,0.00048337636741412,0.00419501669797296,0.00444691883770491,0.00211136694142341,0.00550957099538748,0.00259375063907615,0.00536281433811443
"21","Rana_ishikawae_AB511282.1",262,0.00843766666666667,0.206078,0.0409440438410052,47.25018533,9.95182788438257,47.25018486,9.95182777021447,0.000184917329233909,0.000194761012266558,0.000106081306055372,0.000233358078711395,0.000115872942343291,0.000221432966500506,0.00451634259556736,0.00475676054428962,0.00259088492742214,0.00569943896156365,0.00283003170847636,0.00540818506741492
"22","Babina_okinavana_AB761266.1",268,0.001775,0.0326653333333333,0.0543389526103106,68.64769181,6.68956041849865,14.18413393,2.59629985897716,0.000129522261031792,0.000129135528938334,8.64515430821159e-05,0.000229526703007317,9.18548628770771e-05,0.000180307205240159,0.00238359877785381,0.00237648174532225,0.00159096815321597,0.00422398099303381,0.00169040547277034,0.00331819434454735
"23","Babina_adenopleura_NC_018771.1",268,0.00190833333333333,0.0332543333333333,0.0573860048314505,68.64769181,6.68956041849865,14.18413393,2.59629985897716,0.00013925163275249,0.000138835850360932,9.29455557080025e-05,0.00024676814548674,9.87547586800501e-05,0.000193851408450687,0.00242657827742999,0.00241933291520658,0.00161965545399082,0.00430014506518666,0.00172088576247997,0.00337802586222986
"24","Sylvirana_guentheri_MN248533.1",268,0.0110346666666667,0.332333,0.0332036441360523,68.64769181,6.68956041849865,39.35599051,4.11459822951675,0.00028340866887876,0.00028047681791934,0.000213963422001601,0.000388137562170864,0.000230736118707628,0.000335966583493703,0.00853546880931171,0.00844716973745663,0.00644397407479984,0.0116896073388953,0.00694912033637587,0.0101183647830062
"25","Babina_holsti_AB761264.1",268,0.001563,0.0309273333333333,0.050537819835744,68.64769181,6.68956041849865,8.42180555,1.38420337533585,0.000190593617938718,0.000188493792509352,0.000113224268589697,0.000329026586527045,0.000139667908295056,0.000264572178346431,0.00377130668790577,0.00372975710313558,0.00224038688169957,0.00651050218621291,0.00276363144965491,0.00523513240591567
"26","Babina_subaspera_AB761265.1",268,0.00130266666666667,0.0257066666666667,0.0506742738589212,68.64769181,6.68956041849865,8.42180555,1.38420337533585,0.000158848338431331,0.000157098259997131,9.43656305499118e-05,0.000274223907047919,0.000116404816723625,0.000220505027293208,0.0031346939252365,0.00310015808878679,0.00186219995599007,0.00541150146149835,0.0022971185940957,0.00435141957647191
"27","Glandirana_emeljanovi_MH972198.1",272,0.007246,0.1407,0.051499644633973,92.66641373,8.79287951409768,44.10456574,3.87845196487115,0.000165549930433149,0.000165641507224329,0.000136067735217145,0.000212228608931972,0.000138198241280845,0.000195419805289784,0.00321458393761303,0.00321636214000319,0.00264211017734643,0.00412097229874806,0.00268347951258832,0.00379458550983614
"28","Glandirana_rugosa_Shizuoka_LC536284.1",272,0.00812966666666667,0.189708333333333,0.0428535031847134,92.66641373,8.79287951409768,44.10456574,3.87845196487115,0.000185739132088236,0.000185841876883529,0.000152661514132438,0.000238110384729131,0.000155051840399233,0.0002192517081246,0.00433428117387827,0.00433667875605145,0.00356240453608692,0.00555638085649132,0.00361818355271695,0.0051163076955354
"29","Glandirana_tientaiensis_KJ941041.1",272,0.013204,0.190129666666667,0.0694473420770737,92.66641373,8.79287951409768,54.48313175,4.59675253101834,0.000244051010536175,0.000245048361026023,0.000203332331095687,0.000295298668078661,0.0002074439464707,0.000282918366387547,0.00351418791903257,0.00352854916685026,0.00292786340001358,0.00425212339661515,0.00298706819103999,0.00407385449069541
