"GenBank","Seq.Names","Clade.Label","MajorGroup","Group","ThermoMode","Class","Order","Family","Species","dN","dS","Clade","Clade.Age","Tip.Age","Lat","AnnualTemp","TempRange","TempWarmQuarter","TempColdQuarter","Div.Rate","BAMM.Lambda","ClaDS.Rate","Div.Rate.DNA","BAMM.Lambda.DNA","ClaDS.Rate.DNA","NTR","NTR.DNA","Habitat","Length","BodyMass","Longevity","MaturityAge","Fecundity","Migration","Ref.BodyMass","Ref.Fecundity","Ref.MaturityAge","Ref.Longevity"
"AP004350.1","Erpetoichthys_calabaricus_AP004350.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Erpetoichthys_calabaricus",1.62111574040094e-10,5.93431411133383e-09,"Fishes2531",66.65953009,66.65952941,6.4,26.1910888671875,12.660673828125,28.0731964111328,24.4256484985352,0.0282539503589588,0.05543058,0.037004674,0.0282539503589588,0.041650593,0.037654806,7,7,"Freshwater",370,93.2,20,3,276,NA,"FishBase","FishBase","https://podarilove.ru/en/rybka-zmeya-prirodnyi-areal-obitaniya-nochnoi-ohotnik---kalamoiht/","FishBase"
"HM143937.1","Polypterus_retropinnis_HM143937.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_retropinnis",1.18777231151892e-10,3.60104316239183e-09,"Fishes2531",66.65953009,32.37246659,1.99275362318841,23.9775939941406,5.73972290039062,24.8540161132813,23.2999740600586,0.013146162413925,0.055837478,0.0296185,0.013146162413925,0.041650593,0.030274535,5,5,"Freshwater",340,219.9,10,1.88383248,157.9857297,NA,"FishBase","","","https://tropical-fish-keeping.com/retropinnis-bichir-polypterus-retropinnis.html"
"HM143929.1","Polypterus_endlicherii_congicus_HM143929.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_endlicherii",2.44313874726679e-10,7.60635975819669e-09,"Fishes2531",66.65953009,14.59282755,8.43055555555556,26.4225402832031,16.7607873535156,29.2468292236328,24.3723388671875,0.0705857114267488,0.055323203,0.034067159,0.0705857114267488,0.041650593,0.039227965,9,9,"Freshwater",655,1785.5,20,8,25500,NA,"FishBase","Life history strategies affect climate based spatial synchrony in population dynamics of West African freshwater fishes","https://animalscene.ph/2020/09/14/polypterus-endlicheri-endlicheri-a-monster-bichir-in-your-tank/","https://www.fishkeepingworld.com/bichir/"
"HM143926.1","Polypterus_ansorgii_HM143926.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_ansorgii",2.27811571269152e-10,7.27573205740853e-09,"Fishes2531",66.65953009,9.16745669,9.6,26.5198822021484,16.2440258789062,29.2121978759766,24.5100708007812,0.0478730542441237,0.055310596,0.043478968,0.0478730542441237,0.041650593,0.048117373,8,8,"Freshwater",280,121.1,10,5,75.31342913,NA,"FishBase","","https://housaqua.com/en/2449-polypterus-ansorgii.html","https://tropical-fish-keeping.com/guinean-bichir-polypterus-ansorgii.html"
"HM143927.1","Polypterus_bichir_bichir_HM143927.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_bichir",1.87695651906846e-10,6.09128757696674e-09,"Fishes2531",66.65953009,9.16745669,13.3557692307692,26.4288543701172,30.5746435546875,30.5257110595703,22.0288131713867,0.0705857114267488,0.055323203,0.04223526,0.0705857114267488,0.041650593,0.040547605,9,9,"Freshwater",740,2650,15,5,951,NA,"FishBase","Distribution, Morphometrics, Feeding Evaluation and the Reproductive Capacity of Polypterus Bichir from the River Niger at Agenebode in Edo State Nigeria.","https://www.buildyouraquarium.com/bichir-care/","https://www.aquariumsource.com/bichir/"
"HM143934.1","Polypterus_mokelembembe_HM143934.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_mokelembembe",1.66785154397263e-10,6.5136779235728e-09,"Fishes2531",66.65953009,21.68790929,1.55882352941176,24.054606628418,4.86560394287109,24.77783203125,23.4700729370117,0.00807432162754182,0.054984617,0.029776373,0.00807432162754182,0.041650593,0.029078849,4,4,"Freshwater",235,85,25,1.558107489,38.59518681,NA,"FishBase","","","Aquariumwiki.com"
"AP004351.1","Polypterus_ornatipinnis_AP004351.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_ornatipinnis",2.73116791937478e-10,6.20188966600771e-09,"Fishes2531",66.65953009,15.95927154,4.48101265822785,23.2906204223633,8.32478759765625,24.6390167236328,22.2954696655273,0.00830814347503284,0.054721353,0.02714872,0.00830814347503284,0.041650593,0.025040344,4,4,"Freshwater",600,1257.2,15,4,200,NA,"FishBase","FishBase","https://www.monsterfishkeepers.com/forums/threads/bichir-breeding.107422/","https://badmanstropicalfish.com/ornate-bichir/"
"HM143939.1","Polypterus_weeksii_HM143939.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_weeksii",1.85676815806402e-10,6.64451930395807e-09,"Fishes2531",66.65953009,15.95927154,2.91463414634146,23.7528381347656,6.76428344726563,24.8051910400391,22.9613967895508,0.00830814347503284,0.054867967,0.025713528,0.00830814347503284,0.041650593,0.025107764,4,4,"Freshwater",540,909.8,15,2.389485906,923.1110525,NA,"FishBase","","","http://www.Aquariumwiki.com/wiki/Polypterus_weeksii"
"HM143938.1","Polypterus_teugelsi_HM143938.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_teugelsi",4.80732006713847e-10,6.14690226594521e-09,"Fishes2531",66.65953009,22.5110976,5.9,23.7679229736328,12.9805712890625,25.7801635742188,22.1330856323242,0.0385151316422736,0.055323203,0.038389232,0.0385151316422736,0.041650593,0.040717143,8,8,"Freshwater",415,405.4,25,2,338.0198258,NA,"FishBase","","https://aquainfo.org/polypterus-teugelsi-cross-river-bichir/","http://www.Aquariumwiki.com/wiki/Polypterus_teugelsi"
"AP004352.1","Polypterus_senegalus_senegalus_AP004352.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_senegalus",1.76776916878961e-10,6.83063666771572e-09,"Fishes2531",66.65953009,19.29322009,9.13636363636364,26.4716369628906,19.492021484375,29.8343872070312,24.2111953735352,0.0629266244005229,0.055339047,0.035008637,0.0629266244005229,0.041650593,0.042257564,10,10,"Freshwater",700,1467,34,2.730423198,2170,NA,"FishBase","Guide to the fishes of the River Nile in the Republic of the Sudan","","FishBase"
