,bs_clade,bs_species,clade,phy_species,group,dN,dS,Clade.Size,W
1,1_1,Siphonops_annulatus_AY954506.1,1,Siphonops_annulatus_AY954506.1,ingroup,0.019711333,0.675574667,28,0.029177135
2,1_1,Geotrypetes_seraphini_AY954505.1,1,Geotrypetes_seraphini_AY954505.1,ingroup,0.027146333,1.304846667,14,0.020804232
3,2_1,Ranodon_sibiricus_AJ419960.1,2,Onychodactylus_zhaoermii_KJ627182.1,ingroup,0.014924333,0.806005333,83,0.01851642
4,2_1,Andrias_davidianus_NC_004926.1,2,Andrias_davidianus_NC_004926.1,ingroup,0.026269333,0.914752,4,0.028717437
5,2_10,Hynobius_yangi_FJ594965.1,2,Onychodactylus_zhaoermii_KJ627182.1,ingroup,0.015521333,0.696147333,83,0.022296047
6,2_10,Andrias_davidianus_NC_004926.1,2,Andrias_davidianus_NC_004926.1,ingroup,0.025849,0.853453,4,0.03028755
7,2_11,Ranodon_sibiricus_AJ419960.1,2,Onychodactylus_zhaoermii_KJ627182.1,ingroup,0.014737333,0.770494,83,0.019127123
8,2_11,Andrias_japonicus_AB208679.1,2,Andrias_davidianus_NC_004926.1,ingroup,0.026711667,0.773444667,4,0.034535976
9,2_12,Hynobius_yiwuensis_HM036354.1,2,Onychodactylus_zhaoermii_KJ627182.1,ingroup,0.015822,0.812547,83,0.019472104
10,2_12,Andrias_japonicus_AB208679.1,2,Andrias_davidianus_NC_004926.1,ingroup,0.026832333,0.872574333,4,0.030750771
11,2_13,Hynobius_nebulosus_HM036356.1,2,Onychodactylus_zhaoermii_KJ627182.1,ingroup,0.015481667,0.694462333,83,0.022293026
12,2_13,Andrias_japonicus_AB208679.1,2,Andrias_davidianus_NC_004926.1,ingroup,0.026920667,0.885256667,4,0.030410013
13,2_14,Hynobius_unisacculus_MN242821.1,2,Onychodactylus_zhaoermii_KJ627182.1,ingroup,0.015783333,0.692597,83,0.022788625
