"Seq.Names","Species.NCBI","Order.AW","Family.AW","Species.AW1","Species.AW2","Order.IUCN","Family.IUCN","Species.IUCN","Species.Vertlife","Lon","Lat","AnnualTemp","TempRange","TempWarmQuarter","TempColdQuarter","UV","RangeSize","IUCN.Categories","Clade","dN","dS","W","MolRateAll","MolRate12nd","MolRate3rd","Clade.Age","Clade.Age.SD","Tip.Age","Tip.Age.SD","dN.Mean","dN.Mid","dN.Min","dN.Max","dN.QL","dN.QU","dS.Mean","dS.Mid","dS.Min","dS.Max","dS.QL","dS.QU","Habitat","Island","SVL","BodyMass","Div.Rate","Div.Rate.DNA","ClaDS.Rate","ClaDS.Rate.DNA","BAMM.Lambda","BAMM.Lambda.DNA","NTR","NTR.DNA"
"Salamandrella_keyserlingii_JX508749.1","Salamandrella_keyserlingii","Caudata","Hynobiidae","Salamandrella_keyserlingii","Salamandrella_keyserlingii","Caudata","Hynobiidae","Salamandrella_keyserlingii","Salamandrella_keyserlingii",112.11290894,60.3798007,-5.35032005310059,150.975048828125,14.9797973632812,-25.9779724121094,1287.73095703125,12482855.2847391,2,435,0.00243066666666667,0.0977306666666667,0.0248710742448634,0.00113476,0.00042256,0.00241715,223.76185664,26.2564016301785,26.8149215,8.79578248308751,0.000103026174497355,8.31389436139841e-05,5.01636582471039e-05,0.000260598956610667,5.87470411994814e-05,0.00018085249596677,0.00414240951086513,0.00334279664784301,0.00201694779056293,0.010477993593883,0.00236206287758617,0.0072715996979552,"Terrestial&Freshwater",0.00049233,61.3000000035453,31.515,0.0276262563916769,0.0276262563916769,0.0352997862057379,0.0216511354088346,0.053252787,0.0483230048540319,11,11
"Salamandrella_tridactyla_JX508765.1","Salamandrella_tridactyla","Caudata","Hynobiidae","Salamandrella_tridactyla","Salamandrella_tridactyla",NA,NA,NA,"Salamandrella_tridactyla",135.45075742,46.11415232,1.78134536743164,130.5045703125,18.6156814575195,-17.5952697753906,1846.09899902344,218159.759761809,1,435,0.00208766666666667,0.0916316666666667,0.0227832445115408,0.00109334,0.00041651,0.00229978,223.76185664,26.2564016301785,26.8149215,8.79578248308751,8.84877853643629e-05,7.14069122126142e-05,4.30848863962715e-05,0.000223824912952908,5.04570377169984e-05,0.000155331758398228,0.00388389745453242,0.00313418539560699,0.00189107773365848,0.0098241017796886,0.0022146554978787,0.00681780675792448,"Terrestial",0,59.9999999866739,38.38131803,0.0276262563916769,0.0276262563916769,0.0361700114484711,0.0233603578747974,0.053191689,0.0482817090581,11,11
"Pseudohynobius_flavomaculatus_FJ532059.1","Pseudohynobius_flavomaculatus","Caudata","Hynobiidae","Pseudohynobius_flavomaculatus","Pseudohynobius_flavomaculatus","Caudata","Hynobiidae","Pseudohynobius_flavomaculatus","Pseudohynobius_flavomaculatus",109.61093643,29.87117624,14.4076889038086,75.233603515625,24.5124114990234,3.75922660827637,2930.36645507812,1587.04723058112,4,435,0.004799,0.121408333333333,0.0395277644313268,0.00140264,0.00063784,0.00257966,223.76185664,26.2564016301785,33.05515146,9.29914705391934,0.000159179294386703,0.000130827402887379,9.53478627396089e-05,0.000269831838931252,0.000105175573324911,0.000249512201641986,0.00402702497034083,0.00330975972887793,0.00241217443261333,0.00682638754842921,0.00266080247233907,0.00631232768236802,"Terrestial&Freshwater",0,86.4000000164151,83.03826429,0.0651372716847483,0.0651372716847483,0.0414042363676891,0.0343351266753693,0.054772971,0.0488278547525691,15,15
"Pseudohynobius_shuichengensis_FJ532060.1","Pseudohynobius_shuichengensis","Caudata","Hynobiidae","Pseudohynobius_shuichengensis","Pseudohynobius_shuichengensis","Caudata","Hynobiidae","Pseudohynobius_shuichengensis","Pseudohynobius_shuichengensis",105.04644308,26.57504125,12.4013648986816,55.776982421875,19.4452239990234,3.89328956604004,3602.435546875,61.671979944316,6,435,0.00594566666666667,0.123625333333333,0.0480942417411749,0.00147934,0.00074807,0.00255846,223.76185664,26.2564016301785,33.05515146,9.29914705391934,0.000197213382925305,0.000162087128242146,0.000118130154038092,0.000334305099049576,0.000130306084697953,0.00030913031469668,0.00410056122698915,0.0033701982269403,0.00245622240337676,0.00695104209873356,0.00270939056278736,0.00642759514455603,"Terrestial&Freshwater",0,103.849999966548,122.5641045,0.0517652573529717,0.0517652573529717,0.0414365788101558,0.036173396643417,0.05472646,0.0487697078905823,15,15
"Protohynobius_puxiongensis_FJ532058.1","Protohynobius_puxiongensis","Caudata","Hynobiidae","Pseudohynobius_puxiongensis","Protohynobius_puxiongensis","Caudata","Hynobiidae","Pseudohynobius_puxiongensis","Pseudohynobius_puxiongensis",102.37836896,28.62853006,6.81775894165039,53.9731298828125,13.8385437011719,-1.07090311050415,5498.79833984375,503.148953857401,6,435,0.00721233333333333,0.180712666666667,0.0399105024919854,0.00149792,0.0006829,0.00291716,223.76185664,26.2564016301785,48.73216406,13.5387475923817,0.000162042356139075,0.000131245287487897,0.000100264351362284,0.00027274688127612,0.000108876779528153,0.000256749990477561,0.00406014322098839,0.00328848997865294,0.0025122297415929,0.00683396259746144,0.00272802327031631,0.00643314351978205,"Terrestial&Freshwater",0,67.9000000295602,49.86660118,0.0308970465617801,0.0308970465617801,0.0403520321814494,0.0348394858176134,0.054744113,0.048829749954447,13,13
"Hynobius_quelpaertensis_HM036352.1","Hynobius_quelpaertensis","Caudata","Hynobiidae","Hynobius_quelpaertensis","Hynobius_quelpaertensis","Caudata","Hynobiidae","Hynobius_quelpaertensis","Hynobius_quelpaertensis",126.5782927,34.51633914,14.0179916381836,78.2990771484375,25.2802337646484,3.42998123168945,2811.68896484375,7743.62223582878,4,435,0.00266666666666667,0.0755196666666667,0.0353108903199608,0.00144611,0.00054066,0.00277045,223.76185664,26.2564016301785,23.92553324,9.1651656225645,0.000133572891555053,9.94354410950879e-05,6.08089579865132e-05,0.000259959756929828,7.18068423975998e-05,0.000237565898128837,0.00378276759222767,0.00281599926238275,0.00172210208905831,0.00736202782128313,0.00203356080084473,0.00672783653927139,"Terrestial&Freshwater",0.312985652,61.7999999713468,24.044,0.0832364330245552,0.0575080504254168,0.0539208602756383,0.0594716056532677,0.055898544,0.0489672408538735,18,17
"Hynobius_unisacculus_MN242821.1","Hynobius_unisacculus","Caudata","Hynobiidae","Hynobius_unisacculus","Hynobius_unisacculus","Caudata","Hynobiidae","Hynobius_unisacculus","Hynobius_unisacculus",127.30766123,34.783981,13.8687698364258,81.5684033203125,25.4097671508789,2.63432903289795,2826.74536132812,2300.35458535869,5,435,0.00195066666666667,0.067171,0.0290403100544382,0.00135831,0.0005497,0.00255022,223.76185664,26.2564016301785,23.92553324,9.1651656225645,9.77085701725215e-05,7.27370251610568e-05,4.44817527671344e-05,0.00019016056219417,5.25267052138442e-05,0.000173779454481244,0.00336458426199168,0.00250469175517431,0.00153172444384203,0.00654815881227507,0.00180875152900844,0.00598407710370453,"Terrestial&Freshwater",0,50.1599999837148,26.27103905,0.0832364330245552,NA,NA,NA,0.055925627,NA,18,NA
"Hynobius_yangi_FJ594965.1","Hynobius_yangi","Caudata","Hynobiidae","Hynobius_yangi","Hynobius_yangi","Caudata","Hynobiidae","Hynobius_yangi","Hynobius_yangi",129.13198264,35.19171422,14.5937423706055,80.304970703125,25.9095855712891,3.35373191833496,2789.267578125,341.248593605473,5,435,0.00295633333333333,0.0834173333333333,0.0354402762015888,0.00115326,0.00044026,0.00232606,223.76185664,26.2564016301785,32.77586352,12.3650589796445,0.000108141283513035,7.94650336438317e-05,5.58994452366106e-05,0.000219578907124906,6.00136715211009e-05,0.000196210094081138,0.00305136683749058,0.00224222388087001,0.0015772858235824,0.00619574480390371,0.00169337482529017,0.00553635905558608,"Terrestial&Freshwater",0,52.7300000241304,16.977,0.0926638760922076,0.0926638760922076,0.056313522594237,0.0493565005248399,0.055957123,0.0489512212757415,18,18
"Hynobius_nebulosus_HM036356.1","Hynobius_nebulosus","Caudata","Hynobiidae","Hynobius_nebulosus","Hynobius_nebulosus","Caudata","Hynobiidae","Hynobius_nebulosus","Hynobius_nebulosus",133.47781999,34.53185743,15.2289260864258,75.8479443359375,26.2324035644531,5.00493774414062,2776.67358398438,65587.3177180026,2,435,0.00124433333333333,0.0565266666666667,0.0220132091048473,0.00107249,0.00037318,0.0022417,223.76185664,26.2564016301785,26.74603579,10.6680118638494,5.75625734946971e-05,4.10175555419513e-05,2.68133241290295e-05,0.000150537080250862,2.85786646463739e-05,0.000124855269480249,0.00261491058484616,0.00186331558232095,0.00121805612263617,0.00683848863352294,0.00129825072347497,0.00567183407405858,"Terrestial&Freshwater",0.033812913,50.2999999946836,22.26,0.0926115419915405,0.0926115419915405,0.056499187746005,0.0387112608212588,0.055935785,0.0490646973498033,19,19
"Hynobius_dunni_LC538211.1","Hynobius_dunni","Caudata","Hynobiidae","Hynobius_dunni","Hynobius_dunni","Caudata","Hynobiidae","Hynobius_dunni","Hynobius_dunni",131.47834556,33.05394599,15.3317092895508,72.060087890625,25.5986755371094,5.65211296081543,2931.21508789062,6765.88118071621,4,435,0.00175766666666667,0.0658016666666667,0.0267115827866569,0.00125062,0.00041173,0.0026023,223.76185664,26.2564016301785,26.74603579,10.6680118638494,8.13092553007066e-05,5.79388080291211e-05,3.78748079647396e-05,0.000212639170683845,4.03684164694158e-05,0.000176362667015632,0.00304396994929565,0.00216905184885049,0.00141791702375866,0.00796056049475526,0.00151127010300494,0.00660247909770924,"Terrestial&Freshwater",0,74.2500000235514,66.9822711,0.0926115419915405,0.0926115419915405,0.0541563245811303,0.0451532557719728,0.055926985,0.0490048360771973,19,19
